time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1782899992.961149,7250634,1856162304,1856.162304,186,0,150,9,20260701_120138
1782899992.970109,7250669,1856171264,1856.171264,189,0,150,9,20260701_120138
1782899992.980349,7250709,1856181504,1856.181504,192,0,150,9,20260701_120138
1782899992.990333,7250748,1856191488,1856.191488,195,229,150,9,20260701_120138
1782899993.000317,7250787,1856201472,1856.201472,199,164,150,9,20260701_120138
1782899993.010301,7250826,1856211456,1856.211456,202,111,150,9,20260701_120138
1782899993.0202851,7250865,1856221440,1856.22144,205,0,150,9,20260701_120138
1782899993.0302691,7250904,1856231424,1856.231424,208,56,150,9,20260701_120138
1782899993.0402532,7250943,1856241408,1856.241408,211,0,150,9,20260701_120138
1782899993.050237,7250982,1856251392,1856.251392,214,67,150,9,20260701_120138
1782899993.060221,7251021,1856261376,1856.261376,217,0,148,9,20260701_120138
1782899993.070205,7251060,1856271360,1856.27136,63,32,150,9,20260701_120138
1782899993.080445,7251100,1856281600,1856.2816,66,37,150,9,20260701_120138
1782899993.090429,7251139,1856291584,1856.291584,69,56,150,9,20260701_120138
1782899993.100413,7251178,1856301568,1856.301568,73,0,150,9,20260701_120138
1782899993.110397,7251217,1856311552,1856.311552,76,255,150,9,20260701_120138
1782899993.120381,7251256,1856321536,1856.321536,79,237,150,9,20260701_120138
1782899993.1303651,7251295,1856331520,1856.33152,82,134,150,9,20260701_120138
1782899993.1403491,7251334,1856341504,1856.341504,85,19,150,9,20260701_120138
1782899993.1503332,7251373,1856351488,1856.351488,88,24,150,9,20260701_120138
1782899993.160317,7251412,1856361472,1856.361472,91,32,148,9,20260701_120138
1782899993.170301,7251451,1856371456,1856.371456,94,10,147,9,20260701_120138
1782899993.180285,7251490,1856381440,1856.38144,98,49,146,9,20260701_120138
1782899993.190525,7251530,1856391680,1856.39168,101,13,147,9,20260701_120138
1782899993.200509,7251569,1856401664,1856.401664,104,14,147,9,20260701_120138
1782899993.210493,7251608,1856411648,1856.411648,107,32,148,9,20260701_120138
1782899993.220477,7251647,1856421632,1856.421632,110,6,148,9,20260701_120138
1782899993.2304611,7251686,1856431616,1856.431616,113,22,149,9,20260701_120138
1782899993.2404451,7251725,1856441600,1856.4416,116,22,149,9,20260701_120138
1782899993.2504292,7251764,1856451584,1856.451584,119,31,149,9,20260701_120138
1782899993.2604132,7251803,1856461568,1856.461568,123,2,149,9,20260701_120138
1782899993.270397,7251842,1856471552,1856.471552,126,30,149,9,20260701_120138
1782899993.280381,7251881,1856481536,1856.481536,129,10,149,9,20260701_120138
1782899993.290621,7251921,1856491776,1856.491776,132,0,149,9,20260701_120138
1782899993.300605,7251960,1856501760,1856.50176,135,0,149,9,20260701_120138
1782899993.310589,7251999,1856511744,1856.511744,138,0,149,9,20260701_120138
1782899993.320573,7252038,1856521728,1856.521728,141,0,150,9,20260701_120138
1782899993.330557,7252077,1856531712,1856.531712,144,0,149,9,20260701_120138
1782899993.3405411,7252116,1856541696,1856.541696,148,0,149,9,20260701_120138
1782899993.3505251,7252155,1856551680,1856.55168,151,1,150,9,20260701_120138
1782899993.3605092,7252194,1856561664,1856.561664,154,1,150,9,20260701_120138
1782899993.370493,7252233,1856571648,1856.571648,157,0,150,9,20260701_120138
1782899993.380477,7252272,1856581632,1856.581632,160,0,150,9,20260701_120138
1782899993.390717,7252312,1856591872,1856.591872,163,0,150,9,20260701_120138
1782899993.400701,7252351,1856601856,1856.601856,166,87,150,9,20260701_120138
1782899993.410685,7252390,1856611840,1856.61184,169,0,150,9,20260701_120138
1782899993.420669,7252429,1856621824,1856.621824,172,0,150,9,20260701_120138
1782899993.430653,7252468,1856631808,1856.631808,176,0,149,9,20260701_120138
1782899993.440637,7252507,1856641792,1856.641792,179,84,150,9,20260701_120138
1782899993.4506211,7252546,1856651776,1856.651776,182,103,150,9,20260701_120138
1782899993.4606051,7252585,1856661760,1856.66176,185,1,150,9,20260701_120138
1782899993.4705892,7252624,1856671744,1856.671744,188,110,150,9,20260701_120138
1782899993.480573,7252663,1856681728,1856.681728,191,0,150,9,20260701_120138
1782899993.490813,7252703,1856691968,1856.691968,194,117,149,9,20260701_120138
1782899993.500797,7252742,1856701952,1856.701952,197,0,150,9,20260701_120138
1782899993.510781,7252781,1856711936,1856.711936,201,83,149,9,20260701_120138
1782899993.520765,7252820,1856721920,1856.72192,204,5,150,9,20260701_120138
1782899993.530749,7252859,1856731904,1856.731904,207,8,149,9,20260701_120138
1782899993.540733,7252898,1856741888,1856.741888,210,59,149,9,20260701_120138
