Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelativeResidual,ExplainedFraction,ExplainedPercent
1,1,7-10,10,7,10 -> 7,0.586557512934258,0.655950284020377,65.5950284020377
1,2,7-10,7,10,7 -> 10,0.473890533874947,0.775427761903718,77.5427761903718
1,3,7-8,8,7,8 -> 7,0.546444439593139,0.70139847443774,70.139847443774
1,4,7-8,7,8,7 -> 8,0.410065441227483,0.83184633391091,83.184633391091
1,5,7-9,9,7,9 -> 7,0.499739726732489,0.750260205525337,75.0260205525337
1,6,7-9,7,9,7 -> 9,0.322298546500396,0.896123646923732,89.6123646923732
1,7,8-10,10,8,10 -> 8,0.619181501611209,0.616614268062489,61.6614268062489
1,8,8-10,8,10,8 -> 10,0.660966921387229,0.563122728831889,56.3122728831889
1,9,8-9,9,8,9 -> 8,0.36167673810755,0.869189937111883,86.9189937111883
1,10,8-9,8,9,8 -> 9,0.402942467559316,0.837637367837209,83.7637367837209
1,11,9-10,10,9,10 -> 9,0.418584027241617,0.824787412138189,82.4787412138189
1,12,9-10,9,10,9 -> 10,0.521873530028993,0.727648018655078,72.7648018655078
2,1,7-10,10,7,10 -> 7,0.516602275293358,0.733122089161726,73.3122089161726
2,2,7-10,7,10,7 -> 10,0.399426954086303,0.840458108349339,84.0458108349339
2,3,7-8,8,7,8 -> 7,0.519489281875768,0.730130886016199,73.0130886016199
2,4,7-8,7,8,7 -> 8,0.439666251666559,0.806693587145478,80.6693587145478
2,5,7-9,9,7,9 -> 7,0.385091984098307,0.851704163783229,85.1704163783229
2,6,7-9,7,9,7 -> 9,0.294470489527346,0.913287130797525,91.3287130797525
2,7,8-10,10,8,10 -> 8,0.560746507352888,0.685563354491537,68.5563354491537
2,8,8-10,8,10,8 -> 10,0.617711036939124,0.618433074843593,61.8433074843593
2,9,8-9,9,8,9 -> 8,0.307540551964121,0.905418808897604,90.5418808897604
2,10,8-9,8,9,8 -> 9,0.27712870055681,0.923199683327694,92.3199683327694
2,11,9-10,10,9,10 -> 9,0.351070808268778,0.876749287581507,87.6749287581507
2,12,9-10,9,10,9 -> 10,0.519202094181677,0.730429185397361,73.0429185397361
3,1,7-10,10,7,10 -> 7,0.519036578132418,0.730601030560591,73.0601030560591
3,2,7-10,7,10,7 -> 10,0.390228026887129,0.847722087031778,84.7722087031778
3,3,7-8,8,7,8 -> 7,0.517819851263366,0.731862601637586,73.1862601637586
3,4,7-8,7,8,7 -> 8,0.443496163199624,0.803311153227213,80.3311153227213
3,5,7-9,9,7,9 -> 7,0.379977613353285,0.855617013350341,85.5617013350341
3,6,7-9,7,9,7 -> 9,0.283810568316124,0.919451561312079,91.9451561312079
3,7,8-10,10,8,10 -> 8,0.548631273946832,0.699003725247476,69.9003725247476
3,8,8-10,8,10,8 -> 10,0.611427581206807,0.626156312939594,62.6156312939594
3,9,8-9,9,8,9 -> 8,0.304056604201004,0.907549581441754,90.7549581441754
3,10,8-9,8,9,8 -> 9,0.270424636685757,0.926870515873376,92.6870515873376
3,11,9-10,10,9,10 -> 9,0.354302816298364,0.874469514363048,87.4469514363048
3,12,9-10,9,10,9 -> 10,0.520731354269804,0.728838856680336,72.8838856680336
4,1,7-10,10,7,10 -> 7,0.517130306174727,0.732576246435633,73.2576246435633
4,2,7-10,7,10,7 -> 10,0.381642514309769,0.854348991271318,85.4348991271318
4,3,7-8,8,7,8 -> 7,0.520958135685865,0.728602620862708,72.8602620862708
4,4,7-8,7,8,7 -> 8,0.44916024517757,0.798255074152026,79.8255074152026
4,5,7-9,9,7,9 -> 7,0.37487428767066,0.859469268443415,85.9469268443415
4,6,7-9,7,9,7 -> 9,0.276265470154873,0.923677390000107,92.3677390000107
4,7,8-10,10,8,10 -> 8,0.543305595067179,0.704819030368699,70.4819030368699
4,8,8-10,8,10,8 -> 10,0.602618452574184,0.636851000617096,63.6851000617096
4,9,8-9,9,8,9 -> 8,0.303550026924223,0.907857381154304,90.7857381154304
4,10,8-9,8,9,8 -> 9,0.26959423864149,0.927318946491315,92.7318946491315
4,11,9-10,10,9,10 -> 9,0.3584792624293,0.871492618408145,87.1492618408145
4,12,9-10,9,10,9 -> 10,0.52219594690775,0.727311393033118,72.7311393033118
5,1,7-10,10,7,10 -> 7,0.515296754793563,0.734469254499223,73.4469254499222
5,2,7-10,7,10,7 -> 10,0.381323431972948,0.854592440228372,85.4592440228372
5,3,7-8,8,7,8 -> 7,0.520289988397169,0.729298327973674,72.9298327973674
5,4,7-8,7,8,7 -> 8,0.448871449680762,0.798514421661491,79.8514421661491
5,5,7-9,9,7,9 -> 7,0.371684688577104,0.861850492277341,86.1850492277341
5,6,7-9,7,9,7 -> 9,0.272909916843506,0.92552017728847,92.552017728847
5,7,8-10,10,8,10 -> 8,0.542018626460266,0.706215808570126,70.6215808570126
5,8,8-10,8,10,8 -> 10,0.601036900416774,0.638754644337397,63.8754644337397
5,9,8-9,9,8,9 -> 8,0.302597850373112,0.908434540949572,90.8434540949572
5,10,8-9,8,9,8 -> 9,0.268136291510579,0.928102929174954,92.8102929174954
5,11,9-10,10,9,10 -> 9,0.359541809811879,0.870729686997198,87.0729686997198
5,12,9-10,9,10,9 -> 10,0.521578907785328,0.727955442953464,72.7955442953464
6,1,7-10,10,7,10 -> 7,0.513979483340246,0.735825090705294,73.5825090705294
6,2,7-10,7,10,7 -> 10,0.38059026763637,0.855151048180476,85.5151048180476
6,3,7-8,8,7,8 -> 7,0.521285005404504,0.728261943140427,72.8261943140427
6,4,7-8,7,8,7 -> 8,0.450589457446162,0.796969140838374,79.6969140838374
