Rank,Objective,RelativeResidual,ExplainedFraction,ExplainedPercent,IncrementalExplainedFraction,IncrementalExplainedPercentagePoints,RuntimeSeconds,BestStart,Iterations,Converged,SolverStatus
1,0.00495934869445739,0.465494478712813,0.783314890287886,78.3314890287886,0.783314890287886,78.3314890287886,0.2059831,6,6,1,optimized_start_6:converged
2,0.00393688424970986,0.414742493833603,0.827988663808684,82.7988663808684,0.0446737735207978,4.46737735207978,0.122808,7,6,1,optimized_start_7:converged
3,0.00386605291782395,0.410994593437424,0.831083444165207,83.1083444165207,0.00309478035652266,0.309478035652266,0.1379817,11,6,1,optimized_start_11:converged
4,0.00382610746442694,0.408865808113747,0.832828750955492,83.2828750955492,0.00174530679028562,0.174530679028562,0.1096201,8,6,1,optimized_start_8:converged
5,0.00379874371507828,0.407401110982737,0.834024334770032,83.4024334770032,0.00119558381453966,0.119558381453966,0.1129507,6,7,1,optimized_start_6:converged
6,0.0037815492712261,0.406478045246334,0.834775598732719,83.4775598732719,0.000751263962687432,0.0751263962687432,0.0895074,2,6,1,optimized_start_2:converged
7,0.00376844705002582,0.405773256542737,0.835348064274702,83.5348064274702,0.000572465541982758,0.0572465541982758,0.1137859,7,7,1,optimized_start_7:converged
8,0.0037617335062079,0.405411649908246,0.835641394118674,83.5641394118674,0.000293329843971457,0.0293329843971457,0.1118414,9,7,1,optimized_start_9:converged
9,0.00375654949028232,0.405132206266647,0.835867895445519,83.5867895445519,0.000226501326845319,0.0226501326845319,0.1485101,6,7,1,optimized_start_6:converged
10,0.00375301284959401,0.404941453497388,0.836022419239423,83.6022419239423,0.000154523793903572,0.0154523793903572,0.2578206,2,7,1,optimized_start_2:converged
