Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Weight
1,1,7-10,10,7,10 -> 7,0.0273504839683536
1,2,7-10,7,10,7 -> 10,0.0317563134640351
1,3,7-8,8,7,8 -> 7,-0.0304976160374541
1,4,7-8,7,8,7 -> 8,-0.0431632493242019
1,5,7-9,9,7,9 -> 7,0.054531993228121
1,6,7-9,7,9,7 -> 9,0.0649934358442408
1,7,8-10,10,8,10 -> 8,0.0282378602734734
1,8,8-10,8,10,8 -> 10,0.0209683873082901
1,9,8-9,9,8,9 -> 8,0.0331483776699044
1,10,8-9,8,9,8 -> 9,0.0348602774487963
1,11,9-10,10,9,10 -> 9,-0.0350733478490583
1,12,9-10,9,10,9 -> 10,-0.0374057889063946
2,1,7-10,10,7,10 -> 7,0.0289146344353219
2,2,7-10,7,10,7 -> 10,0.0330611109538648
2,3,7-8,8,7,8 -> 7,-0.0311160058236625
2,4,7-8,7,8,7 -> 8,-0.0425056713195601
2,5,7-9,9,7,9 -> 7,0.0581018286807781
2,6,7-9,7,9,7 -> 9,0.0656128944266499
2,7,8-10,10,8,10 -> 8,0.0297747962029679
2,8,8-10,8,10,8 -> 10,0.0219740372143984
2,9,8-9,9,8,9 -> 8,0.0338321571530106
2,10,8-9,8,9,8 -> 9,0.0365974344003671
2,11,9-10,10,9,10 -> 9,-0.0361612905288982
2,12,9-10,9,10,9 -> 10,-0.037477205660906
3,1,7-10,10,7,10 -> 7,0.0288648758309131
3,2,7-10,7,10,7 -> 10,0.0332036751846299
3,3,7-8,8,7,8 -> 7,-0.0311528842531512
3,4,7-8,7,8,7 -> 8,-0.0424164654229934
3,5,7-9,9,7,9 -> 7,0.0582351397591006
3,6,7-9,7,9,7 -> 9,0.0658339562923894
3,7,8-10,10,8,10 -> 8,0.0300652448556253
3,8,8-10,8,10,8 -> 10,0.0221108217408023
3,9,8-9,9,8,9 -> 8,0.0338719433095092
3,10,8-9,8,9,8 -> 9,0.0366701216946876
3,11,9-10,10,9,10 -> 9,-0.0361142456075948
3,12,9-10,9,10,9 -> 10,-0.0374363847609471
4,1,7-10,10,7,10 -> 7,0.0289038683010226
4,2,7-10,7,10,7 -> 10,0.0333332042051148
4,3,7-8,8,7,8 -> 7,-0.0310834237083013
4,4,7-8,7,8,7 -> 8,-0.0422827690803265
4,5,7-9,9,7,9 -> 7,0.0583660889271851
4,6,7-9,7,9,7 -> 9,0.065985070341147
4,7,8-10,10,8,10 -> 8,0.0301900485097686
4,8,8-10,8,10,8 -> 10,0.022298847594711
4,9,8-9,9,8,9 -> 8,0.0338776867370803
4,10,8-9,8,9,8 -> 9,0.0366789913353662
4,11,9-10,10,9,10 -> 9,-0.0360527225917707
4,12,9-10,9,10,9 -> 10,-0.0373971355442794
5,1,7-10,10,7,10 -> 7,0.0289411886175009
5,2,7-10,7,10,7 -> 10,0.0333379530582599
5,3,7-8,8,7,8 -> 7,-0.0310982601902164
5,4,7-8,7,8,7 -> 8,-0.0422896372109939
5,5,7-9,9,7,9 -> 7,0.0584468868072063
5,6,7-9,7,9,7 -> 9,0.0660508594698412
5,7,8-10,10,8,10 -> 8,0.0302199483340259
5,8,8-10,8,10,8 -> 10,0.0223321500365793
5,9,8-9,9,8,9 -> 8,0.0338884536992221
5,10,8-9,8,9,8 -> 9,0.0366944928081926
5,11,9-10,10,9,10 -> 9,-0.0360369383060428
5,12,9-10,9,10,9 -> 10,-0.0374136898652168
6,1,7-10,10,7,10 -> 7,0.0289678891354024
6,2,7-10,7,10,7 -> 10,0.033348847025125
6,3,7-8,8,7,8 -> 7,-0.031076155913883
6,4,7-8,7,8,7 -> 8,-0.0422486980556142
6,5,7-9,9,7,9 -> 7,0.0585088160902789
6,6,7-9,7,9,7 -> 9,0.0661268612162179
6,7,8-10,10,8,10 -> 8,0.0302479261419002
6,8,8-10,8,10,8 -> 10,0.0223748595918566
6,9,8-9,9,8,9 -> 8,0.0339042412508205
6,10,8-9,8,9,8 -> 9,0.0366981979910096
6,11,9-10,10,9,10 -> 9,-0.036012850911612
6,12,9-10,9,10,9 -> 10,-0.0374038043214617
7,1,7-10,10,7,10 -> 7,0.0289689972278828
7,2,7-10,7,10,7 -> 10,0.0333345080179032
7,3,7-8,8,7,8 -> 7,-0.0310909673006583
7,4,7-8,7,8,7 -> 8,-0.0422702594392985
7,5,7-9,9,7,9 -> 7,0.0585161219298206
7,6,7-9,7,9,7 -> 9,0.0661644742283229
7,7,8-10,10,8,10 -> 8,0.03025208703636
7,8,8-10,8,10,8 -> 10,0.0223727906143891
7,9,8-9,9,8,9 -> 8,0.0339321242510698
7,10,8-9,8,9,8 -> 9,0.0367020055252304
7,11,9-10,10,9,10 -> 9,-0.0360132298346472
7,12,9-10,9,10,9 -> 10,-0.037444724658988
8,1,7-10,10,7,10 -> 7,0.0289766262655737
8,2,7-10,7,10,7 -> 10,0.0333293406876162
8,3,7-8,8,7,8 -> 7,-0.0310791520038973
8,4,7-8,7,8,7 -> 8,-0.042276434757448
8,5,7-9,9,7,9 -> 7,0.0585444316279678
8,6,7-9,7,9,7 -> 9,0.0661684254641455
8,7,8-10,10,8,10 -> 8,0.0302539846552484
8,8,8-10,8,10,8 -> 10,0.0223680054084613
8,9,8-9,9,8,9 -> 8,0.0339284189805105
8,10,8-9,8,9,8 -> 9,0.0367011099840423
8,11,9-10,10,9,10 -> 9,-0.036032640030362
8,12,9-10,9,10,9 -> 10,-0.0374715493519802
9,1,7-10,10,7,10 -> 7,0.0289743157968846
9,2,7-10,7,10,7 -> 10,0.03332913808945
9,3,7-8,8,7,8 -> 7,-0.0310703522971225
9,4,7-8,7,8,7 -> 8,-0.0422949973868517
9,5,7-9,9,7,9 -> 7,0.0585557777540276
9,6,7-9,7,9,7 -> 9,0.0661784738298478
9,7,8-10,10,8,10 -> 8,0.0302518328887361
9,8,8-10,8,10,8 -> 10,0.022370665859604
9,9,8-9,9,8,9 -> 8,0.0339264640348343
9,10,8-9,8,9,8 -> 9,0.0366857970677037
9,11,9-10,10,9,10 -> 9,-0.0360388539326694
9,12,9-10,9,10,9 -> 10,-0.0375044890015136
