Rank,ComponentObjective,CommonObjective,ComponentExplainedFraction,CommonExplainedFraction,ExplainedFractionDifference,ExplainedPercentagePointDifference
1,0.00495934869445738,0.00495934869445739,0.783314890287886,0.783314890287886,1.11022302462516e-16,1.11022302462516e-14
2,0.00349551859476187,0.00393688424970986,0.84727292294385,0.827988663808684,0.0192842591351661,1.92842591351661
3,0.00285890058761427,0.00386605291782395,0.87508819692885,0.831083444165207,0.0440047527636437,4.40047527636437
4,0.00238033150742599,0.00382610746442694,0.895997957470858,0.832828750955492,0.0631692065153656,6.31692065153656
5,0.00196280884746569,0.00379874371507828,0.914240462475982,0.834024334770032,0.0802161277059497,8.02161277059497
6,0.00167929549879233,0.0037815492712261,0.926627798968532,0.834775598732719,0.0918522002358129,9.18522002358129
7,0.00147847634497804,0.00376844705002582,0.935402039913754,0.835348064274702,0.100053975639052,10.0053975639052
8,0.00133778642734054,0.0037617335062079,0.941549099158195,0.835641394118674,0.105907705039522,10.5907705039522
9,0.00119759502471694,0.00375654949028232,0.947674377159345,0.835867895445519,0.111806481713826,11.1806481713826
10,0.00107923610568247,0.00375301284959401,0.952845744799829,0.836022419239422,0.116823325560406,11.6823325560406
