Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelativeResidual,ExplainedFraction,ExplainedPercent
1,1,7-10,10,7,10 -> 7,0.586557512934258,0.655950284020378,65.5950284020378
1,2,7-10,7,10,7 -> 10,0.473890533874947,0.775427761903718,77.5427761903718
1,3,7-8,8,7,8 -> 7,0.546444439593139,0.70139847443774,70.139847443774
1,4,7-8,7,8,7 -> 8,0.410065441227483,0.83184633391091,83.184633391091
1,5,7-9,9,7,9 -> 7,0.499739726732489,0.750260205525337,75.0260205525337
1,6,7-9,7,9,7 -> 9,0.322298546500396,0.896123646923732,89.6123646923732
1,7,8-10,10,8,10 -> 8,0.619181501611209,0.616614268062489,61.6614268062489
1,8,8-10,8,10,8 -> 10,0.660966921387229,0.563122728831889,56.3122728831889
1,9,8-9,9,8,9 -> 8,0.36167673810755,0.869189937111883,86.9189937111883
1,10,8-9,8,9,8 -> 9,0.402942467559316,0.837637367837209,83.7637367837209
1,11,9-10,10,9,10 -> 9,0.418584027241617,0.824787412138189,82.4787412138189
1,12,9-10,9,10,9 -> 10,0.521873530028993,0.727648018655078,72.7648018655078
2,1,7-10,10,7,10 -> 7,0.461909665437612,0.786639460975313,78.6639460975313
2,2,7-10,7,10,7 -> 10,0.396443143160829,0.842832834240762,84.2832834240762
2,3,7-8,8,7,8 -> 7,0.426667767228136,0.817954616408557,81.7954616408557
2,4,7-8,7,8,7 -> 8,0.35834931540256,0.871585768150516,87.1585768150516
2,5,7-9,9,7,9 -> 7,0.358979693712735,0.871133579501911,87.1133579501911
2,6,7-9,7,9,7 -> 9,0.296654447083778,0.911996139025418,91.1996139025418
2,7,8-10,10,8,10 -> 8,0.540893271509819,0.707434468835405,70.7434468835405
2,8,8-10,8,10,8 -> 10,0.607720440552402,0.630675866134795,63.0675866134795
2,9,8-9,9,8,9 -> 8,0.308759380495725,0.904667644955896,90.4667644955896
2,10,8-9,8,9,8 -> 9,0.28534134735748,0.918580315488218,91.8580315488218
2,11,9-10,10,9,10 -> 9,0.355855254616383,0.87336703776191,87.336703776191
2,12,9-10,9,10,9 -> 10,0.509405419882315,0.740506118194523,74.0506118194523
3,1,7-10,10,7,10 -> 7,0.368127112707232,0.864482428889837,86.4482428889837
