Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Component,Weight
10,1,7-10,10,7,10 -> 7,1,-0.0618209590697075
10,1,7-10,10,7,10 -> 7,2,0.0828527675544918
10,1,7-10,10,7,10 -> 7,3,-0.0429186736599134
10,1,7-10,10,7,10 -> 7,4,0.0809711522560931
10,1,7-10,10,7,10 -> 7,5,0.033727830803856
10,1,7-10,10,7,10 -> 7,6,-0.0523884215069996
10,1,7-10,10,7,10 -> 7,7,-0.0106255712249463
10,1,7-10,10,7,10 -> 7,8,-0.000287562539089376
10,1,7-10,10,7,10 -> 7,9,0.00321699747411808
10,1,7-10,10,7,10 -> 7,10,0.000274566436374583
10,2,7-10,7,10,7 -> 10,1,-0.0159965680263248
10,2,7-10,7,10,7 -> 10,2,0.034016805664507
10,2,7-10,7,10,7 -> 10,3,-0.00286108307560002
10,2,7-10,7,10,7 -> 10,4,-0.0132675897466601
10,2,7-10,7,10,7 -> 10,5,0.007046209328471
10,2,7-10,7,10,7 -> 10,6,0.0253234263277616
10,2,7-10,7,10,7 -> 10,7,-0.011125937824378
10,2,7-10,7,10,7 -> 10,8,-0.0135422698343913
10,2,7-10,7,10,7 -> 10,9,0.0182236280061788
10,2,7-10,7,10,7 -> 10,10,0.0141604839258499
10,3,7-8,8,7,8 -> 7,1,-0.0538279964795531
10,3,7-8,8,7,8 -> 7,2,0.0170386635216777
10,3,7-8,8,7,8 -> 7,3,-0.000595800142487859
10,3,7-8,8,7,8 -> 7,4,0.00984437374258396
10,3,7-8,8,7,8 -> 7,5,-0.00596900162853217
10,3,7-8,8,7,8 -> 7,6,-0.0133172883690062
10,3,7-8,8,7,8 -> 7,7,-0.00198535119888407
10,3,7-8,8,7,8 -> 7,8,-0.00835267992013508
10,3,7-8,8,7,8 -> 7,9,0.00222993280225527
10,3,7-8,8,7,8 -> 7,10,0.00402967629376326
10,4,7-8,7,8,7 -> 8,1,-0.172017373208396
10,4,7-8,7,8,7 -> 8,2,0.144389531000446
10,4,7-8,7,8,7 -> 8,3,-0.0649657302980358
10,4,7-8,7,8,7 -> 8,4,0.0501662719029964
10,4,7-8,7,8,7 -> 8,5,0.0400451810561154
10,4,7-8,7,8,7 -> 8,6,-0.0397211853428899
10,4,7-8,7,8,7 -> 8,7,-0.0407017095273787
10,4,7-8,7,8,7 -> 8,8,0.0246705513428541
10,4,7-8,7,8,7 -> 8,9,0.0104259655789922
10,4,7-8,7,8,7 -> 8,10,0.0146055667058011
10,5,7-9,9,7,9 -> 7,1,-0.248395178957205
10,5,7-9,9,7,9 -> 7,2,0.282532499433446
10,5,7-9,9,7,9 -> 7,3,-0.0763087955645151
10,5,7-9,9,7,9 -> 7,4,-0.0289722938688466
10,5,7-9,9,7,9 -> 7,5,0.0646135769927
10,5,7-9,9,7,9 -> 7,6,0.0660225339231809
10,5,7-9,9,7,9 -> 7,7,-0.0688041216511648
10,5,7-9,9,7,9 -> 7,8,-0.0140266569668086
10,5,7-9,9,7,9 -> 7,9,0.0209556697561399
10,5,7-9,9,7,9 -> 7,10,0.022885008880147
10,6,7-9,7,9,7 -> 9,1,-0.285859762308612
10,6,7-9,7,9,7 -> 9,2,0.282706874314818
10,6,7-9,7,9,7 -> 9,3,-0.101903207803286
10,6,7-9,7,9,7 -> 9,4,0.0971534130222139
10,6,7-9,7,9,7 -> 9,5,0.0902403143452088
10,6,7-9,7,9,7 -> 9,6,-0.0543531394016259
10,6,7-9,7,9,7 -> 9,7,-0.0573260106139439
10,6,7-9,7,9,7 -> 9,8,-0.0448260827513189
10,6,7-9,7,9,7 -> 9,9,0.0276829080344138
10,6,7-9,7,9,7 -> 9,10,0.0263382210262099
10,7,8-10,10,8,10 -> 8,1,-0.0239128210924827
10,7,8-10,10,8,10 -> 8,2,0.00801781925165423
10,7,8-10,10,8,10 -> 8,3,-0.0304722541797969
10,7,8-10,10,8,10 -> 8,4,0.016674308828326
10,7,8-10,10,8,10 -> 8,5,0.0360351719015395
10,7,8-10,10,8,10 -> 8,6,-0.00306851830825867
10,7,8-10,10,8,10 -> 8,7,0.0260108828925252
10,7,8-10,10,8,10 -> 8,8,0.0114628334321501
10,7,8-10,10,8,10 -> 8,9,0.0211164910049583
10,7,8-10,10,8,10 -> 8,10,0.0179123572978869
10,8,8-10,8,10,8 -> 10,1,-0.00126201777676152
10,8,8-10,8,10,8 -> 10,2,-0.000132232938985353
10,8,8-10,8,10,8 -> 10,3,-0.0151480016801851
10,8,8-10,8,10,8 -> 10,4,-0.00507491753825366
10,8,8-10,8,10,8 -> 10,5,0.0250922043329895
10,8,8-10,8,10,8 -> 10,6,0.0123807473064249
10,8,8-10,8,10,8 -> 10,7,0.00664222781080169
10,8,8-10,8,10,8 -> 10,8,0.0114430510787838
10,8,8-10,8,10,8 -> 10,9,0.0240401522250844
10,8,8-10,8,10,8 -> 10,10,0.0184623785658695
10,9,8-9,9,8,9 -> 8,1,-0.023749151691968
10,9,8-9,9,8,9 -> 8,2,0.0259904885051277
10,9,8-9,9,8,9 -> 8,3,-0.0184136869576177
10,9,8-9,9,8,9 -> 8,4,0.0217574477430766
10,9,8-9,9,8,9 -> 8,5,0.0139850704803921
10,9,8-9,9,8,9 -> 8,6,-0.0102408599269864
10,9,8-9,9,8,9 -> 8,7,0.00298951467809319
10,9,8-9,9,8,9 -> 8,8,-0.0195510147949367
10,9,8-9,9,8,9 -> 8,9,0.0072085039411263
10,9,8-9,9,8,9 -> 8,10,0.00407986320751062
10,10,8-9,8,9,8 -> 9,1,-0.0625643591919419
10,10,8-9,8,9,8 -> 9,2,0.0654191854851615
10,10,8-9,8,9,8 -> 9,3,-0.0264552742826116
10,10,8-9,8,9,8 -> 9,4,-0.00377068567193228
10,10,8-9,8,9,8 -> 9,5,0.0262682330782281
10,10,8-9,8,9,8 -> 9,6,0.0200132143298958
10,10,8-9,8,9,8 -> 9,7,-0.00858672330663239
10,10,8-9,8,9,8 -> 9,8,-0.0168817227277419
10,10,8-9,8,9,8 -> 9,9,0.0103727767857661
10,10,8-9,8,9,8 -> 9,10,0.00454865819751987
10,11,9-10,10,9,10 -> 9,1,-0.0950032061328246
10,11,9-10,10,9,10 -> 9,2,0.0823174341696413
10,11,9-10,10,9,10 -> 9,3,-0.0259712891206984
10,11,9-10,10,9,10 -> 9,4,0.0680876588159132
10,11,9-10,10,9,10 -> 9,5,0.0141600839150393
10,11,9-10,10,9,10 -> 9,6,-0.0642243209036885
10,11,9-10,10,9,10 -> 9,7,-0.0190894763048357
10,11,9-10,10,9,10 -> 9,8,0.0178747381664738
10,11,9-10,10,9,10 -> 9,9,0.00745307882048744
10,11,9-10,10,9,10 -> 9,10,0.0087621062691808
10,12,9-10,9,10,9 -> 10,1,-0.24068620295998
10,12,9-10,9,10,9 -> 10,2,0.188984191469415
10,12,9-10,9,10,9 -> 10,3,-0.0921570329636929
10,12,9-10,9,10,9 -> 10,4,0.0786679374886419
10,12,9-10,9,10,9 -> 10,5,0.0647885943744166
10,12,9-10,9,10,9 -> 10,6,-0.064740629040905
10,12,9-10,9,10,9 -> 10,7,-0.0310907923180295
10,12,9-10,9,10,9 -> 10,8,0.0212690669328877
10,12,9-10,9,10,9 -> 10,9,0.00875869569518907
10,12,9-10,9,10,9 -> 10,10,0.0146740322345884
