pair_name,target_id,source_id,direction,total_energy,residual_energy,relative_residual,explained_fraction,zero_direction,weight_r1
7-10,7,10,s1,0.00114040498422885,0.000392356047292902,0.586557540118072,0.655950252130637,0,0.0273504833035168
7-10,10,7,s2,0.00130052532856216,0.000292061870332559,0.473890523000856,0.775427772209975,0,0.0317563136750726
7-8,7,8,s1,0.00132607158108459,0.000395967042315921,0.546444470781227,0.701398440352624,0,-0.030497615296424
7-8,8,7,s2,0.00223967578658915,0.000376609648200805,0.410065416094402,0.831846354523325,0,-0.0431632498589754
7-9,7,9,s1,0.00396360924320864,0.000989870976074144,0.499739731351227,0.750260200909003,0,0.054531993060354
7-9,9,7,s2,0.00471379894654087,0.000489652252481516,0.322298549390011,0.896123645061095,0,0.0649934357766948
8-10,8,10,s1,0.0012931532631084,0.000495776492375251,0.619181490427856,0.616614281911539,0,0.0282378605905821
8-10,10,8,s2,0.000780776984836853,0.000341103716461061,0.660966919386203,0.563122731477112,0,0.0209683873575388
8-9,8,9,s1,0.00126418276976114,0.000165367824789822,0.361676735018585,0.869189939346297,0,0.0331483777125114
8-9,9,8,s2,0.00145079361364312,0.000235554655383119,0.402942455197631,0.837637377799305,0,0.0348602776560945
9-10,9,10,s1,0.00149146278330317,0.000261323055888969,0.418584028784813,0.824787410846275,0,-0.0350733478215895
9-10,10,9,s2,0.00192289817032128,0.000523705112861379,0.521873523177964,0.727648025805819,0,-0.0374057890901916
