m,Re_A,Im_A,Abs_A,Angle_A
-10,0.00212864855060658,-0.011787848747501,0.0119785025251891,-1.39214174430636
-9,-0.0184780952393671,0.0101622493141334,0.0210881795041138,2.63877865518569
-8,-0.000817979583254052,-0.00476218194755993,0.00483192171918028,-1.74090210009924
-7,0.00931002601620558,-0.0343034820345767,0.0355444153717424,-1.3057784219683
-6,-0.00677560307697104,0.0631735868352358,0.0635359022182399,1.67764161661782
-5,0.0165492421230316,0.0722832102799254,0.0741534888135322,1.3457253981128
-4,0.0686382767180186,-0.172618002575546,0.185763795837592,-1.19233381918275
-3,0.0187851964331499,-0.14874305628787,0.149924582370232,-1.44516849646502
-2,-0.331385993213404,0.292608850800913,0.442082137238166,2.41825804988983
-1,-0.10282308149058,0.0839972315235013,0.132770934284696,2.45662528592211
0,0.661119043982485,0,0.661119043982485,0
1,-0.10282308149058,-0.0839972315235013,0.132770934284696,-2.45662528592211
2,-0.331385993213404,-0.292608850800913,0.442082137238166,-2.41825804988983
3,0.0187851964331499,0.14874305628787,0.149924582370232,1.44516849646502
4,0.0686382767180186,0.172618002575546,0.185763795837592,1.19233381918275
5,0.0165492421230316,-0.0722832102799254,0.0741534888135322,-1.3457253981128
6,-0.00677560307697104,-0.0631735868352358,0.0635359022182399,-1.67764161661782
7,0.00931002601620558,0.0343034820345767,0.0355444153717424,1.3057784219683
8,-0.000817979583254052,0.00476218194755993,0.00483192171918028,1.74090210009924
9,-0.0184780952393671,-0.0101622493141334,0.0210881795041138,-2.63877865518569
10,0.00212864855060658,0.011787848747501,0.0119785025251891,1.39214174430636
