pair_name,target_id,source_id,direction,total_energy,joint_r1_energy_ratio,joint_r1_cum_r2,joint_r2_energy_ratio,joint_r2_cum_r2,joint_r3_energy_ratio,joint_r3_cum_r2,indiv_r1_energy_ratio,indiv_r1_cum_r2,indiv_r2_energy_ratio,indiv_r2_cum_r2,indiv_r3_energy_ratio,indiv_r3_cum_r2,weight_r1
7-10,7,10,s1,0.00104804347261874,0.716209877942892,0.71620987794289,0.197403817508498,0.913613695451388,0.0299581927233462,0.943571888174734,0.862113209834424,0.862113209834424,0.116398346785302,0.978511556619727,0.00955833614954008,0.988069892769267,-0.0242368235301048
7-10,10,7,s2,0.00118374751003136,0.851097326849784,0.851097326849783,0.084326530520053,0.935423857369836,0.0102824739940114,0.945706331363847,0.876471156598312,0.876471156598312,0.0866588555372565,0.963130012135568,0.0209586699619018,0.98408868209747,-0.0281755482576553
7-8,7,8,s1,0.00122192063435686,0.80337478617549,0.803374786175489,0.0893220429379114,0.8926968291134,0.0573723605409917,0.950069189654392,0.949918309652216,0.949918309652216,0.0267610733840565,0.976679383036273,0.0132297353877745,0.989909118424047,0.0269888392268163
7-8,8,7,s2,0.00208072895916191,0.913474143973874,0.913474143973873,0.022437688856378,0.935911832830251,0.0190689973495084,0.954980830179759,0.94995090401807,0.94995090401807,0.0215478460860166,0.971498750104087,0.0136104477583761,0.985109197862463,0.0383662861503529
7-9,7,9,s1,0.00375256778507037,0.813105120017003,0.813105120017002,0.124494627314142,0.937599747331144,0.0151139143222282,0.952713661653372,0.843480523363168,0.843480523363168,0.134004498917333,0.977485022280501,0.00893117068431465,0.986416192964816,-0.0485885075246196
7-9,9,7,s2,0.00457392565780953,0.931804234858031,0.931804234858031,0.0249199561335253,0.956724190991556,0.0205942459784529,0.977318436970009,0.947163050288223,0.947163050288223,0.0332092834311736,0.980372333719397,0.00935543666338859,0.989727770382785,-0.0580707972053541
8-10,8,10,s1,0.00119558656881692,0.796796588095664,0.796796588095663,0.104561219354405,0.901357807450068,0.0452533707228319,0.9466111781729,0.877713480238445,0.877713480238445,0.0908829200534964,0.968596400291941,0.0238840225558663,0.992480422847807,-0.0254077664316049
8-10,10,8,s2,0.000673411143073209,0.815071779168203,0.815071779168202,0.0963008443759762,0.911372623544178,0.0137342341501973,0.925106857694375,0.835862328747734,0.835862328747734,0.106185790833544,0.942048119581278,0.0337359361208718,0.97578405570215,-0.0185449125305551
8-9,8,9,s1,0.00120008339969732,0.916051499132096,0.916051499132095,0.0413993740783316,0.957450873210427,0.0176780640780033,0.97512893728843,0.938101705053611,0.938101705053611,0.0439278324830099,0.98202953753662,0.00823810296531209,0.990267640501933,-0.0295427479201262
8-9,9,8,s2,0.00138365628987634,0.866080204566103,0.866080204566102,0.106215182931235,0.972295387497337,0.00609263803832458,0.978388025535661,0.884408744647593,0.884408744647593,0.101623122370718,0.986031867018311,0.00536396663272774,0.991395833651039,-0.0309462685361728
9-10,9,10,s1,0.00141776349899299,0.871248930082474,0.871248930082473,0.0726166013870248,0.943865531469497,0.0281572225958298,0.972022754065327,0.887754147420242,0.887754147420242,0.0923482264601711,0.980102373880413,0.0112950816811863,0.991397455561599,0.0311755923742563
9-10,10,9,s2,0.00173857856362672,0.815891965321799,0.815891965321798,0.0142211009784486,0.830113066300247,0.065225123702695,0.895338190002942,0.893603749126446,0.893603749126446,0.0629917354929624,0.956595484619408,0.0223044020458771,0.978899886665285,0.0332938757602856
