time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1785255014.8484793,3144851,805081856,805.081856,170,0,103,9,20260728_181208
1785255014.857695,3144887,805091072,805.091072,173,1,103,9,20260728_181208
1785255014.8676794,3144926,805101056,805.101056,177,0,103,9,20260728_181208
1785255014.8776634,3144965,805111040,805.11104,180,202,103,9,20260728_181208
1785255014.8876472,3145004,805121024,805.121024,183,99,102,9,20260728_181208
1785255014.8976312,3145043,805131008,805.131008,186,58,102,9,20260728_181208
1785255014.9076152,3145082,805140992,805.140992,189,44,103,9,20260728_181208
1785255014.9178553,3145122,805151232,805.151232,193,7,103,9,20260728_181208
1785255014.9278393,3145161,805161216,805.161216,196,28,103,9,20260728_181208
1785255014.9378233,3145200,805171200,805.1712,199,17,102,9,20260728_181208
1785255014.9478073,3145239,805181184,805.181184,202,52,102,9,20260728_181208
1785255014.957791,3145278,805191168,805.191168,205,0,103,9,20260728_181208
1785255014.967775,3145317,805201152,805.201152,208,0,103,9,20260728_181208
1785255014.9777594,3145356,805211136,805.211136,212,0,104,9,20260728_181208
1785255014.9877434,3145395,805221120,805.22112,215,111,104,9,20260728_181208
1785255014.9977272,3145434,805231104,805.231104,218,11,105,9,20260728_181208
1785255015.0077112,3145473,805241088,805.241088,221,0,106,9,20260728_181208
1785255015.0179513,3145513,805251328,805.251328,225,67,105,9,20260728_181208
1785255015.0279353,3145552,805261312,805.261312,228,0,105,9,20260728_181208
1785255015.0379193,3145591,805271296,805.271296,231,59,105,9,20260728_181208
1785255015.0479033,3145630,805281280,805.28128,234,0,105,9,20260728_181208
1785255015.0578873,3145669,805291264,805.291264,237,0,103,9,20260728_181208
1785255015.067871,3145708,805301248,805.301248,240,4,102,9,20260728_181208
1785255015.077855,3145747,805311232,805.311232,243,0,103,9,20260728_181208
1785255015.0878394,3145786,805321216,805.321216,247,0,104,9,20260728_181208
1785255015.0978231,3145825,805331200,805.3312,250,0,105,9,20260728_181208
1785255015.1078072,3145864,805341184,805.341184,1,134,106,9,20260728_181208
1785255015.1180472,3145904,805351424,805.351424,4,8,103,9,20260728_181208
1785255015.1280313,3145943,805361408,805.361408,8,1,103,9,20260728_181208
1785255015.1380153,3145982,805371392,805.371392,11,3,104,9,20260728_181208
1785255015.1479993,3146021,805381376,805.381376,14,1,106,9,20260728_181208
1785255015.1579833,3146060,805391360,805.39136,17,1,107,9,20260728_181208
1785255015.167967,3146099,805401344,805.401344,20,0,111,9,20260728_181208
1785255015.177951,3146138,805411328,805.411328,24,0,121,9,20260728_181208
1785255015.1879354,3146177,805421312,805.421312,27,0,128,9,20260728_181208
1785255015.1979194,3146216,805431296,805.431296,30,0,132,9,20260728_181208
1785255015.2079031,3146255,805441280,805.44128,33,0,133,9,20260728_181208
1785255015.2178872,3146294,805451264,805.451264,36,0,135,9,20260728_181208
1785255015.2281272,3146334,805461504,805.461504,40,0,136,9,20260728_181208
1785255015.2381113,3146373,805471488,805.471488,43,124,138,9,20260728_181208
1785255015.2480953,3146412,805481472,805.481472,46,1,141,9,20260728_181208
1785255015.2580793,3146451,805491456,805.491456,49,127,141,9,20260728_181208
1785255015.2680633,3146490,805501440,805.50144,52,0,142,9,20260728_181208
1785255015.278047,3146529,805511424,805.511424,55,133,142,9,20260728_181208
1785255015.288031,3146568,805521408,805.521408,59,0,142,9,20260728_181208
1785255015.2980154,3146607,805531392,805.531392,62,0,142,9,20260728_181208
1785255015.3079994,3146646,805541376,805.541376,65,127,142,9,20260728_181208
1785255015.3179832,3146685,805551360,805.55136,68,6,140,9,20260728_181208
1785255015.3282232,3146725,805561600,805.5616,71,1,140,9,20260728_181208
1785255015.3382072,3146764,805571584,805.571584,75,105,137,9,20260728_181208
1785255015.3481913,3146803,805581568,805.581568,78,0,133,9,20260728_181208
1785255015.3581753,3146842,805591552,805.591552,81,35,130,9,20260728_181208
1785255015.3681593,3146881,805601536,805.601536,84,0,127,9,20260728_181208
1785255015.3781433,3146920,805611520,805.61152,87,122,125,9,20260728_181208
1785255015.388127,3146959,805621504,805.621504,91,0,123,9,20260728_181208
1785255015.398111,3146998,805631488,805.631488,94,115,121,9,20260728_181208
1785255015.4080954,3147037,805641472,805.641472,97,0,120,9,20260728_181208
1785255015.4180794,3147076,805651456,805.651456,100,115,120,9,20260728_181208
1785255015.4280632,3147115,805661440,805.66144,103,93,121,9,20260728_181208
1785255015.4383032,3147155,805671680,805.67168,106,0,121,9,20260728_181208
1785255015.4482872,3147194,805681664,805.681664,110,0,121,9,20260728_181208
1785255015.4582713,3147233,805691648,805.691648,113,5,121,9,20260728_181208
1785255015.4682553,3147272,805701632,805.701632,116,0,121,9,20260728_181208
1785255015.4782393,3147311,805711616,805.711616,119,78,121,9,20260728_181208
1785255015.4882233,3147350,805721600,805.7216,122,0,122,9,20260728_181208
1785255015.498207,3147389,805731584,805.731584,126,0,121,9,20260728_181208
1785255015.508191,3147428,805741568,805.741568,129,15,123,9,20260728_181208
1785255015.5181754,3147467,805751552,805.751552,132,0,124,9,20260728_181208
1785255015.5281591,3147506,805761536,805.761536,135,6,125,9,20260728_181208
1785255015.5383992,3147546,805771776,805.771776,138,0,125,9,20260728_181208
1785255015.5483832,3147585,805781760,805.78176,142,1,126,9,20260728_181208
1785255015.5583673,3147624,805791744,805.791744,145,1,126,9,20260728_181208
1785255015.5683513,3147663,805801728,805.801728,148,1,126,9,20260728_181208
1785255015.5783353,3147702,805811712,805.811712,151,0,124,9,20260728_181208
1785255015.5883193,3147741,805821696,805.821696,154,1,122,9,20260728_181208
1785255015.5983033,3147780,805831680,805.83168,158,66,125,9,20260728_181208
1785255015.608287,3147819,805841664,805.841664,161,1,126,9,20260728_181208
