Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelativeResidual,ExplainedFraction,ExplainedPercent
1,1,10-11,11,10,11 -> 10,0.380444146139487,0.855262251668197,85.5262251668197
1,2,10-11,10,11,10 -> 11,0.348872184151273,0.87828819912552,87.828819912552
1,3,10-12,12,10,12 -> 10,0.448899531754412,0.79848921039067,79.848921039067
1,4,10-12,10,12,10 -> 12,0.453624787034759,0.794224552587669,79.4224552587669
1,5,11-12,12,11,12 -> 11,0.394147888739052,0.844647441802548,84.4647441802548
1,6,11-12,11,12,11 -> 12,0.433581900086525,0.812006735917359,81.2006735917359
1,7,7-10,10,7,10 -> 7,0.521758539314573,0.727768026652323,72.7768026652323
1,8,7-10,7,10,7 -> 10,0.438288391491163,0.807903285884089,80.7903285884089
1,9,7-11,11,7,11 -> 7,0.922746633486209,0.148538650389868,14.8538650389868
1,10,7-11,7,11,7 -> 11,0.863152162511517,0.254968344351692,25.4968344351692
1,11,7-12,12,7,12 -> 7,0.604597775018683,0.634461530442458,63.4461530442458
1,12,7-12,7,12,7 -> 12,0.569832680992922,0.675290715672419,67.5290715672419
1,13,7-8,8,7,8 -> 7,0.48331990597831,0.766401868485117,76.6401868485117
1,14,7-8,7,8,7 -> 8,0.480462373281434,0.769155907860772,76.9155907860772
1,15,7-9,9,7,9 -> 7,0.476340080677037,0.773100127540594,77.3100127540594
1,16,7-9,7,9,7 -> 9,0.398411733068227,0.841268090953572,84.1268090953572
1,17,8-10,10,8,10 -> 8,0.349180484549674,0.878072989209655,87.8072989209655
1,18,8-10,8,10,8 -> 10,0.413573656639865,0.828956830533531,82.8956830533531
1,19,8-11,11,8,11 -> 8,0.449173610098422,0.798243067991151,79.8243067991151
1,20,8-11,8,11,8 -> 11,0.41134323023023,0.83079674694376,83.079674694376
1,21,8-9,9,8,9 -> 8,0.527273849363583,0.72198228777731,72.198228777731
1,22,8-9,8,9,8 -> 9,0.386102074765662,0.850925187861651,85.0925187861651
1,23,9-10,10,9,10 -> 9,0.403028945880349,0.837567668782575,83.7567668782575
1,24,9-10,9,10,9 -> 10,0.508527189963245,0.741400097068086,74.1400097068086
1,25,9-11,11,9,11 -> 9,0.549928671023651,0.697578456786161,69.7578456786161
1,26,9-11,9,11,9 -> 11,0.587635088510875,0.654685002750817,65.4685002750817
1,27,9-12,12,9,12 -> 9,0.542225053944762,0.7059919908746,70.59919908746
1,28,9-12,9,12,9 -> 12,0.618032604429872,0.618035699861629,61.8035699861629
2,1,10-11,11,10,11 -> 10,0.368960033979954,0.863868493325511,86.3868493325511
2,2,10-11,10,11,10 -> 11,0.33245500824773,0.889473667491002,88.9473667491002
2,3,10-12,12,10,12 -> 10,0.433687846017691,0.811914852216535,81.1914852216535
2,4,10-12,10,12,10 -> 12,0.43499167108253,0.810782246088828,81.0782246088828
2,5,11-12,12,11,12 -> 11,0.379982499788245,0.855613299854676,85.5613299854676
2,6,11-12,11,12,11 -> 12,0.417943486017942,0.825323242495171,82.5323242495171
2,7,7-10,10,7,10 -> 7,0.514106465420101,0.73569454221325,73.569454221325
2,8,7-10,7,10,7 -> 10,0.42363395007875,0.820534276340675,82.0534276340675
2,9,7-11,11,7,11 -> 7,0.91929044326187,0.154905080927395,15.4905080927395
2,10,7-11,7,11,7 -> 11,0.863164452342531,0.254947128212218,25.4947128212218
2,11,7-12,12,7,12 -> 7,0.591882049708293,0.64967563923311,64.967563923311
2,12,7-12,7,12,7 -> 12,0.55417677493288,0.692888102124992,69.2888102124992
2,13,7-8,8,7,8 -> 7,0.464886819251201,0.783880245286501,78.3880245286501
2,14,7-8,7,8,7 -> 8,0.477742604538938,0.771762003808352,77.1762003808352
2,15,7-9,9,7,9 -> 7,0.456550458137158,0.791561679174751,79.1561679174751
2,16,7-9,7,9,7 -> 9,0.392726630098498,0.845765794011478,84.5765794011478
2,17,8-10,10,8,10 -> 8,0.328571565050475,0.892040726640282,89.2040726640282
2,18,8-10,8,10,8 -> 10,0.398506895113144,0.841192254547281,84.1192254547281
2,19,8-11,11,8,11 -> 8,0.439359771745811,0.806962990971469,80.6962990971469
2,20,8-11,8,11,8 -> 11,0.417828270364632,0.8254195364841,82.54195364841
2,21,8-9,9,8,9 -> 8,0.53094665821875,0.718095646126342,71.8095646126342
2,22,8-9,8,9,8 -> 9,0.38770433265405,0.849685350441278,84.9685350441278
2,23,9-10,10,9,10 -> 9,0.386853009884132,0.850344748743588,85.0344748743588
2,24,9-10,9,10,9 -> 10,0.495171209431356,0.754805473350288,75.4805473350288
2,25,9-11,11,9,11 -> 9,0.52821341450505,0.720990588736917,72.0990588736917
2,26,9-11,9,11,9 -> 11,0.564893363400442,0.680895487986136,68.0895487986136
2,27,9-12,12,9,12 -> 9,0.518146671885736,0.731524026413735,73.1524026413735
2,28,9-12,9,12,9 -> 12,0.617368710294318,0.618855875549531,61.8855875549531
3,1,10-11,11,10,11 -> 10,0.365247797991949,0.866594046062032,86.6594046062032
3,2,10-11,10,11,10 -> 11,0.332041675968623,0.889748325419948,88.9748325419948
3,3,10-12,12,10,12 -> 10,0.430774240230989,0.814433553953414,81.4433553953414
3,4,10-12,10,12,10 -> 12,0.436764605611969,0.809236679284621,80.9236679284621
3,5,11-12,12,11,12 -> 11,0.374777195758036,0.859542053539743,85.9542053539743
3,6,11-12,11,12,11 -> 12,0.421316739455869,0.822492205054275,82.2492205054275
3,7,7-10,10,7,10 -> 7,0.514173546960747,0.735625563605805,73.5625563605805
3,8,7-10,7,10,7 -> 10,0.424097408846437,0.820141387809738,82.0141387809738
3,9,7-11,11,7,11 -> 7,0.916799663420926,0.159478377151277,15.9478377151277
3,10,7-11,7,11,7 -> 11,0.85891073078247,0.262272356546724,26.2272356546724
3,11,7-12,12,7,12 -> 7,0.592157902049387,0.649349019040468,64.9349019040468
3,12,7-12,7,12,7 -> 12,0.550873068206927,0.696538862724287,69.6538862724287
3,13,7-8,8,7,8 -> 7,0.461490183859974,0.787026810200888,78.7026810200888
3,14,7-8,7,8,7 -> 8,0.46804167958732,0.78093698616908,78.093698616908
3,15,7-9,9,7,9 -> 7,0.458164649518264,0.790085153931807,79.0085153931807
3,16,7-9,7,9,7 -> 9,0.387167857796582,0.850101049889206,85.0101049889206
3,17,8-10,10,8,10 -> 8,0.333385592848708,0.888854046480916,88.8854046480916
3,18,8-10,8,10,8 -> 10,0.398414208475342,0.841266118484967,84.1266118484967
3,19,8-11,11,8,11 -> 8,0.441740176812101,0.804865616190014,80.4865616190014
3,20,8-11,8,11,8 -> 11,0.417906790873966,0.825353914141423,82.5353914141423
3,21,8-9,9,8,9 -> 8,0.527344912695822,0.721907343053836,72.1907343053836
3,22,8-9,8,9,8 -> 9,0.375890993699492,0.858705960855609,85.8705960855609
3,23,9-10,10,9,10 -> 9,0.386495219357749,0.850621445413606,85.0621445413606
3,24,9-10,9,10,9 -> 10,0.494592427608952,0.755378330551883,75.5378330551883
3,25,9-11,11,9,11 -> 9,0.528027186798646,0.721187290001508,72.1187290001508
3,26,9-11,9,11,9 -> 11,0.56117556351329,0.685081986915542,68.5081986915542
3,27,9-12,12,9,12 -> 9,0.516142692605615,0.733596720869826,73.3596720869826
3,28,9-12,9,12,9 -> 12,0.621153573021197,0.614168238723,61.4168238723
4,1,10-11,11,10,11 -> 10,0.361624231659647,0.86922791507657,86.922791507657
4,2,10-11,10,11,10 -> 11,0.323494463947027,0.895351331795626,89.5351331795626
4,3,10-12,12,10,12 -> 10,0.428353372062653,0.816513388642555,81.6513388642555
4,4,10-12,10,12,10 -> 12,0.43383824384915,0.811784378173886,81.1784378173886
4,5,11-12,12,11,12 -> 11,0.358968188432333,0.871141839693609,87.1141839693609
4,6,11-12,11,12,11 -> 12,0.419861852167491,0.823716025094484,82.3716025094484
4,7,7-10,10,7,10 -> 7,0.524063125622616,0.725357840362654,72.5357840362654
4,8,7-10,7,10,7 -> 10,0.431046388373722,0.81419901106997,81.419901106997
4,9,7-11,11,7,11 -> 7,0.916047283804332,0.160857373834705,16.0857373834705
4,10,7-11,7,11,7 -> 11,0.854476179668063,0.269870458379872,26.9870458379872
4,11,7-12,12,7,12 -> 7,0.601426356484204,0.638286337726135,63.8286337726135
4,12,7-12,7,12,7 -> 12,0.554737037739498,0.692266818960007,69.2266818960007
4,13,7-8,8,7,8 -> 7,0.461823398533587,0.786719148566888,78.6719148566888
4,14,7-8,7,8,7 -> 8,0.458355867441132,0.789909898782287,78.9909898782287
4,15,7-9,9,7,9 -> 7,0.456317421294848,0.79177441102282,79.177441102282
4,16,7-9,7,9,7 -> 9,0.380478291039418,0.855236270047724,85.5236270047724
4,17,8-10,10,8,10 -> 8,0.330667843599284,0.890658777209399,89.0658777209399
4,18,8-10,8,10,8 -> 10,0.401030184625202,0.839174791019476,83.9174791019476
4,19,8-11,11,8,11 -> 8,0.438028552957778,0.808130986793715,80.8130986793715
4,20,8-11,8,11,8 -> 11,0.423860034745368,0.820342670945655,82.0342670945655
4,21,8-9,9,8,9 -> 8,0.520292803982011,0.729295398124537,72.9295398124537
4,22,8-9,8,9,8 -> 9,0.366109448164303,0.86596387196483,86.596387196483
4,23,9-10,10,9,10 -> 9,0.383394102093959,0.853008962479567,85.3008962479567
4,24,9-10,9,10,9 -> 10,0.498508096465151,0.751489677758691,75.1489677758691
4,25,9-11,11,9,11 -> 9,0.519569377305522,0.730047662166352,73.0047662166352
4,26,9-11,9,11,9 -> 11,0.56083316650061,0.685466159352899,68.5466159352899
4,27,9-12,12,9,12 -> 9,0.51257378414224,0.737268115810104,73.7268115810104
4,28,9-12,9,12,9 -> 12,0.621322780429744,0.613958002519052,61.3958002519052
5,1,10-11,11,10,11 -> 10,0.360036077286403,0.870374023052219,87.0374023052219
5,2,10-11,10,11,10 -> 11,0.323257220426431,0.895504769442178,89.5504769442178
5,3,10-12,12,10,12 -> 10,0.425747355895046,0.818739188948377,81.8739188948377
5,4,10-12,10,12,10 -> 12,0.434172788560372,0.81149398967371,81.149398967371
5,5,11-12,12,11,12 -> 11,0.355935855899336,0.873309666485207,87.3309666485207
5,6,11-12,11,12,11 -> 12,0.420652186011536,0.823051738403716,82.3051738403716
5,7,7-10,10,7,10 -> 7,0.524771637946058,0.724614728007411,72.4614728007411
5,8,7-10,7,10,7 -> 10,0.434237053076067,0.811438181735813,81.1438181735813
5,9,7-11,11,7,11 -> 7,0.914152188759803,0.164325775785661,16.4325775785661
5,10,7-11,7,11,7 -> 11,0.849696882644144,0.278015207624824,27.8015207624824
5,11,7-12,12,7,12 -> 7,0.60217037892587,0.637390834744274,63.7390834744274
5,12,7-12,7,12,7 -> 12,0.553662244969737,0.693458118495071,69.3458118495071
5,13,7-8,8,7,8 -> 7,0.459338766376912,0.789007897703337,78.9007897703337
5,14,7-8,7,8,7 -> 8,0.453428539190195,0.794402559847846,79.4402559847846
5,15,7-9,9,7,9 -> 7,0.457742251057369,0.790472031596933,79.0472031596933
5,16,7-9,7,9,7 -> 9,0.374810517995913,0.859517075599635,85.9517075599635
5,17,8-10,10,8,10 -> 8,0.331657291195609,0.890003441196791,89.0003441196791
5,18,8-10,8,10,8 -> 10,0.401807821101832,0.838550474901398,83.8550474901398
5,19,8-11,11,8,11 -> 8,0.436666993356185,0.809321936913269,80.9321936913269
5,20,8-11,8,11,8 -> 11,0.424109144965747,0.820131433156423,82.0131433156423
5,21,8-9,9,8,9 -> 8,0.516789250936538,0.732928870116452,73.2928870116452
5,22,8-9,8,9,8 -> 9,0.360124121710946,0.87031061696192,87.031061696192
5,23,9-10,10,9,10 -> 9,0.38069795851977,0.855069064378879,85.5069064378879
5,24,9-10,9,10,9 -> 10,0.49992570778376,0.750074286696907,75.0074286696907
5,25,9-11,11,9,11 -> 9,0.520937535632368,0.728624083969276,72.8624083969276
5,26,9-11,9,11,9 -> 11,0.560900183789802,0.685390983824566,68.5390983824566
5,27,9-12,12,9,12 -> 9,0.512092784956749,0.737760979595241,73.7760979595241
5,28,9-12,9,12,9 -> 12,0.624194737886222,0.61038092919515,61.038092919515
6,1,10-11,11,10,11 -> 10,0.360994584845627,0.869682909712134,86.9682909712134
6,2,10-11,10,11,10 -> 11,0.324495432051831,0.894702714577496,89.4702714577496
6,3,10-12,12,10,12 -> 10,0.425652955278405,0.81881956166276,81.881956166276
6,4,10-12,10,12,10 -> 12,0.433694536507423,0.811909049003611,81.1909049003611
6,5,11-12,12,11,12 -> 11,0.354641890317428,0.874229129632081,87.4229129632081
6,6,11-12,11,12,11 -> 12,0.421421509420274,0.822403911397938,82.2403911397938
6,7,7-10,10,7,10 -> 7,0.524869865742562,0.724511624035385,72.4511624035385
6,8,7-10,7,10,7 -> 10,0.435842108088316,0.810041656817133,81.0041656817133
6,9,7-11,11,7,11 -> 7,0.912631929876325,0.167102960570214,16.7102960570214
6,10,7-11,7,11,7 -> 11,0.844753263453119,0.286391923885306,28.6391923885306
6,11,7-12,12,7,12 -> 7,0.603930685812986,0.635267726733457,63.5267726733457
6,12,7-12,7,12,7 -> 12,0.553179372774889,0.693992581536381,69.3992581536381
6,13,7-8,8,7,8 -> 7,0.458469984651912,0.789805273173276,78.9805273173276
6,14,7-8,7,8,7 -> 8,0.450924581485128,0.796667021812463,79.6667021812463
6,15,7-9,9,7,9 -> 7,0.458767746070798,0.789532155165119,78.9532155165119
6,16,7-9,7,9,7 -> 9,0.374280825114522,0.859913863951593,85.9913863951593
6,17,8-10,10,8,10 -> 8,0.334603800488275,0.888040296698803,88.8040296698803
6,18,8-10,8,10,8 -> 10,0.403582431329538,0.837121221122139,83.7121221122139
6,19,8-11,11,8,11 -> 8,0.437513661188945,0.808581796273045,80.8581796273045
6,20,8-11,8,11,8 -> 11,0.426804856260473,0.817837614672477,81.7837614672477
6,21,8-9,9,8,9 -> 8,0.516954007633904,0.732758553991246,73.2758553991246
6,22,8-9,8,9,8 -> 9,0.35734567141572,0.872304071120448,87.2304071120448
6,23,9-10,10,9,10 -> 9,0.381339741809854,0.854580001316394,85.4580001316394
6,24,9-10,9,10,9 -> 10,0.50094846640348,0.749050634008001,74.9050634008001
6,25,9-11,11,9,11 -> 9,0.522517272341453,0.726975700104848,72.6975700104848
6,26,9-11,9,11,9 -> 11,0.56161241959902,0.684591490152134,68.4591490152134
6,27,9-12,12,9,12 -> 9,0.512312892575958,0.737535500100455,73.7535500100455
6,28,9-12,9,12,9 -> 12,0.624813454110384,0.60960814756265,60.960814756265
7,1,10-11,11,10,11 -> 10,0.360631284133944,0.869945076903903,86.9945076903903
7,2,10-11,10,11,10 -> 11,0.324610997869722,0.894627700062024,89.4627700062023
7,3,10-12,12,10,12 -> 10,0.425361178346425,0.819067867955741,81.9067867955741
7,4,10-12,10,12,10 -> 12,0.433195954590098,0.812341264926773,81.2341264926773
7,5,11-12,12,11,12 -> 11,0.355401578501008,0.873689717998992,87.3689717998992
7,6,11-12,11,12,11 -> 12,0.421590159729748,0.822261737219045,82.2261737219045
7,7,7-10,10,7,10 -> 7,0.528176656926557,0.721029419077887,72.1029419077886
7,8,7-10,7,10,7 -> 10,0.437879796160723,0.808261284114243,80.8261284114243
7,9,7-11,11,7,11 -> 7,0.911319713258227,0.169496380226943,16.9496380226943
7,10,7-11,7,11,7 -> 11,0.840084961333499,0.294257257741293,29.4257257741293
7,11,7-12,12,7,12 -> 7,0.60660716781925,0.632027743950308,63.2027743950308
7,12,7-12,7,12,7 -> 12,0.556498240069801,0.690309708799214,69.0309708799215
7,13,7-8,8,7,8 -> 7,0.457728062306467,0.790485020977167,79.0485020977167
7,14,7-8,7,8,7 -> 8,0.44764745060002,0.799611759971303,79.9611759971303
7,15,7-9,9,7,9 -> 7,0.459063164631049,0.789261010878926,78.9261010878926
7,16,7-9,7,9,7 -> 9,0.373001392276252,0.860869961359978,86.0869961359978
7,17,8-10,10,8,10 -> 8,0.334540493856932,0.88808265796996,88.808265796996
7,18,8-10,8,10,8 -> 10,0.405146494699621,0.83585631783261,83.585631783261
7,19,8-11,11,8,11 -> 8,0.439887050292696,0.806499382984791,80.6499382984791
7,20,8-11,8,11,8 -> 11,0.428782453185535,0.816145607840195,81.6145607840195
7,21,8-9,9,8,9 -> 8,0.515058512296608,0.734714728910804,73.4714728910805
7,22,8-9,8,9,8 -> 9,0.354592722962089,0.874264000822331,87.4264000822331
7,23,9-10,10,9,10 -> 9,0.380983713695518,0.854851409898771,85.4851409898771
7,24,9-10,9,10,9 -> 10,0.50276918947179,0.74722314211788,74.722314211788
7,25,9-11,11,9,11 -> 9,0.523166444681824,0.72629687115898,72.629687115898
7,26,9-11,9,11,9 -> 11,0.563706542516449,0.68223493392415,68.2234933924151
7,27,9-12,12,9,12 -> 9,0.512955891876454,0.736876252989231,73.6876252989231
7,28,9-12,9,12,9 -> 12,0.626709561856214,0.607235125077993,60.7235125077993
8,1,10-11,11,10,11 -> 10,0.363372684529228,0.867960292138022,86.7960292138022
8,2,10-11,10,11,10 -> 11,0.325450269525844,0.894082122065555,89.4082122065555
8,3,10-12,12,10,12 -> 10,0.427174906732156,0.817521599058374,81.7521599058374
8,4,10-12,10,12,10 -> 12,0.434175027744308,0.811492045283229,81.1492045283229
8,5,11-12,12,11,12 -> 11,0.356717570010278,0.872752575245962,87.2752575245962
8,6,11-12,11,12,11 -> 12,0.422282714903171,0.821677308694007,82.1677308694007
8,7,7-10,10,7,10 -> 7,0.528535752253374,0.72064995858996,72.064995858996
8,8,7-10,7,10,7 -> 10,0.437663696868247,0.808450488443619,80.8450488443619
8,9,7-11,11,7,11 -> 7,0.910990115198254,0.170097010011071,17.0097010011071
8,10,7-11,7,11,7 -> 11,0.834772357389909,0.303155111337694,30.3155111337694
