Rank,Objective,RelativeResidual,ExplainedFraction,ExplainedPercent,IncrementalExplainedFraction,IncrementalExplainedPercentagePoints,RuntimeSeconds,BestStart,Iterations,Converged,SolverStatus
1,0.0127035019396452,0.577061845944357,0.666999625955291,66.6999625955291,0.666999625955291,66.6999625955291,0.3177695,1,1,1,optimized_start_1:numerical_objective_floor
2,0.0123735401748944,0.569518213909986,0.67564900402478,67.564900402478,0.0086493780694884,0.86493780694884,0.1702029,3,7,1,optimized_start_3:converged
3,0.0122755745759529,0.567259197290956,0.67821700308882,67.821700308882,0.0025679990640407,0.25679990640407,0.1876154,13,7,1,optimized_start_13:converged
4,0.0121906537200434,0.565293678778879,0.680443056732642,68.0443056732642,0.00222605364382145,0.222605364382145,0.2130783,2,8,1,optimized_start_2:converged
5,0.0121201088567184,0.563655685195061,0.682292268547287,68.2292268547287,0.00184921181464481,0.184921181464481,0.1892616,4,7,1,optimized_start_4:converged
6,0.012080329473174,0.562729938409084,0.683335016418109,68.3335016418109,0.00104274787082226,0.104274787082226,0.1707858,13,8,1,optimized_start_13:converged
7,0.0120448371058722,0.561902671680288,0.684265387558555,68.4265387558555,0.00093037114044614,0.093037114044614,0.1838408,1,5,1,optimized_start_1:converged
8,0.0120219843370503,0.561369367311897,0.68486443344384,68.486443344384,0.000599045885285254,0.0599045885285254,0.1914375,16,8,1,optimized_start_16:converged
9,0.0120071862879953,0.561023761747379,0.685252338754821,68.525233875482,0.000387905310980208,0.0387905310980208,0.230841,16,9,1,optimized_start_16:converged
10,0.0119974847859106,0.560797069460208,0.685506646884843,68.5506646884842,0.00025430813002203,0.025430813002203,0.2213287,8,8,1,optimized_start_8:converged
