Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Weight
1,1,10-11,11,10,11 -> 10,-0.0458362694349543
1,2,10-11,10,11,10 -> 11,-0.0470363343302538
1,3,10-12,12,10,12 -> 10,-0.0312369892954689
1,4,10-12,10,12,10 -> 12,-0.0319471801316748
1,5,11-12,12,11,12 -> 11,-0.0283876293803338
1,6,11-12,11,12,11 -> 12,-0.0316016990817163
1,7,7-10,10,7,10 -> 7,0.0362795234268416
1,8,7-10,7,10,7 -> 10,0.0470405337305667
1,9,7-11,11,7,11 -> 7,0.0241593017564142
1,10,7-11,7,11,7 -> 11,0.0333453520783605
1,11,7-12,12,7,12 -> 7,0.016050468950089
1,12,7-12,7,12,7 -> 12,0.021039949655641
1,13,7-8,8,7,8 -> 7,-0.0298323760950631
1,14,7-8,7,8,7 -> 8,-0.0430626906011571
1,15,7-9,9,7,9 -> 7,-0.0232680437115963
1,16,7-9,7,9,7 -> 9,-0.028223145865777
1,17,8-10,10,8,10 -> 8,0.0354844671780143
1,18,8-10,8,10,8 -> 10,0.0334090541871994
1,19,8-11,11,8,11 -> 8,0.0222275688144651
1,20,8-11,8,11,8 -> 11,0.0183973044330457
1,21,8-9,9,8,9 -> 8,-0.0314060817990284
1,22,8-9,8,9,8 -> 9,-0.0308640929459725
1,23,9-10,10,9,10 -> 9,0.0199349005071664
1,24,9-10,9,10,9 -> 10,0.0205185764731149
1,25,9-11,11,9,11 -> 9,0.0128743666062179
1,26,9-11,9,11,9 -> 11,0.0113067848787912
1,27,9-12,12,9,12 -> 9,0.0251315901327571
1,28,9-12,9,12,9 -> 12,0.0208146075290535
2,1,10-11,11,10,11 -> 10,-0.0460663103344979
2,2,10-11,10,11,10 -> 11,-0.0473349031241949
2,3,10-12,12,10,12 -> 10,-0.0314985009485747
2,4,10-12,10,12,10 -> 12,-0.0322784737399317
2,5,11-12,12,11,12 -> 11,-0.0285713100726433
2,6,11-12,11,12,11 -> 12,-0.0318597713931987
2,7,7-10,10,7,10 -> 7,0.0364765583412141
2,8,7-10,7,10,7 -> 10,0.0474068301496719
2,9,7-11,11,7,11 -> 7,0.0246716089614595
2,10,7-11,7,11,7 -> 11,0.0333439647015079
2,11,7-12,12,7,12 -> 7,0.0162417705095112
2,12,7-12,7,12,7 -> 12,0.0213123264037914
2,13,7-8,8,7,8 -> 7,-0.0301706334125825
2,14,7-8,7,8,7 -> 8,-0.0431355825863109
2,15,7-9,9,7,9 -> 7,-0.023544223897293
2,16,7-9,7,9,7 -> 9,-0.028298490525666
2,17,8-10,10,8,10 -> 8,0.0357655840040609
2,18,8-10,8,10,8 -> 10,0.0336547102820777
2,19,8-11,11,8,11 -> 8,0.0223486448643317
2,20,8-11,8,11,8 -> 11,0.0183376708526179
2,21,8-9,9,8,9 -> 8,-0.0313214336655857
2,22,8-9,8,9,8 -> 9,-0.0308415995428562
2,23,9-10,10,9,10 -> 9,0.0200863782732309
2,24,9-10,9,10,9 -> 10,0.0207032453225457
2,25,9-11,11,9,11 -> 9,0.013088628458995
2,26,9-11,9,11,9 -> 11,0.0115308988204222
2,27,9-12,12,9,12 -> 9,0.0255819931640724
2,28,9-12,9,12,9 -> 12,0.0208284141546256
3,1,10-11,11,10,11 -> 10,-0.0461389239793604
3,2,10-11,10,11,10 -> 11,-0.0473422107621055
3,3,10-12,12,10,12 -> 10,-0.0315473200433784
3,4,10-12,10,12,10 -> 12,-0.0322476933820489
3,5,11-12,12,11,12 -> 11,-0.0286368309565852
3,6,11-12,11,12,11 -> 12,-0.0318050814958959
3,7,7-10,10,7,10 -> 7,0.0364748482828716
3,8,7-10,7,10,7 -> 10,0.0473954791126073
3,9,7-11,11,7,11 -> 7,0.0250331525143946
3,10,7-11,7,11,7 -> 11,0.0338195975004473
3,11,7-12,12,7,12 -> 7,0.0162376872741168
3,12,7-12,7,12,7 -> 12,0.0213683989370383
3,13,7-8,8,7,8 -> 7,-0.0302311265680152
3,14,7-8,7,8,7 -> 8,-0.0433912306289141
3,15,7-9,9,7,9 -> 7,-0.0235222547517454
3,16,7-9,7,9,7 -> 9,-0.0283709245192073
3,17,8-10,10,8,10 -> 8,0.035701643287015
3,18,8-10,8,10,8 -> 10,0.0336561878366093
3,19,8-11,11,8,11 -> 8,0.0223195828246307
3,20,8-11,8,11,8 -> 11,0.0183369418991671
3,21,8-9,9,8,9 -> 8,-0.0314044517166563
3,22,8-9,8,9,8 -> 9,-0.0310048808972116
3,23,9-10,10,9,10 -> 9,0.0200896459960821
3,24,9-10,9,10,9 -> 10,0.0207111001634111
3,25,9-11,11,9,11 -> 9,0.013090413762601
3,26,9-11,9,11,9 -> 11,0.0115662934735778
3,27,9-12,12,9,12 -> 9,0.0256182094381844
3,28,9-12,9,12,9 -> 12,0.0207493798922263
4,1,10-11,11,10,11 -> 10,-0.0462089865910966
4,2,10-11,10,11,10 -> 11,-0.0474910407221719
4,3,10-12,12,10,12 -> 10,-0.0315875758593553
4,4,10-12,10,12,10 -> 12,-0.0322984157805682
4,5,11-12,12,11,12 -> 11,-0.028829414839574
4,6,11-12,11,12,11 -> 12,-0.0318287347461001
4,7,7-10,10,7,10 -> 7,0.0362193992374773
4,8,7-10,7,10,7 -> 10,0.0472234637650134
4,9,7-11,11,7,11 -> 7,0.0251411493837013
4,10,7-11,7,11,7 -> 11,0.0343059814717505
4,11,7-12,12,7,12 -> 7,0.016098775824639
4,12,7-12,7,12,7 -> 12,0.0213027693345838
4,13,7-8,8,7,8 -> 7,-0.0302252170698706
4,14,7-8,7,8,7 -> 8,-0.043639799795115
4,15,7-9,9,7,9 -> 7,-0.0235473874345908
4,16,7-9,7,9,7 -> 9,-0.0284564858687155
4,17,8-10,10,8,10 -> 8,0.035737869245865
4,18,8-10,8,10,8 -> 10,0.0336143283663266
4,19,8-11,11,8,11 -> 8,0.0223648126970328
4,20,8-11,8,11,8 -> 11,0.0182811895845302
4,21,8-9,9,8,9 -> 8,-0.0315647404415431
4,22,8-9,8,9,8 -> 9,-0.0311356341354948
4,23,9-10,10,9,10 -> 9,0.0201178199644056
4,24,9-10,9,10,9 -> 10,0.0206577214829989
4,25,9-11,11,9,11 -> 9,0.0131705814705379
4,26,9-11,9,11,9 -> 11,0.0115695360259128
4,27,9-12,12,9,12 -> 9,0.0256822345202492
4,28,9-12,9,12,9 -> 12,0.0207458282235105
