Rank,ComponentObjective,CommonObjective,ComponentExplainedFraction,CommonExplainedFraction,ExplainedFractionDifference,ExplainedPercentagePointDifference
1,0.0127035019396452,0.0127035019396452,0.666999625955291,0.666999625955291,1.11022302462516e-16,1.11022302462516e-14
2,0.0113080339428271,0.0123735401748944,0.703579410578115,0.675649004024779,0.0279304065533359,2.79304065533359
3,0.0102818470811591,0.0122755745759529,0.730479127711133,0.67821700308882,0.0522621246223134,5.22621246223134
4,0.00916061984331691,0.0121906537200434,0.759870164242986,0.680443056732641,0.0794271075103442,7.94271075103442
5,0.00826193362414196,0.0121201088567184,0.783427672129858,0.682292268547286,0.101135403582572,10.1135403582572
6,0.00746306791311467,0.012080329473174,0.80436855770987,0.683335016418108,0.121033541291762,12.1033541291762
7,0.0068607935775114,0.0120448371058722,0.820156139747191,0.684265387558555,0.135890752188637,13.5890752188637
8,0.00626701919512621,0.0120219843370503,0.835720910183867,0.684864433443839,0.150856476740027,15.0856476740027
9,0.00575222239593136,0.0120071862879953,0.849215419611532,0.68525233875482,0.163963080856712,16.3963080856712
10,0.0052145767249725,0.0119974847859106,0.863308872769836,0.685506646884842,0.177802225884994,17.7802225884994
