Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelativeResidual,ExplainedFraction,ExplainedPercent
1,1,10-11,11,10,11 -> 10,0.380444146139487,0.855262251668197,85.5262251668197
1,2,10-11,10,11,10 -> 11,0.348872184151273,0.87828819912552,87.828819912552
1,3,10-12,12,10,12 -> 10,0.448899531754412,0.79848921039067,79.848921039067
1,4,10-12,10,12,10 -> 12,0.453624787034759,0.794224552587669,79.4224552587669
1,5,11-12,12,11,12 -> 11,0.394147888739052,0.844647441802548,84.4647441802548
1,6,11-12,11,12,11 -> 12,0.433581900086525,0.812006735917359,81.2006735917359
1,7,7-10,10,7,10 -> 7,0.521758539314574,0.727768026652323,72.7768026652323
1,8,7-10,7,10,7 -> 10,0.438288391491163,0.807903285884089,80.7903285884089
1,9,7-11,11,7,11 -> 7,0.922746633486209,0.148538650389868,14.8538650389868
1,10,7-11,7,11,7 -> 11,0.863152162511517,0.254968344351692,25.4968344351692
1,11,7-12,12,7,12 -> 7,0.604597775018683,0.634461530442458,63.4461530442458
1,12,7-12,7,12,7 -> 12,0.569832680992922,0.675290715672419,67.5290715672419
1,13,7-8,8,7,8 -> 7,0.48331990597831,0.766401868485117,76.6401868485117
1,14,7-8,7,8,7 -> 8,0.480462373281434,0.769155907860772,76.9155907860772
1,15,7-9,9,7,9 -> 7,0.476340080677037,0.773100127540594,77.3100127540594
1,16,7-9,7,9,7 -> 9,0.398411733068227,0.841268090953572,84.1268090953572
1,17,8-10,10,8,10 -> 8,0.349180484549674,0.878072989209655,87.8072989209655
1,18,8-10,8,10,8 -> 10,0.413573656639865,0.828956830533531,82.8956830533531
1,19,8-11,11,8,11 -> 8,0.449173610098422,0.798243067991151,79.8243067991151
1,20,8-11,8,11,8 -> 11,0.41134323023023,0.83079674694376,83.079674694376
1,21,8-9,9,8,9 -> 8,0.527273849363583,0.72198228777731,72.198228777731
1,22,8-9,8,9,8 -> 9,0.386102074765662,0.850925187861651,85.0925187861651
1,23,9-10,10,9,10 -> 9,0.403028945880349,0.837567668782575,83.7567668782575
1,24,9-10,9,10,9 -> 10,0.508527189963245,0.741400097068086,74.1400097068086
1,25,9-11,11,9,11 -> 9,0.549928671023651,0.697578456786161,69.7578456786161
1,26,9-11,9,11,9 -> 11,0.587635088510875,0.654685002750817,65.4685002750817
1,27,9-12,12,9,12 -> 9,0.542225053944762,0.7059919908746,70.59919908746
1,28,9-12,9,12,9 -> 12,0.618032604429872,0.618035699861629,61.8035699861629
2,1,10-11,11,10,11 -> 10,0.379443825334653,0.856022383415405,85.6022383415405
2,2,10-11,10,11,10 -> 11,0.343676175271238,0.881886686550933,88.1886686550934
2,3,10-12,12,10,12 -> 10,0.436470283876547,0.809493691292727,80.9493691292727
2,4,10-12,10,12,10 -> 12,0.366399162251037,0.865751653901738,86.5751653901738
2,5,11-12,12,11,12 -> 11,0.383509593841854,0.852920391431256,85.2920391431256
2,6,11-12,11,12,11 -> 12,0.360672524959725,0.869915329739177,86.9915329739177
2,7,7-10,10,7,10 -> 7,0.356461109775296,0.872935477217764,87.2935477217764
2,8,7-10,7,10,7 -> 10,0.366731105036379,0.865508296598796,86.5508296598796
2,9,7-11,11,7,11 -> 7,0.902801624417112,0.184949226949824,18.4949226949824
2,10,7-11,7,11,7 -> 11,0.861201523000447,0.25833193678171,25.833193678171
2,11,7-12,12,7,12 -> 7,0.523655501899632,0.725784915330245,72.5784915330245
2,12,7-12,7,12,7 -> 12,0.466812112039367,0.782086452053346,78.2086452053346
2,13,7-8,8,7,8 -> 7,0.370473904058051,0.862749086411986,86.2749086411986
2,14,7-8,7,8,7 -> 8,0.440000546020361,0.806399519501784,80.6399519501784
2,15,7-9,9,7,9 -> 7,0.318840283270894,0.898340873763736,89.8340873763736
2,16,7-9,7,9,7 -> 9,0.39852691388389,0.841176298910183,84.1176298910183
2,17,8-10,10,8,10 -> 8,0.300184720692953,0.909889133462494,90.9889133462494
2,18,8-10,8,10,8 -> 10,0.354611669831145,0.874250563619567,87.4250563619567
2,19,8-11,11,8,11 -> 8,0.410086012733252,0.831829462160543,83.1829462160543
2,20,8-11,8,11,8 -> 11,0.417072447455189,0.826050573573738,82.6050573573738
2,21,8-9,9,8,9 -> 8,0.511988129792618,0.737868154951457,73.7868154951457
2,22,8-9,8,9,8 -> 9,0.389914013100493,0.847967062387869,84.7967062387869
2,23,9-10,10,9,10 -> 9,0.398892664628639,0.840884642105464,84.0884642105464
2,24,9-10,9,10,9 -> 10,0.456052906686584,0.792015746302718,79.2015746302718
2,25,9-11,11,9,11 -> 9,0.538431549127054,0.710091466904641,71.0091466904641
2,26,9-11,9,11,9 -> 11,0.574559276851355,0.669881637384048,66.9881637384048
2,27,9-12,12,9,12 -> 9,0.529888294524962,0.719218395325428,71.9218395325427
2,28,9-12,9,12,9 -> 12,0.577871096211692,0.666064996163097,66.6064996163097
3,1,10-11,11,10,11 -> 10,0.375941896072027,0.858667690777769,85.8667690777769
3,2,10-11,10,11,10 -> 11,0.339525918157787,0.884722150899112,88.4722150899112
3,3,10-12,12,10,12 -> 10,0.433855405906286,0.811769486765891,81.1769486765891
3,4,10-12,10,12,10 -> 12,0.34078466789058,0.883865810130707,88.3865810130707
3,5,11-12,12,11,12 -> 11,0.382831428868611,0.853440097070418,85.3440097070418
3,6,11-12,11,12,11 -> 12,0.342044608294534,0.883005485936639,88.3005485936639
3,7,7-10,10,7,10 -> 7,0.360365526359656,0.870136687411528,87.0136687411528
3,8,7-10,7,10,7 -> 10,0.35743062450181,0.872243348668246,87.2243348668246
3,9,7-11,11,7,11 -> 7,0.84377075797507,0.288050907986175,28.8050907986175
3,10,7-11,7,11,7 -> 11,0.79192954349926,0.372847598133054,37.2847598133054
3,11,7-12,12,7,12 -> 7,0.503865882637393,0.746119172314041,74.6119172314041
3,12,7-12,7,12,7 -> 12,0.468119905985568,0.780863753620063,78.0863753620064
3,13,7-8,8,7,8 -> 7,0.367273591325613,0.865110109114787,86.5110109114787
3,14,7-8,7,8,7 -> 8,0.439759087752042,0.806611944739492,80.6611944739492
3,15,7-9,9,7,9 -> 7,0.316336174346388,0.899931424799892,89.9931424799892
3,16,7-9,7,9,7 -> 9,0.393534070020551,0.84513093573306,84.513093573306
3,17,8-10,10,8,10 -> 8,0.300259986181654,0.909843940698193,90.9843940698193
3,18,8-10,8,10,8 -> 10,0.340453843281838,0.884091180594626,88.4091180594626
3,19,8-11,11,8,11 -> 8,0.398696130130954,0.841041395818601,84.1041395818601
3,20,8-11,8,11,8 -> 11,0.410610788651249,0.831398780243199,83.1398780243199
3,21,8-9,9,8,9 -> 8,0.514566575956474,0.73522123890843,73.522123890843
3,22,8-9,8,9,8 -> 9,0.390361165092275,0.847618160787802,84.7618160787802
3,23,9-10,10,9,10 -> 9,0.396690942313603,0.842636296286345,84.2636296286345
3,24,9-10,9,10,9 -> 10,0.429500747899283,0.815529107553956,81.5529107553956
3,25,9-11,11,9,11 -> 9,0.533406729019421,0.715477261436802,71.5477261436802
3,26,9-11,9,11,9 -> 11,0.569332752108198,0.675860217376905,67.5860217376905
3,27,9-12,12,9,12 -> 9,0.526654076354348,0.722635483859349,72.2635483859349
3,28,9-12,9,12,9 -> 12,0.578288337082096,0.665582599194825,66.5582599194825
4,1,10-11,11,10,11 -> 10,0.343680242533535,0.881883890892091,88.1883890892091
4,2,10-11,10,11,10 -> 11,0.295162106620525,0.912879330815334,91.2879330815334
4,3,10-12,12,10,12 -> 10,0.395314957315233,0.843726084522855,84.3726084522855
4,4,10-12,10,12,10 -> 12,0.346309159058574,0.880069966352143,88.0069966352143
4,5,11-12,12,11,12 -> 11,0.362624971548213,0.868503130009658,86.8503130009658
4,6,11-12,11,12,11 -> 12,0.334124928427417,0.888360532203374,88.8360532203374
4,7,7-10,10,7,10 -> 7,0.341972550625926,0.883054774618399,88.3054774618399
4,8,7-10,7,10,7 -> 10,0.316618537214966,0.899752701891855,89.9752701891855
4,9,7-11,11,7,11 -> 7,0.80258211398291,0.355861950314724,35.5861950314724
4,10,7-11,7,11,7 -> 11,0.773882891155912,0.401105270776166,40.1105270776166
4,11,7-12,12,7,12 -> 7,0.464469775618607,0.7842678275368,78.42678275368
4,12,7-12,7,12,7 -> 12,0.406311030469009,0.834911346519212,83.4911346519212
4,13,7-8,8,7,8 -> 7,0.36811952287265,0.864488016880013,86.4488016880013
4,14,7-8,7,8,7 -> 8,0.389424925346458,0.848348227518905,84.8348227518905
4,15,7-9,9,7,9 -> 7,0.319981564691984,0.89761179825727,89.761179825727
4,16,7-9,7,9,7 -> 9,0.377038882838831,0.857841680827646,85.7841680827647
4,17,8-10,10,8,10 -> 8,0.297170845685534,0.911689488474545,91.1689488474545
4,18,8-10,8,10,8 -> 10,0.282195210352942,0.920365863253859,92.0365863253859
4,19,8-11,11,8,11 -> 8,0.400031308252155,0.839974952418069,83.9974952418069
4,20,8-11,8,11,8 -> 11,0.410505431504065,0.831485290705662,83.1485290705662
4,21,8-9,9,8,9 -> 8,0.401947283464638,0.838438381315398,83.8438381315398
4,22,8-9,8,9,8 -> 9,0.377588720710547,0.857426757992173,85.7426757992173
4,23,9-10,10,9,10 -> 9,0.389264182284932,0.848473396390043,84.8473396390043
4,24,9-10,9,10,9 -> 10,0.351018325510278,0.87678613515596,87.6786135155961
4,25,9-11,11,9,11 -> 9,0.494572685949387,0.755397858312809,75.5397858312809
4,26,9-11,9,11,9 -> 11,0.513262641209196,0.73656146113896,73.656146113896
4,27,9-12,12,9,12 -> 9,0.505512519287935,0.744457092843165,74.4457092843165
4,28,9-12,9,12,9 -> 12,0.569296156369812,0.675901886342558,67.5901886342558
5,1,10-11,11,10,11 -> 10,0.286969608148333,0.917648443999192,91.7648443999192
5,2,10-11,10,11,10 -> 11,0.328071758575553,0.892368921225144,89.2368921225144
5,3,10-12,12,10,12 -> 10,0.343334397604232,0.882121491421739,88.2121491421739
5,4,10-12,10,12,10 -> 12,0.374138684582908,0.860020244698571,86.0020244698571
5,5,11-12,12,11,12 -> 11,0.372041610737565,0.861585039879798,86.1585039879798
5,6,11-12,11,12,11 -> 12,0.370847621346053,0.862472041741975,86.2472041741975
5,7,7-10,10,7,10 -> 7,0.361302758563636,0.869460316654307,86.9460316654307
5,8,7-10,7,10,7 -> 10,0.33368724917288,0.888652819739437,88.8652819739437
5,9,7-11,11,7,11 -> 7,0.749037078457304,0.438943455096146,43.8943455096146
5,10,7-11,7,11,7 -> 11,0.721411301306316,0.479565734347528,47.9565734347528
5,11,7-12,12,7,12 -> 7,0.438242234247472,0.807943744121784,80.7943744121784
5,12,7-12,7,12,7 -> 12,0.357465540350202,0.872218387462138,87.2218387462138
5,13,7-8,8,7,8 -> 7,0.376027870750981,0.858603040418484,85.8603040418484
5,14,7-8,7,8,7 -> 8,0.369640819810402,0.863365664329894,86.3365664329894
5,15,7-9,9,7,9 -> 7,0.290939011920608,0.915354491342661,91.5354491342661
5,16,7-9,7,9,7 -> 9,0.380856917711051,0.854948008231638,85.4948008231638
5,17,8-10,10,8,10 -> 8,0.254994972025144,0.934977564241896,93.4977564241896
5,18,8-10,8,10,8 -> 10,0.282190516106811,0.920368512619372,92.0368512619372
5,19,8-11,11,8,11 -> 8,0.31980330729957,0.897725844640257,89.7725844640257
5,20,8-11,8,11,8 -> 11,0.398745552000687,0.841001984759668,84.1001984759668
5,21,8-9,9,8,9 -> 8,0.342661100187619,0.882583370418211,88.2583370418211
5,22,8-9,8,9,8 -> 9,0.37328435748452,0.860658788457369,86.0658788457369
5,23,9-10,10,9,10 -> 9,0.344557121150056,0.881280390264786,88.1280390264786
5,24,9-10,9,10,9 -> 10,0.373827073147369,0.860253319382072,86.0253319382072
5,25,9-11,11,9,11 -> 9,0.473838094156401,0.77547746052623,77.547746052623
5,26,9-11,9,11,9 -> 11,0.503724752156377,0.746261374064997,74.6261374064997
5,27,9-12,12,9,12 -> 9,0.47434728055752,0.774994657427685,77.4994657427685
5,28,9-12,9,12,9 -> 12,0.549006227144755,0.698592162556281,69.8592162556281
6,1,10-11,11,10,11 -> 10,0.273030589576183,0.925454297155682,92.5454297155682
6,2,10-11,10,11,10 -> 11,0.320868298057599,0.89704353530162,89.704353530162
6,3,10-12,12,10,12 -> 10,0.316430880490979,0.899871497871704,89.9871497871704
6,4,10-12,10,12,10 -> 12,0.294397241297379,0.913330264316493,91.3330264316493
6,5,11-12,12,11,12 -> 11,0.369162051162068,0.863719379981815,86.3719379981815
6,6,11-12,11,12,11 -> 12,0.279157613937506,0.922071026580718,92.2071026580718
6,7,7-10,10,7,10 -> 7,0.324327687952577,0.894811550827336,89.4811550827336
6,8,7-10,7,10,7 -> 10,0.322079661764236,0.896264691477836,89.6264691477836
6,9,7-11,11,7,11 -> 7,0.730456805557463,0.466432855214787,46.6432855214787
6,10,7-11,7,11,7 -> 11,0.660893784460105,0.563219405662,56.3219405662
6,11,7-12,12,7,12 -> 7,0.425967626590106,0.818551581097192,81.8551581097192
6,12,7-12,7,12,7 -> 12,0.350761116939505,0.876966638843351,87.6966638843351
6,13,7-8,8,7,8 -> 7,0.346718661905801,0.879786169486251,87.9786169486251
6,14,7-8,7,8,7 -> 8,0.364439514355254,0.867183840376507,86.7183840376507
6,15,7-9,9,7,9 -> 7,0.301222456038993,0.909265031977837,90.9265031977837
6,16,7-9,7,9,7 -> 9,0.371471289618567,0.862009080989119,86.2009080989119
6,17,8-10,10,8,10 -> 8,0.250465083294107,0.937267242050476,93.7267242050476
6,18,8-10,8,10,8 -> 10,0.261244524821156,0.931751298250968,93.1751298250968
6,19,8-11,11,8,11 -> 8,0.329916624614724,0.891155020802827,89.1155020802827
6,20,8-11,8,11,8 -> 11,0.38750294566835,0.849841467098352,84.9841467098352
6,21,8-9,9,8,9 -> 8,0.361565160335395,0.86927063483164,86.927063483164
6,22,8-9,8,9,8 -> 9,0.360401854278818,0.87011050343239,87.011050343239
6,23,9-10,10,9,10 -> 9,0.359274194455028,0.870922053198691,87.0922053198691
6,24,9-10,9,10,9 -> 10,0.351847686416179,0.876203205563582,87.6203205563582
6,25,9-11,11,9,11 -> 9,0.482638877330785,0.767059714088879,76.7059714088879
6,26,9-11,9,11,9 -> 11,0.498717430416184,0.751280924599079,75.1280924599079
6,27,9-12,12,9,12 -> 9,0.469636716189847,0.779441354806417,77.9441354806417
6,28,9-12,9,12,9 -> 12,0.54696052250664,0.700834186819264,70.0834186819264
7,1,10-11,11,10,11 -> 10,0.266694278104152,0.928874162026505,92.8874162026505
7,2,10-11,10,11,10 -> 11,0.298530723466594,0.910879407146512,91.0879407146512
7,3,10-12,12,10,12 -> 10,0.321122646881753,0.896880245659657,89.6880245659657
7,4,10-12,10,12,10 -> 12,0.279934149460481,0.921636871965837,92.1636871965837
7,5,11-12,12,11,12 -> 11,0.357931457459559,0.871885071760876,87.1885071760876
7,6,11-12,11,12,11 -> 12,0.266783827531936,0.92882638936741,92.882638936741
7,7,7-10,10,7,10 -> 7,0.308488600207073,0.904834783542281,90.4834783542281
7,8,7-10,7,10,7 -> 10,0.317461891256116,0.89921794760009,89.921794760009
7,9,7-11,11,7,11 -> 7,0.658043742636401,0.566978432777078,56.6978432777078
7,10,7-11,7,11,7 -> 11,0.65119774479068,0.575941497179533,57.5941497179533
7,11,7-12,12,7,12 -> 7,0.419880487875038,0.82370037590182,82.370037590182
7,12,7-12,7,12,7 -> 12,0.343145220974037,0.88225135732268,88.225135732268
7,13,7-8,8,7,8 -> 7,0.346012694249113,0.88027521541847,88.027521541847
7,14,7-8,7,8,7 -> 8,0.349251355473076,0.878023490700219,87.8023490700219
7,15,7-9,9,7,9 -> 7,0.297038153225572,0.911768335528341,91.1768335528341
7,16,7-9,7,9,7 -> 9,0.370020707167767,0.863084676267065,86.3084676267065
7,17,8-10,10,8,10 -> 8,0.251825965408778,0.936583683145937,93.6583683145937
7,18,8-10,8,10,8 -> 10,0.254495717304264,0.935231929873788,93.5231929873788
7,19,8-11,11,8,11 -> 8,0.337238544708818,0.886270163962679,88.6270163962679
7,20,8-11,8,11,8 -> 11,0.388665810330776,0.848938887879922,84.8938887879922
7,21,8-9,9,8,9 -> 8,0.356068986513116,0.873214876843522,87.3214876843522
7,22,8-9,8,9,8 -> 9,0.349803255202056,0.877637682650045,87.7637682650045
7,23,9-10,10,9,10 -> 9,0.358258782434961,0.87165064480822,87.165064480822
7,24,9-10,9,10,9 -> 10,0.346576498952965,0.879884730373506,87.9884730373506
7,25,9-11,11,9,11 -> 9,0.475593651242087,0.77381067889822,77.381067889822
7,26,9-11,9,11,9 -> 11,0.481645778981237,0.768017343589558,76.8017343589558
7,27,9-12,12,9,12 -> 9,0.467641282394113,0.781311631000789,78.1311631000789
7,28,9-12,9,12,9 -> 12,0.545682686564371,0.70223040558389,70.223040558389
8,1,10-11,11,10,11 -> 10,0.277741898074034,0.922859438054233,92.2859438054233
8,2,10-11,10,11,10 -> 11,0.298665307296647,0.910799034217399,91.0799034217399
8,3,10-12,12,10,12 -> 10,0.334983957422706,0.887785748269423,88.7785748269423
8,4,10-12,10,12,10 -> 12,0.288856216840729,0.916562085992462,91.6562085992462
8,5,11-12,12,11,12 -> 11,0.355338698089685,0.873734409639928,87.3734409639928
8,6,11-12,11,12,11 -> 12,0.268726611739309,0.927786008143111,92.7786008143111
8,7,7-10,10,7,10 -> 7,0.295096638272285,0.912917974080396,91.2917974080396
8,8,7-10,7,10,7 -> 10,0.295494891603837,0.912682769036036,91.2682769036036
8,9,7-11,11,7,11 -> 7,0.630446791204161,0.602536843460378,60.2536843460378
8,10,7-11,7,11,7 -> 11,0.582663350885531,0.660503419534845,66.0503419534845
