Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Component,Weight
10,1,10-11,11,10,11 -> 10,1,0.0171312967077146
10,1,10-11,11,10,11 -> 10,2,-0.0500386959759592
10,1,10-11,11,10,11 -> 10,3,0.0179490119776762
10,1,10-11,11,10,11 -> 10,4,-0.0152714499669745
10,1,10-11,11,10,11 -> 10,5,-0.0142065104317711
10,1,10-11,11,10,11 -> 10,6,0.000783063722000224
10,1,10-11,11,10,11 -> 10,7,-0.00554419587047796
10,1,10-11,11,10,11 -> 10,8,-0.00576954329352884
10,1,10-11,11,10,11 -> 10,9,-0.000284582640947334
10,1,10-11,11,10,11 -> 10,10,-0.00154254765131029
10,2,10-11,10,11,10 -> 11,1,-0.0344595918708254
10,2,10-11,10,11,10 -> 11,2,0.0133688837991823
10,2,10-11,10,11,10 -> 11,3,0.0207199654386636
10,2,10-11,10,11,10 -> 11,4,-0.0217213362778675
10,2,10-11,10,11,10 -> 11,5,0.00213423841300804
10,2,10-11,10,11,10 -> 11,6,0.024876949145126
10,2,10-11,10,11,10 -> 11,7,-0.0160940048943438
10,2,10-11,10,11,10 -> 11,8,0.00548777396177529
10,2,10-11,10,11,10 -> 11,9,0.000326977647758939
10,2,10-11,10,11,10 -> 11,10,-0.000328900069630479
10,3,10-12,12,10,12 -> 10,1,0.0237428515787944
10,3,10-12,12,10,12 -> 10,2,-0.0469964418129551
10,3,10-12,12,10,12 -> 10,3,0.00939682741616991
10,3,10-12,12,10,12 -> 10,4,-0.0195863990059887
10,3,10-12,12,10,12 -> 10,5,-0.00286589455587447
10,3,10-12,12,10,12 -> 10,6,0.0139661555884581
10,3,10-12,12,10,12 -> 10,7,-0.00446634753278095
10,3,10-12,12,10,12 -> 10,8,0.00608918854592576
10,3,10-12,12,10,12 -> 10,9,0.00562831262205275
10,3,10-12,12,10,12 -> 10,10,-0.0075145373970815
10,4,10-12,10,12,10 -> 12,1,-0.00515894477774698
10,4,10-12,10,12,10 -> 12,2,0.00197045883239179
10,4,10-12,10,12,10 -> 12,3,0.0220403142473497
10,4,10-12,10,12,10 -> 12,4,-0.0176086078865144
10,4,10-12,10,12,10 -> 12,5,-0.0158763453841815
10,4,10-12,10,12,10 -> 12,6,0.0157762767634294
10,4,10-12,10,12,10 -> 12,7,-0.026028592989551
10,4,10-12,10,12,10 -> 12,8,0.00383652047527459
10,4,10-12,10,12,10 -> 12,9,0.00540163918089015
10,4,10-12,10,12,10 -> 12,10,-0.00617398572320773
10,5,11-12,12,11,12 -> 11,1,-0.0219847993057453
10,5,11-12,12,11,12 -> 11,2,0.00788793102844724
10,5,11-12,12,11,12 -> 11,3,0.0113228220427626
10,5,11-12,12,11,12 -> 11,4,-0.00886643949058167
10,5,11-12,12,11,12 -> 11,5,-0.00247528177111902
10,5,11-12,12,11,12 -> 11,6,0.00943990744639335
10,5,11-12,12,11,12 -> 11,7,-0.0105445379089559
10,5,11-12,12,11,12 -> 11,8,-0.000485207051852993
10,5,11-12,12,11,12 -> 11,9,-0.000939524668667309
10,5,11-12,12,11,12 -> 11,10,0.000954421067547758
10,6,11-12,11,12,11 -> 12,1,-0.0133727267099151
10,6,11-12,11,12,11 -> 12,2,0.0094650455633891
10,6,11-12,11,12,11 -> 12,3,0.0179370465151826
10,6,11-12,11,12,11 -> 12,4,-0.013648634986224
10,6,11-12,11,12,11 -> 12,5,-0.0164692745165489
10,6,11-12,11,12,11 -> 12,6,0.00887582663107015
10,6,11-12,11,12,11 -> 12,7,-0.0264118499782932
10,6,11-12,11,12,11 -> 12,8,-0.0032793514826545
10,6,11-12,11,12,11 -> 12,9,0.00427445221544373
10,6,11-12,11,12,11 -> 12,10,-0.0028793991121186
10,7,7-10,10,7,10 -> 7,1,0.0665881008881719
10,7,7-10,10,7,10 -> 7,2,-0.042439890822398
10,7,7-10,10,7,10 -> 7,3,0.00973383856140334
10,7,7-10,10,7,10 -> 7,4,-0.0310538860760865
10,7,7-10,10,7,10 -> 7,5,0.0196295187493442
10,7,7-10,10,7,10 -> 7,6,0.0255341210476948
10,7,7-10,10,7,10 -> 7,7,0.0391209455696347
10,7,7-10,10,7,10 -> 7,8,0.0240024612553064
10,7,7-10,10,7,10 -> 7,9,0.0105554388665306
10,7,7-10,10,7,10 -> 7,10,-0.0131354951864537
10,8,7-10,7,10,7 -> 10,1,0.013663326844854
10,8,7-10,7,10,7 -> 10,2,0.0321670915546069
10,8,7-10,7,10,7 -> 10,3,0.016983204905063
10,8,7-10,7,10,7 -> 10,4,0.0122101303323225
10,8,7-10,7,10,7 -> 10,5,-0.00189641587849644
10,8,7-10,7,10,7 -> 10,6,-0.000528032736504109
10,8,7-10,7,10,7 -> 10,7,0.0132538613670005
10,8,7-10,7,10,7 -> 10,8,0.0109876525220794
10,8,7-10,7,10,7 -> 10,9,-0.00697586025406507
10,8,7-10,7,10,7 -> 10,10,0.00048793268116741
10,9,7-11,11,7,11 -> 7,1,0.743287338144086
10,9,7-11,11,7,11 -> 7,2,-0.585208740386666
10,9,7-11,11,7,11 -> 7,3,0.369887310566921
10,9,7-11,11,7,11 -> 7,4,-0.348364322818775
10,9,7-11,11,7,11 -> 7,5,-0.163525140565613
10,9,7-11,11,7,11 -> 7,6,0.144905009588497
10,9,7-11,11,7,11 -> 7,7,0.151590964000858
10,9,7-11,11,7,11 -> 7,8,0.126389043332748
10,9,7-11,11,7,11 -> 7,9,0.164427363472475
10,9,7-11,11,7,11 -> 7,10,-0.1577254676486
10,10,7-11,7,11,7 -> 11,1,0.394027595694389
10,10,7-11,7,11,7 -> 11,2,-0.315827248284847
10,10,7-11,7,11,7 -> 11,3,0.208625043905168
10,10,7-11,7,11,7 -> 11,4,-0.0439119621866985
10,10,7-11,7,11,7 -> 11,5,-0.262335575476621
10,10,7-11,7,11,7 -> 11,6,-0.243084911483792
10,10,7-11,7,11,7 -> 11,7,0.124216206355081
10,10,7-11,7,11,7 -> 11,8,-0.162446100974758
10,10,7-11,7,11,7 -> 11,9,0.0371284362990284
10,10,7-11,7,11,7 -> 11,10,0.0188191164254489
10,11,7-12,12,7,12 -> 7,1,0.0603934104724633
10,11,7-12,12,7,12 -> 7,2,-0.0407693129352475
10,11,7-12,12,7,12 -> 7,3,0.023894742141197
10,11,7-12,12,7,12 -> 7,4,-0.0278466697663069
10,11,7-12,12,7,12 -> 7,5,-0.00538077336206602
10,11,7-12,12,7,12 -> 7,6,0.014245428296719
10,11,7-12,12,7,12 -> 7,7,0.0209590618500493
10,11,7-12,12,7,12 -> 7,8,0.0131067510057971
10,11,7-12,12,7,12 -> 7,9,0.00972560433172278
10,11,7-12,12,7,12 -> 7,10,-0.0119662260912081
10,12,7-12,7,12,7 -> 12,1,0.0576160353232583
10,12,7-12,7,12,7 -> 12,2,-0.0347234831670435
10,12,7-12,7,12,7 -> 12,3,0.0245020892307086
10,12,7-12,7,12,7 -> 12,4,-0.02642607278011
10,12,7-12,7,12,7 -> 12,5,-0.010122910146676
10,12,7-12,7,12,7 -> 12,6,0.00417035752749392
10,12,7-12,7,12,7 -> 12,7,0.0258731000808587
10,12,7-12,7,12,7 -> 12,8,0.0077539445894729
10,12,7-12,7,12,7 -> 12,9,0.00979705639342172
10,12,7-12,7,12,7 -> 12,10,-0.0100332731662364
10,13,7-8,8,7,8 -> 7,1,-0.00351640141421732
10,13,7-8,8,7,8 -> 7,2,0.00277829062994466
10,13,7-8,8,7,8 -> 7,3,0.0310720357983304
10,13,7-8,8,7,8 -> 7,4,-0.0132607725193808
10,13,7-8,8,7,8 -> 7,5,-0.0280845898739407
10,13,7-8,8,7,8 -> 7,6,-0.00205600547711702
10,13,7-8,8,7,8 -> 7,7,-0.0193922496373578
10,13,7-8,8,7,8 -> 7,8,-0.00444160487345133
10,13,7-8,8,7,8 -> 7,9,0.00543799754281525
10,13,7-8,8,7,8 -> 7,10,-0.00333678628897943
10,14,7-8,7,8,7 -> 8,1,0.0419811760127259
10,14,7-8,7,8,7 -> 8,2,-0.0427885927765939
10,14,7-8,7,8,7 -> 8,3,0.0614847203663512
10,14,7-8,7,8,7 -> 8,4,-0.0666860623467137
10,14,7-8,7,8,7 -> 8,5,-0.0291045416413031
10,14,7-8,7,8,7 -> 8,6,0.0295177351838468
10,14,7-8,7,8,7 -> 8,7,-9.32518922688921e-05
10,14,7-8,7,8,7 -> 8,8,0.0156708473633331
10,14,7-8,7,8,7 -> 8,9,0.0209525385145459
10,14,7-8,7,8,7 -> 8,10,-0.0230156094242885
10,15,7-9,9,7,9 -> 7,1,-0.0361070507232346
10,15,7-9,9,7,9 -> 7,2,0.0296854283045524
10,15,7-9,9,7,9 -> 7,3,0.00963176822805237
10,15,7-9,9,7,9 -> 7,4,0.00264023245000975
10,15,7-9,9,7,9 -> 7,5,-0.0109819801402147
10,15,7-9,9,7,9 -> 7,6,-0.000571650833707413
10,15,7-9,9,7,9 -> 7,7,-0.0217642206654077
10,15,7-9,9,7,9 -> 7,8,-0.00131229388457308
10,15,7-9,9,7,9 -> 7,9,-0.00100445720970624
10,15,7-9,9,7,9 -> 7,10,0.00024198031774794
10,16,7-9,7,9,7 -> 9,1,0.00960374893848555
10,16,7-9,7,9,7 -> 9,2,-0.0219955005471235
10,16,7-9,7,9,7 -> 9,3,0.0196548546655408
10,16,7-9,7,9,7 -> 9,4,-0.0168509892854283
10,16,7-9,7,9,7 -> 9,5,-0.0186772468500384
10,16,7-9,7,9,7 -> 9,6,0.000413521303662119
10,16,7-9,7,9,7 -> 9,7,-0.00723852818472551
10,16,7-9,7,9,7 -> 9,8,-0.0046342306730674
10,16,7-9,7,9,7 -> 9,9,0.00498600776564052
10,16,7-9,7,9,7 -> 9,10,-0.0059695869284926
10,17,8-10,10,8,10 -> 8,1,0.0850848835912551
10,17,8-10,10,8,10 -> 8,2,-0.058263822400109
10,17,8-10,10,8,10 -> 8,3,0.0165161636970655
10,17,8-10,10,8,10 -> 8,4,0.000925727165593668
10,17,8-10,10,8,10 -> 8,5,-0.0162319500917007
10,17,8-10,10,8,10 -> 8,6,-0.0137987754993762
10,17,8-10,10,8,10 -> 8,7,0.0235718762589798
10,17,8-10,10,8,10 -> 8,8,-0.00139312872856573
10,17,8-10,10,8,10 -> 8,9,0.00269866846046577
10,17,8-10,10,8,10 -> 8,10,-0.00398776337581031
10,18,8-10,8,10,8 -> 10,1,-0.00365655816228711
10,18,8-10,8,10,8 -> 10,2,0.0344035707051288
10,18,8-10,8,10,8 -> 10,3,0.00424819861668917
10,18,8-10,8,10,8 -> 10,4,0.0108074621633741
10,18,8-10,8,10,8 -> 10,5,0.00313193712433409
10,18,8-10,8,10,8 -> 10,6,-0.000208699892200362
10,18,8-10,8,10,8 -> 10,7,0.00608427407385531
10,18,8-10,8,10,8 -> 10,8,0.00778384601588475
10,18,8-10,8,10,8 -> 10,9,-0.00332362633496444
10,18,8-10,8,10,8 -> 10,10,0.000404522525791251
10,19,8-11,11,8,11 -> 8,1,0.066417234048982
10,19,8-11,11,8,11 -> 8,2,-0.0486511317094514
10,19,8-11,11,8,11 -> 8,3,0.0113239472258494
10,19,8-11,11,8,11 -> 8,4,-0.00587330268908681
10,19,8-11,11,8,11 -> 8,5,-0.00693644872315517
10,19,8-11,11,8,11 -> 8,6,0.000501922270371952
10,19,8-11,11,8,11 -> 8,7,0.0144504344705755
10,19,8-11,11,8,11 -> 8,8,0.00493118869827047
10,19,8-11,11,8,11 -> 8,9,0.00486510484588909
10,19,8-11,11,8,11 -> 8,10,-0.00653252088515828
10,20,8-11,8,11,8 -> 11,1,0.0043312161602678
10,20,8-11,8,11,8 -> 11,2,0.007677878900932
10,20,8-11,8,11,8 -> 11,3,-0.000361719667890202
10,20,8-11,8,11,8 -> 11,4,0.00757996469903351
10,20,8-11,8,11,8 -> 11,5,-0.00109761259441757
10,20,8-11,8,11,8 -> 11,6,-0.00903348584081161
10,20,8-11,8,11,8 -> 11,7,0.00833386222397345
10,20,8-11,8,11,8 -> 11,8,-0.000747931249955555
10,20,8-11,8,11,8 -> 11,9,-0.00187644154912583
10,20,8-11,8,11,8 -> 11,10,0.00094990430096138
10,21,8-9,9,8,9 -> 8,1,-0.0182885551079962
10,21,8-9,9,8,9 -> 8,2,0.0198397069303029
10,21,8-9,9,8,9 -> 8,3,0.0438489635414047
10,21,8-9,9,8,9 -> 8,4,-0.0361375968609696
10,21,8-9,9,8,9 -> 8,5,-0.0173377251907324
10,21,8-9,9,8,9 -> 8,6,0.0152446536098207
10,21,8-9,9,8,9 -> 8,7,-0.00315698875018263
10,21,8-9,9,8,9 -> 8,8,0.00764491940789721
10,21,8-9,9,8,9 -> 8,9,0.00850048946109862
10,21,8-9,9,8,9 -> 8,10,-0.0087138376739344
10,22,8-9,8,9,8 -> 9,1,0.0077830866319855
10,22,8-9,8,9,8 -> 9,2,-0.0195419156748411
10,22,8-9,8,9,8 -> 9,3,0.0233222829923558
10,22,8-9,8,9,8 -> 9,4,-0.0198091017930772
10,22,8-9,8,9,8 -> 9,5,-0.0165408928261314
10,22,8-9,8,9,8 -> 9,6,0.00767293209043549
10,22,8-9,8,9,8 -> 9,7,-0.0086244190096529
10,22,8-9,8,9,8 -> 9,8,0.000280299950650988
10,22,8-9,8,9,8 -> 9,9,0.00245487416541072
10,22,8-9,8,9,8 -> 9,10,-0.00666957537303209
10,23,9-10,10,9,10 -> 9,1,0.0255969986805802
10,23,9-10,10,9,10 -> 9,2,-0.0159090690830427
10,23,9-10,10,9,10 -> 9,3,-0.006934766047483
10,23,9-10,10,9,10 -> 9,4,0.0064389619962713
10,23,9-10,10,9,10 -> 9,5,0.00398739598134707
10,23,9-10,10,9,10 -> 9,6,-0.00453779200957392
10,23,9-10,10,9,10 -> 9,7,0.00934465536080636
10,23,9-10,10,9,10 -> 9,8,-3.21652770473095e-05
10,23,9-10,10,9,10 -> 9,9,-0.00232456828553405
10,23,9-10,10,9,10 -> 9,10,0.00217683833657082
10,24,9-10,9,10,9 -> 10,1,0.000738666112354095
10,24,9-10,9,10,9 -> 10,2,0.0218934836860316
10,24,9-10,9,10,9 -> 10,3,0.00758275308614382
10,24,9-10,9,10,9 -> 10,4,0.00330631355045656
10,24,9-10,9,10,9 -> 10,5,-0.00220342175402449
10,24,9-10,9,10,9 -> 10,6,-0.000358605423264578
10,24,9-10,9,10,9 -> 10,7,0.00352258407802073
10,24,9-10,9,10,9 -> 10,8,0.00353375216216297
10,24,9-10,9,10,9 -> 10,9,-0.00243321943658794
10,24,9-10,9,10,9 -> 10,10,-1.18825532414506e-05
10,25,9-11,11,9,11 -> 9,1,0.0162857456637581
10,25,9-11,11,9,11 -> 9,2,-0.00767199596576755
10,25,9-11,11,9,11 -> 9,3,-0.00210131511595865
10,25,9-11,11,9,11 -> 9,4,0.00106960531525244
10,25,9-11,11,9,11 -> 9,5,-0.00109060303306576
10,25,9-11,11,9,11 -> 9,6,-0.00527620789684953
10,25,9-11,11,9,11 -> 9,7,0.00650660716832545
10,25,9-11,11,9,11 -> 9,8,-0.00209133432648913
10,25,9-11,11,9,11 -> 9,9,-0.00165528716156284
10,25,9-11,11,9,11 -> 9,10,0.000965473783924958
10,26,9-11,9,11,9 -> 11,1,0.0226267432621774
10,26,9-11,9,11,9 -> 11,2,-0.0098771562232987
10,26,9-11,9,11,9 -> 11,3,0.0110759083552495
10,26,9-11,9,11,9 -> 11,4,-0.000791526653935093
10,26,9-11,9,11,9 -> 11,5,-0.0139179739443501
10,26,9-11,9,11,9 -> 11,6,-0.0134598863356473
10,26,9-11,9,11,9 -> 11,7,0.00826678925288624
10,26,9-11,9,11,9 -> 11,8,-0.00632825871115864
10,26,9-11,9,11,9 -> 11,9,-0.00133085751201169
10,26,9-11,9,11,9 -> 11,10,7.30107120910446e-05
10,27,9-12,12,9,12 -> 9,1,0.0652572788133844
10,27,9-12,12,9,12 -> 9,2,-0.0470884602651157
10,27,9-12,12,9,12 -> 9,3,0.0048632026005318
10,27,9-12,12,9,12 -> 9,4,0.000942253858638853
10,27,9-12,12,9,12 -> 9,5,-0.0153451954230712
10,27,9-12,12,9,12 -> 9,6,-0.0194654627701887
10,27,9-12,12,9,12 -> 9,7,0.017241562293604
10,27,9-12,12,9,12 -> 9,8,-0.0131863101041015
10,27,9-12,12,9,12 -> 9,9,-0.00540982368927307
10,27,9-12,12,9,12 -> 9,10,0.0030513264081587
10,28,9-12,9,12,9 -> 12,1,0.0463601508904599
10,28,9-12,9,12,9 -> 12,2,-0.0349562857906386
10,28,9-12,9,12,9 -> 12,3,-0.00163447297829151
10,28,9-12,9,12,9 -> 12,4,-0.000533607802073489
10,28,9-12,9,12,9 -> 12,5,-0.0109656014921917
10,28,9-12,9,12,9 -> 12,6,-0.015971322480055
10,28,9-12,9,12,9 -> 12,7,0.0152309001838071
10,28,9-12,9,12,9 -> 12,8,-0.0111536049373775
10,28,9-12,9,12,9 -> 12,9,-0.00311140955543609
10,28,9-12,9,12,9 -> 12,10,0.00182216549781035
