m,Re_A1,Im_A1,Abs_A1,Re_A2,Im_A2,Abs_A2,Re_A3,Im_A3,Abs_A3,Re_A4,Im_A4,Abs_A4
-10,-0.065766756667134,-0.0634906192413694,0.0914129367987188,-0.0626265644463363,-0.0665663624668616,0.0913956628425043,-0.00708220182249607,0.00535009445705121,0.00887587141377886,-0.00975691192193184,-0.00397167485614446,0.0105343026069724
-9,0.0317012483067052,-0.00314615518762008,0.0318569841113054,0.032646834825824,-0.00231050164643948,0.0327284928159369,-0.00439670690843182,0.00605192220585132,0.00748042739583297,0.0429722974032067,0.00992302382287949,0.044103114922861
-8,0.0803635472698864,0.0166762274632998,0.0820755523417722,0.0781357974949067,0.0189349864547842,0.080397366637272,0.00575347024544012,-0.0301813299763042,0.0307248287058484,0.00629646488861223,-0.0414894173207351,0.041964475687272
-7,-0.144583971746878,-0.0303575539270611,0.147736610109128,-0.14563001680045,-0.0340913953265955,0.149567125494253,0.00459734148508929,-0.0362409437561491,0.0365313776508208,-0.0827203981082568,-0.0763551093299673,0.112573384882839
-6,-0.08392469753604,0.0380532541756089,0.0921488199049195,-0.0838189650178947,0.0374859011749219,0.0918194515533994,-0.0216435240780193,0.0876001021896215,0.0902342509147603,-0.0263676284874344,0.114409680011053,0.117408801681488
-5,0.199522051146437,0.125849229218224,0.235896327628266,0.196133249159099,0.12840421679531,0.234426735498582,-0.00696450183651363,0.073954514492044,0.0742817238598078,0.054278821988649,0.170803127459609,0.179220252389229
-4,0.118223411055576,-0.0300052334875208,0.121971672769772,0.115265273747599,-0.0223642094899782,0.117414825291445,0.0972122752956319,-0.193380512681555,0.216439943525068,0.0987699724507769,-0.216707440676431,0.238154618478114
-3,-0.136597287024399,-0.23419554877141,0.271120589197442,-0.130207486393043,-0.233174541421867,0.267066202055019,0.0513736284483399,-0.101761106931326,0.113993739230876,0.0729704925359844,-0.154778757602543,0.1711173766335
-2,-0.136847499286447,-0.0762969756368724,0.156679502655221,-0.110999435400213,-0.0901039354580429,0.142967107560422,-0.369319623984433,0.285386985758278,0.466736238469008,-0.337807839382851,0.253325461206261,0.422241548931266
-1,-0.0471050921353794,0.491651430944345,0.493902843942718,-0.0905868912294804,0.48689604677334,0.495251194068352,-0.0716188170824612,-0.00527510678601029,0.0718128241464911,-0.102765236583454,-0.0152690732291453,0.10389339944063
0,0.286551476143585,0,0.286551476143585,0.308321178098526,0,0.308321178098526,0.634170467892906,0,0.634170467892906,0.570131372511046,0,0.570131372511046
1,-0.0471050921353794,-0.491651430944345,0.493902843942718,-0.0905868912294804,-0.48689604677334,0.495251194068352,-0.0716188170824612,0.00527510678601029,0.0718128241464911,-0.102765236583454,0.0152690732291453,0.10389339944063
2,-0.136847499286447,0.0762969756368724,0.156679502655221,-0.110999435400213,0.0901039354580429,0.142967107560422,-0.369319623984433,-0.285386985758278,0.466736238469008,-0.337807839382851,-0.253325461206261,0.422241548931266
3,-0.136597287024399,0.23419554877141,0.271120589197442,-0.130207486393043,0.233174541421867,0.267066202055019,0.0513736284483399,0.101761106931326,0.113993739230876,0.0729704925359844,0.154778757602543,0.1711173766335
4,0.118223411055576,0.0300052334875208,0.121971672769772,0.115265273747599,0.0223642094899782,0.117414825291445,0.0972122752956319,0.193380512681555,0.216439943525068,0.0987699724507769,0.216707440676431,0.238154618478114
5,0.199522051146437,-0.125849229218224,0.235896327628266,0.196133249159099,-0.12840421679531,0.234426735498582,-0.00696450183651363,-0.073954514492044,0.0742817238598078,0.054278821988649,-0.170803127459609,0.179220252389229
6,-0.08392469753604,-0.0380532541756089,0.0921488199049195,-0.0838189650178947,-0.0374859011749219,0.0918194515533994,-0.0216435240780193,-0.0876001021896215,0.0902342509147603,-0.0263676284874344,-0.114409680011053,0.117408801681488
7,-0.144583971746878,0.0303575539270611,0.147736610109128,-0.14563001680045,0.0340913953265955,0.149567125494253,0.00459734148508929,0.0362409437561491,0.0365313776508208,-0.0827203981082568,0.0763551093299673,0.112573384882839
8,0.0803635472698864,-0.0166762274632998,0.0820755523417722,0.0781357974949067,-0.0189349864547842,0.080397366637272,0.00575347024544012,0.0301813299763042,0.0307248287058484,0.00629646488861223,0.0414894173207351,0.041964475687272
9,0.0317012483067052,0.00314615518762008,0.0318569841113054,0.032646834825824,0.00231050164643948,0.0327284928159369,-0.00439670690843182,-0.00605192220585132,0.00748042739583297,0.0429722974032067,-0.00992302382287949,0.044103114922861
10,-0.065766756667134,0.0634906192413694,0.0914129367987188,-0.0626265644463363,0.0665663624668616,0.0913956628425043,-0.00708220182249607,-0.00535009445705121,0.00887587141377886,-0.00975691192193184,0.00397167485614446,0.0105343026069724
