component_r,mode_l,singular_value_sigma,energy_share_eta,cum_energy_share
1,1,0.243275577674508,0.466906922651761,0.466906922651761
1,2,0.227366026137102,0.407834940844201,0.874741863495962
1,3,0.100468495188546,0.0796330010854956,0.954374864581457
1,4,0.0634677012611097,0.031778897473004,0.986153762054461
1,5,0.0418857471806596,0.0138409475267629,0.999994709581224
1,6,0.000818895305534717,5.29041877572681e-06,1
2,1,0.241194569239582,0.464808590543786,0.464808590543786
2,2,0.225789736225889,0.40733102358727,0.872139614131056
2,3,0.107091796576142,0.0916329155107915,0.963772529641847
2,4,0.056889154873373,0.0258581863115731,0.98963071595342
2,5,0.0359600242403856,0.0103318727285695,0.99996258868199
2,6,0.00216387393843984,3.74113180101108e-05,1
3,1,0.162360692839073,0.759808727406543,0.759808727406543
3,2,0.0622478315928282,0.111683995018682,0.871492722425225
3,3,0.0584493182212476,0.098469421238355,0.96996214366358
3,4,0.0285224579664999,0.0234485711249054,0.993410714788485
3,5,0.014944510827583,0.00643733179035057,0.999848046578836
3,6,0.00229606404742576,0.000151953421163918,1
4,1,0.0827312722739068,0.631835627704426,0.631835627704426
4,2,0.0520262100638183,0.249867105048883,0.881702732753309
4,3,0.0314903151280387,0.091541646227395,0.973244378980704
4,4,0.0134691657970807,0.0167473502260023,0.989991729206706
4,5,0.0104075729025665,0.00999916254408293,0.999990891750789
4,6,0.000314112413682327,9.10824921068e-06,1
