m,Re_A,Im_A,Abs_A,Angle_A
-10,-0.0109002229091755,-0.000238770352592796,0.010902837738451,-3.11969106720808
-9,-0.00153530604673831,0.00666492859247014,0.00683947642732082,1.79720276748483
-8,0.0104955198563802,-0.0277695844671271,0.0296867943458464,-1.20944169645857
-7,-0.00425870109292637,-0.039029861390943,0.0392615157017036,-1.67948028082186
-6,-0.0276805097958158,0.088007521251662,0.0922579775380861,1.87552439274998
-5,0.0047157722371679,0.0799397277207646,0.0800787023862326,1.51187301724754
-4,0.102983381016746,-0.187187826260651,0.213646575132456,-1.06782976461681
-3,0.0413089681992939,-0.114308484214972,0.121543656425232,-1.22401831120491
-2,-0.359269720569007,0.269420661145802,0.449068173855567,2.49814789130746
-1,-0.0904752426989599,0.0258825016015555,0.0941045877233954,2.86296161441475
0,0.65046418293221,0,0.65046418293221,0
1,-0.0904752426989599,-0.0258825016015555,0.0941045877233954,-2.86296161441475
2,-0.359269720569007,-0.269420661145802,0.449068173855567,-2.49814789130746
3,0.0413089681992939,0.114308484214972,0.121543656425232,1.22401831120491
4,0.102983381016746,0.187187826260651,0.213646575132456,1.06782976461681
5,0.0047157722371679,-0.0799397277207646,0.0800787023862326,-1.51187301724754
6,-0.0276805097958158,-0.088007521251662,0.0922579775380861,-1.87552439274998
7,-0.00425870109292637,0.039029861390943,0.0392615157017036,1.67948028082186
8,0.0104955198563802,0.0277695844671271,0.0296867943458464,1.20944169645857
9,-0.00153530604673831,-0.00666492859247014,0.00683947642732082,-1.79720276748483
10,-0.0109002229091755,0.000238770352592796,0.010902837738451,3.11969106720808
