CompRank,CompIndex,LambdaVal,DeltaRad,DeltaDeg,ComponentEnergyFraction,DropOneMetric,RecvLocalization,RecvEffectiveAgents,SendLocalization,SendEffectiveAgents,MaxDirectionShare,EffectiveDirections,DominantInteractionIndex,DominantPairName,DominantSourceID,DominantTargetID
1,1,0.174146590884523,0.489106009865164,28.0237100997579,0.614512082143047,0.614512082143046,0.301208822070051,5.15055369186596,0.277345210749016,5.14217740394052,0.090731169797681,21.8230310067483,8,7-10,7,10
2,1,0.0949574116903438,0.629950452704875,36.0935022423449,0.194806174625903,0.194806174625903,0.566550745509296,2.17126089578291,0.316054520416152,4.8562671980021,0.217258663228366,8.04620296593244,7,7-10,10,7
2,2,0.136542536791508,0.425928089355347,24.4038818961324,0.381042832121905,0.381042832121904,0.446798358778965,3.09615597502157,0.281285596200722,4.96843368543519,0.161191621514484,12.4685249824183,8,7-10,7,10
3,1,0.105501455521641,0.627091956751303,35.92972248845,0.149158176726323,0.149158176726323,0.809795065928354,1.481129840605,0.373702277842944,4.22294479897645,0.296589521255039,6.05998098635279,14,7-8,7,8
3,2,0.0921659896518185,0.637988910695858,36.5540719590214,0.181134413844269,0.181134413844269,0.600071068515908,2.05450672276409,0.30255623946463,5.0596728156808,0.223187813029271,7.89394260027442,7,7-10,10,7
3,3,0.15425570296654,0.425850798010691,24.3994534282907,0.450315778396941,0.450315778396941,0.661807735949255,1.88902776564193,0.323169306326915,4.71763935479809,0.187339132176075,8.23955313920469,8,7-10,7,10
4,1,0.0941288137827524,0.61382242529445,35.1694343398563,0.155053696869196,0.155053696869196,0.689598568890043,1.98872815690439,0.289856178988039,4.82601284947049,0.299407878179054,7.07576457544736,14,7-8,7,8
4,2,0.152958186427913,0.601183108970462,34.445254858561,0.509791844485389,0.509791844485386,0.618086848733976,2.16532415737681,0.282585505939822,5.11666379252766,0.210122818097544,8.51584798141941,7,7-10,10,7
4,3,0.148682095636104,0.578080041582091,33.121546603401,0.337535086014165,0.337535086014164,0.764567104362138,1.64441990212252,0.494776515560379,3.12707888868237,0.291812770904233,6.71780479514468,2,10-11,10,11
4,4,0.0501018632185859,3.13007355022484,179.340003993413,0.0629613059491639,0.0629613059491629,0.92285768907533,1.16995556639099,0.330504248993063,4.56644385529343,0.318762387980728,4.9168181258246,8,7-10,7,10
5,1,0.0940448203666507,0.587824738151441,33.6798765894603,0.156446989236079,0.156446989236078,0.710688112469303,1.88285176331716,0.311575877005991,4.7229700130727,0.328145681467165,6.33151446477341,14,7-8,7,8
5,2,0.190202954011523,0.620600506271348,35.5577897730304,0.815648518060766,0.815648518060763,0.696170409697594,1.84422677840883,0.291115940772006,4.67327058392135,0.235632002309993,6.8204267241335,9,7-11,11,7
5,3,0.160880553342788,0.562244359550397,32.2142288572737,0.466801362415459,0.466801362415457,0.500637560855285,2.56203182997489,0.501000558559404,3.05275883270566,0.263979920505926,7.50482138660281,9,7-11,11,7
5,4,0.0488533070746839,0.00487419866336005,0.279271011918838,0.0608770297008374,0.0608770297008372,0.913111032939747,1.19314756638065,0.348780853533181,4.30317841926205,0.327289423872316,4.86739630320651,8,7-10,7,10
5,5,0.0467099439285767,2.94923775392035,168.978876080279,0.021914473970247,0.0219144739702471,0.858510938497516,1.33371444191006,0.685056459872164,1.87168465755633,0.562487272046554,2.72308426363914,9,7-11,11,7
6,1,0.112395981921557,0.574254523740021,32.9023605765983,0.195624154115076,0.195624154115076,0.776944189420392,1.60965977913223,0.289142138896414,4.77515383131283,0.328607251445512,5.98908120028817,14,7-8,7,8
6,2,0.122684273194774,0.654801675441844,37.5173724209128,0.331227295385584,0.331227295385583,0.571196069450746,2.17134541286711,0.311397414130273,4.78159960871237,0.211871794818732,7.99368673254326,7,7-10,10,7
6,3,0.137731277892852,0.609064370068555,34.8968178567223,0.229501355628646,0.229501355628645,0.830097063005101,1.42256463711693,0.619218901308371,2.29653752870028,0.369559847535905,5.13689569647022,2,10-11,10,11
6,4,0.0525445282586837,5.03793312184113e-05,0.00288652305350664,0.0683703802203095,0.0683703802203092,0.768973506064485,1.65395868581011,0.466629393649721,3.44899709302758,0.379832158775913,5.10399243397133,8,7-10,7,10
6,5,0.487905366789115,2.92095909673052,167.358628373004,3.20892720942572,3.20892720942571,0.797860317836316,1.50686450183733,0.523159252380173,2.23114494619399,0.644835664343016,2.2284603780931,9,7-11,11,7
6,6,0.473696287478454,2.97158053646345,170.259023222577,3.273089115629,3.273089115629,0.79932584991835,1.50729580330943,0.465070606339395,2.32539439133173,0.65989807671988,2.17820924432176,9,7-11,11,7
7,1,0.904160836041418,3.01743403963787,172.886235430361,0.979297356230025,0.979297356230026,0.986958528695949,1.02645058256577,0.966604512631901,1.06954687088726,0.540359078889911,2.71683791153474,9,7-11,11,7
7,2,0.117496282729376,0.683923115242249,39.1859080148203,0.303518454218229,0.303518454218229,0.688820599703292,1.78656243110288,0.325292733842437,4.57337570698642,0.267155982637084,6.3669495084382,7,7-10,10,7
