CompRank,CompIndex,DeltaRad,DeltaDeg,ComponentEnergyFraction,DropOneMetric,MaxDirectionShare,EffectiveDirections,DominantInteractionIndex,DominantPairName,DominantSourceID,DominantTargetID
1,1,0.505093008221233,28.9396976326432,0.64456628267861,0.644566282678609,0.0881364832288284,19.5967521694135,2,10-11,10,11
2,1,0.442925812282724,25.3777796812038,0.439929101247562,0.439929101247562,0.148215955382091,13.5157854013399,8,7-10,7,10
2,2,0.710968981181431,40.735521986412,0.111590990946597,0.111590990946597,0.232266926039587,9.09992409639394,7,7-10,10,7
3,1,0.41785745427136,23.9414685678297,39.3086575760093,39.3086575760092,0.16804992556275,10.9050368267475,7,7-10,10,7
3,2,0.278100923348097,15.9340091865372,5.38107433093273,5.38107433093273,0.131199018873128,12.7043036032366,7,7-10,10,7
3,3,0.474318544078616,27.1764507204946,15.405795100542,15.405795100542,0.16210322320298,11.1291091064578,7,7-10,10,7
4,1,0.401699457697525,23.0156835587621,433.01930354021,433.01930354021,0.218954281631015,9.23243016501189,9,7-11,11,7
4,2,0.254233431743039,14.5665026500034,37.9030264264186,37.9030264264186,0.202775665916053,10.2114707884868,9,7-11,11,7
4,3,0.490402189712515,28.097975734501,296.237753251702,296.237753251701,0.212555490453862,8.76176636495691,9,7-11,11,7
4,4,0.705206629666618,40.4053635645424,7.09801079306673,7.09801079306672,0.27752477952997,7.47915477152613,7,7-10,10,7
5,1,0.610936161186299,35.0040635878991,0.494686107608909,0.494686107608906,0.233277382567587,8.30231893641065,7,7-10,10,7
5,2,0.000180784380548662,0.0103581820073253,1.46100845968046,1.46100845968046,0.158387062289894,13.8650501253107,9,7-11,11,7
5,3,1.76513915032304,101.135023566818,1.51660501037562,1.51660501037562,0.242108663867585,10.0213442609708,10,7-11,7,11
5,4,2.47363485406017,141.728837194107,1.11861900006075,1.11861900006075,0.261613369959402,9.18848427082128,10,7-11,7,11
5,5,1.18734856442162,68.0300615522762,1.86642297631941,1.8664229763194,0.125388364701154,14.1215262052185,6,11-12,11,12
6,1,0.676491200290689,38.7600906543957,2.6038674859643,2.60386748596431,0.107414458363176,15.5182335507824,6,11-12,11,12
6,2,0.890172523019702,51.0031286075411,12.6499565178709,12.6499565178709,0.138694643230654,14.7761002138143,14,7-8,7,8
6,3,0.329030875295763,18.8520804839425,6.75411663040748,6.75411663040749,0.150971370737675,12.2062598639024,9,7-11,11,7
6,4,0.506677323820702,29.0304722299096,20.8142983772281,20.8142983772281,0.109687014492013,16.0615754152197,14,7-8,7,8
6,5,2.04216329991734,117.007338161772,0.634278151403367,0.634278151403367,0.447599588084889,4.41468070016011,10,7-11,7,11
6,6,1.43684674119813,82.3252540777789,3.78545773714605,3.78545773714606,0.220549338286498,10.1966926057535,10,7-11,7,11
7,1,0.75791751813618,43.4254750082331,0.440740778537839,0.440740778537838,0.290901327263751,5.98278365630043,7,7-10,10,7
7,2,0.232974573047805,13.3484597695015,0.786809004022571,0.78680900402257,0.16051410382597,11.345994410847,8,7-10,7,10
7,3,0.900367426907916,51.5872535728772,0.820421172943826,0.820421172943825,0.124754831422006,12.7922227058135,10,7-11,7,11
7,4,0.889190715816559,50.9468751985054,0.609954106083969,0.609954106083967,0.23860897157659,7.92189225207785,7,7-10,10,7
7,5,2.35178332418794,134.747258805216,0.462584812353794,0.462584812353792,0.312815700139551,7.44419901392691,10,7-11,7,11
7,6,0.0213160251466255,1.22131827689637,2.32332106339946,2.32332106339946,0.230706806037492,7.68676441246774,8,7-10,7,10
7,7,2.76042579503681,158.160747714654,1.52017583572853,1.52017583572853,0.166156106223467,10.3157348848605,8,7-10,7,10
8,1,2.43325653573725,139.415329970368,0.11216562642362,0.11216562642362,0.626058789952043,2.46283330162785,10,7-11,7,11
