time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1783948529.2854743,11394709,2917045504,2917.045504,7,0,144,8,20260713_151745
1783948529.2954583,11394748,2917055488,2917.055488,10,0,144,8,20260713_151745
1783948529.305442,11394787,2917065472,2917.065472,13,1,144,8,20260713_151745
1783948529.3156822,11394827,2917075712,2917.075712,16,203,144,8,20260713_151745
1783948529.3256662,11394866,2917085696,2917.085696,20,129,144,8,20260713_151745
1783948529.3356502,11394905,2917095680,2917.09568,23,97,145,8,20260713_151745
1783948529.3456342,11394944,2917105664,2917.105664,26,69,146,8,20260713_151745
1783948529.3556182,11394983,2917115648,2917.115648,29,66,146,8,20260713_151745
1783948529.3656025,11395022,2917125632,2917.125632,32,45,146,8,20260713_151745
1783948529.3755865,11395061,2917135616,2917.135616,36,31,147,8,20260713_151745
1783948529.3855703,11395100,2917145600,2917.1456,39,22,147,8,20260713_151745
1783948529.3955543,11395139,2917155584,2917.155584,42,43,147,8,20260713_151745
1783948529.4055383,11395178,2917165568,2917.165568,45,41,148,8,20260713_151745
1783948529.4157782,11395218,2917175808,2917.175808,48,20,147,8,20260713_151745
1783948529.4257622,11395257,2917185792,2917.185792,51,15,149,8,20260713_151745
1783948529.4357462,11395296,2917195776,2917.195776,55,0,147,8,20260713_151745
1783948529.4457302,11395335,2917205760,2917.20576,58,1,147,8,20260713_151745
1783948529.4557142,11395374,2917215744,2917.215744,61,88,147,8,20260713_151745
1783948529.4656982,11395413,2917225728,2917.225728,64,201,139,8,20260713_151745
1783948529.4756825,11395452,2917235712,2917.235712,67,122,125,8,20260713_151745
1783948529.4856665,11395491,2917245696,2917.245696,70,0,116,8,20260713_151745
1783948529.4956503,11395530,2917255680,2917.25568,74,106,109,8,20260713_151745
1783948529.5056343,11395569,2917265664,2917.265664,77,0,105,8,20260713_151745
1783948529.515874,11395609,2917275904,2917.275904,80,52,104,8,20260713_151745
1783948529.5258582,11395648,2917285888,2917.285888,87,0,105,8,20260713_151745
1783948529.5358422,11395687,2917295872,2917.295872,90,0,106,8,20260713_151745
1783948529.5458262,11395726,2917305856,2917.305856,93,0,108,8,20260713_151745
1783948529.5558102,11395765,2917315840,2917.31584,96,107,111,8,20260713_151745
1783948529.5657942,11395804,2917325824,2917.325824,99,0,113,8,20260713_151745
1783948529.5757782,11395843,2917335808,2917.335808,103,80,115,8,20260713_151745
1783948529.5857625,11395882,2917345792,2917.345792,106,0,117,8,20260713_151745
1783948529.5957465,11395921,2917355776,2917.355776,109,32,121,8,20260713_151745
1783948529.6057303,11395960,2917365760,2917.36576,112,16,125,8,20260713_151745
1783948529.6157143,11395999,2917375744,2917.375744,115,0,130,8,20260713_151745
1783948529.6259542,11396039,2917385984,2917.385984,118,60,134,8,20260713_151745
1783948529.6359382,11396078,2917395968,2917.395968,122,0,136,8,20260713_151745
1783948529.6459222,11396117,2917405952,2917.405952,125,1,138,8,20260713_151745
1783948529.6559062,11396156,2917415936,2917.415936,128,63,139,8,20260713_151745
1783948529.6658902,11396195,2917425920,2917.42592,131,1,140,8,20260713_151745
1783948529.6758742,11396234,2917435904,2917.435904,134,0,141,8,20260713_151745
1783948529.6858582,11396273,2917445888,2917.445888,138,0,142,8,20260713_151745
1783948529.6958425,11396312,2917455872,2917.455872,141,1,143,8,20260713_151745
1783948529.7058263,11396351,2917465856,2917.465856,144,1,143,8,20260713_151745
1783948529.7158103,11396390,2917475840,2917.47584,147,1,143,8,20260713_151745
1783948529.72605,11396430,2917486080,2917.48608,150,0,144,8,20260713_151745
1783948529.7360342,11396469,2917496064,2917.496064,154,0,144,8,20260713_151745
1783948529.7460182,11396508,2917506048,2917.506048,157,0,144,8,20260713_151745
1783948529.7560022,11396547,2917516032,2917.516032,160,139,144,8,20260713_151745
1783948529.7659862,11396586,2917526016,2917.526016,163,2,144,8,20260713_151745
1783948529.7759702,11396625,2917536000,2917.536,166,0,144,8,20260713_151745
1783948529.7859542,11396664,2917545984,2917.545984,170,80,144,8,20260713_151745
1783948529.7959385,11396703,2917555968,2917.555968,173,5,144,8,20260713_151745
1783948529.8059225,11396742,2917565952,2917.565952,176,65,144,8,20260713_151745
1783948529.8159063,11396781,2917575936,2917.575936,179,5,144,8,20260713_151745
1783948529.8258903,11396820,2917585920,2917.58592,182,110,144,8,20260713_151745
1783948529.83613,11396860,2917596160,2917.59616,185,115,144,8,20260713_151745
1783948529.8461142,11396899,2917606144,2917.606144,189,0,144,8,20260713_151745
1783948529.8560982,11396938,2917616128,2917.616128,192,84,144,8,20260713_151745
1783948529.8660822,11396977,2917626112,2917.626112,195,0,145,8,20260713_151745
1783948529.8760662,11397016,2917636096,2917.636096,198,94,144,8,20260713_151745
1783948529.8860502,11397055,2917646080,2917.64608,201,0,144,8,20260713_151745
1783948529.8960342,11397094,2917656064,2917.656064,205,0,145,8,20260713_151745
1783948529.9060185,11397133,2917666048,2917.666048,208,0,144,8,20260713_151745
1783948529.9160025,11397172,2917676032,2917.676032,211,0,145,8,20260713_151745
1783948529.9259863,11397211,2917686016,2917.686016,214,0,145,8,20260713_151745
1783948529.936226,11397251,2917696256,2917.696256,217,93,145,8,20260713_151745
1783948529.94621,11397290,2917706240,2917.70624,221,0,145,8,20260713_151745
1783948529.9561942,11397329,2917716224,2917.716224,224,105,145,8,20260713_151745
1783948529.9661782,11397368,2917726208,2917.726208,227,0,145,8,20260713_151745
1783948529.9761622,11397407,2917736192,2917.736192,230,122,145,8,20260713_151745
1783948529.9861462,11397446,2917746176,2917.746176,233,57,145,8,20260713_151745
1783948529.9961302,11397485,2917756160,2917.75616,236,0,145,8,20260713_151745
1783948530.0061142,11397524,2917766144,2917.766144,240,0,145,8,20260713_151745
1783948530.0160985,11397563,2917776128,2917.776128,243,5,145,8,20260713_151745
1783948530.0260825,11397602,2917786112,2917.786112,246,0,145,8,20260713_151745
1783948530.0360663,11397641,2917796096,2917.796096,249,103,145,8,20260713_151745
1783948530.046306,11397681,2917806336,2917.806336,252,0,145,8,20260713_151745
1783948530.05629,11397720,2917816320,2917.81632,1,0,145,8,20260713_151745
1783948530.0662742,11397759,2917826304,2917.826304,4,3,145,8,20260713_151745
