Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,RelativeResidual,ExplainedFraction,ExplainedPercent
1,1,7-10,10,7,10 -> 7,0.503476738829574,0.746511173457537,74.6511173457537
1,2,7-10,7,10,7 -> 10,0.58423012680809,0.658675158929803,65.8675158929803
1,3,7-8,8,7,8 -> 7,0.752435733779563,0.433840466531611,43.3840466531611
1,4,7-8,7,8,7 -> 8,0.475904181923375,0.773515209627843,77.3515209627843
1,5,7-9,9,7,9 -> 7,0.39761957435206,0.841898674092087,84.1898674092087
1,6,7-9,7,9,7 -> 9,0.37401360460933,0.860113823567136,86.0113823567136
1,7,8-10,10,8,10 -> 8,0.650023378254021,0.57746960772323,57.746960772323
1,8,8-10,8,10,8 -> 10,0.624963268842643,0.609420912597519,60.9420912597519
1,9,8-9,9,8,9 -> 8,0.54987328726919,0.697639367947774,69.7639367947774
1,10,8-9,8,9,8 -> 9,0.510427043758122,0.739464233000344,73.9464233000344
1,11,9-10,10,9,10 -> 9,0.503278532787506,0.746710718435256,74.6710718435256
1,12,9-10,9,10,9 -> 10,0.517032095018266,0.732677812721023,73.2677812721023
2,1,7-10,10,7,10 -> 7,0.471563833663199,0.777627550780866,77.7627550780866
2,2,7-10,7,10,7 -> 10,0.548844329221402,0.69876990228151,69.876990228151
2,3,7-8,8,7,8 -> 7,0.750366722527232,0.436949781723741,43.6949781723741
2,4,7-8,7,8,7 -> 8,0.448652600213878,0.798710844321326,79.8710844321326
2,5,7-9,9,7,9 -> 7,0.375026936134533,0.859354797173545,85.9354797173545
2,6,7-9,7,9,7 -> 9,0.368557173968634,0.864165609516254,86.4165609516254
2,7,8-10,10,8,10 -> 8,0.639566257864618,0.59095500180105,59.095500180105
2,8,8-10,8,10,8 -> 10,0.59673042843733,0.643912795777,64.3912795777
2,9,8-9,9,8,9 -> 8,0.525083336258894,0.724287489983229,72.4287489983229
2,10,8-9,8,9,8 -> 9,0.494914884866802,0.75505925673728,75.505925673728
2,11,9-10,10,9,10 -> 9,0.515324796052117,0.734440354573844,73.4440354573844
2,12,9-10,9,10,9 -> 10,0.499011230051783,0.750987792282206,75.0987792282206
3,1,7-10,10,7,10 -> 7,0.467185790465252,0.781737437187358,78.1737437187358
3,2,7-10,7,10,7 -> 10,0.551643624992635,0.695689311004985,69.5689311004985
3,3,7-8,8,7,8 -> 7,0.736030585796655,0.458258976771833,45.8258976771833
3,4,7-8,7,8,7 -> 8,0.440367625316717,0.806076354572915,80.6076354572915
3,5,7-9,9,7,9 -> 7,0.366702623169789,0.865529186160395,86.5529186160395
3,6,7-9,7,9,7 -> 9,0.350558860487947,0.877108485333392,87.7108485333392
3,7,8-10,10,8,10 -> 8,0.647259917174883,0.581054599618764,58.1054599618764
3,8,8-10,8,10,8 -> 10,0.597105748659592,0.643464724917668,64.3464724917668
3,9,8-9,9,8,9 -> 8,0.529385400215828,0.719751098038327,71.9751098038327
3,10,8-9,8,9,8 -> 9,0.498480726003997,0.751516965802528,75.1516965802528
3,11,9-10,10,9,10 -> 9,0.511953624991117,0.737903485858455,73.7903485858455
3,12,9-10,9,10,9 -> 10,0.497957553639993,0.752038274772873,75.2038274772873
4,1,7-10,10,7,10 -> 7,0.465425151034036,0.783379428784945,78.3379428784945
4,2,7-10,7,10,7 -> 10,0.551181443655088,0.696199016170293,69.6199016170293
4,3,7-8,8,7,8 -> 7,0.72988123404415,0.467273384190189,46.7273384190189
4,4,7-8,7,8,7 -> 8,0.429007821937483,0.815952288716457,81.5952288716457
4,5,7-9,9,7,9 -> 7,0.365632449486426,0.866312911882556,86.6312911882556
4,6,7-9,7,9,7 -> 9,0.344542000006146,0.881290810231765,88.1290810231765
4,7,8-10,10,8,10 -> 8,0.653295634855113,0.573204813479254,57.3204813479254
4,8,8-10,8,10,8 -> 10,0.591530472115947,0.650091700558285,65.0091700558285
4,9,8-9,9,8,9 -> 8,0.53316590084535,0.715734122175766,71.5734122175766
4,10,8-9,8,9,8 -> 9,0.501846810011237,0.748149779281545,74.8149779281545
4,11,9-10,10,9,10 -> 9,0.502402030113819,0.747592200137513,74.7592200137513
4,12,9-10,9,10,9 -> 10,0.495062821782969,0.754912802488285,75.4912802488285
5,1,7-10,10,7,10 -> 7,0.466989464884838,0.781920839686573,78.1920839686573
5,2,7-10,7,10,7 -> 10,0.548164546925863,0.699515629493563,69.9515629493563
