Rank,Objective,RelativeResidual,ExplainedFraction,ExplainedPercent,IncrementalExplainedFraction,IncrementalExplainedPercentagePoints,RuntimeSeconds,BestStart,Iterations,Converged,SolverStatus
1,0.00440760539898319,0.50392104396443,0.746063581449799,74.6063581449799,0.746063581449799,74.6063581449799,0.1797575,1,1,1,optimized_start_1:numerical_objective_floor
2,0.0041755653376078,0.490477154702485,0.759432160714955,75.9432160714955,0.0133685792651559,1.33685792651559,0.1064965,5,7,1,optimized_start_5:converged
3,0.00407176826309125,0.484342599545565,0.765412246265444,76.5412246265444,0.00598008555048968,0.598008555048968,0.109164,1,5,1,optimized_start_1:converged
4,0.00400498073543642,0.48035394035343,0.769260091986934,76.9260091986934,0.00384784572148922,0.384784572148922,0.0975382,1,5,1,optimized_start_1:converged
5,0.0039788439416217,0.478783962442676,0.770765917307691,77.0765917307691,0.00150582532075694,0.150582532075694,0.111135,17,7,1,optimized_start_17:converged
6,0.00395795041158487,0.477525223182099,0.771969661224887,77.1969661224886,0.00120374391719591,0.120374391719591,0.0997767,18,7,1,optimized_start_18:converged
7,0.00394482236456254,0.476732618433507,0.772726010521532,77.2726010521532,0.000756349296645253,0.0756349296645253,0.0894024,11,7,1,optimized_start_11:converged
8,0.00393381573951253,0.476067077385806,0.773360137829337,77.3360137829337,0.000634127307804877,0.0634127307804877,0.1070757,17,7,1,optimized_start_17:converged
9,0.00392815544839313,0.475724452253247,0.773686245528348,77.3686245528348,0.000326107699011091,0.0326107699011091,0.1081476,3,8,1,optimized_start_3:converged
10,0.00392374161127415,0.475457105345514,0.773940540976465,77.3940540976465,0.000254295448116948,0.0254295448116948,0.1086058,5,8,1,optimized_start_5:converged
