Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Weight
1,1,7-10,10,7,10 -> 7,0.0240168891439387
1,2,7-10,7,10,7 -> 10,0.0261244733829585
1,3,7-8,8,7,8 -> 7,-0.0249735005830247
1,4,7-8,7,8,7 -> 8,-0.0375532185638142
1,5,7-9,9,7,9 -> 7,0.0461085098418041
1,6,7-9,7,9,7 -> 9,0.0553408064129139
1,7,8-10,10,8,10 -> 8,0.0133637300164431
1,8,8-10,8,10,8 -> 10,0.0127648601764472
1,9,8-9,9,8,9 -> 8,0.0249269989742761
1,10,8-9,8,9,8 -> 9,0.0274718557299445
1,11,9-10,10,9,10 -> 9,-0.0393776750638171
1,12,9-10,9,10,9 -> 10,-0.0346339094112846
2,1,7-10,10,7,10 -> 7,0.024512319952918
2,2,7-10,7,10,7 -> 10,0.0269078499714257
2,3,7-8,8,7,8 -> 7,-0.0250628327888716
2,4,7-8,7,8,7 -> 8,-0.0381599262400635
2,5,7-9,9,7,9 -> 7,0.046584069684834
2,6,7-9,7,9,7 -> 9,0.05547100176831
2,7,8-10,10,8,10 -> 8,0.0135188681832564
2,8,8-10,8,10,8 -> 10,0.0131211201736537
2,9,8-9,9,8,9 -> 8,0.0253986128311186
2,10,8-9,8,9,8 -> 9,0.0277600298606136
2,11,9-10,10,9,10 -> 9,-0.039052797014481
2,12,9-10,9,10,9 -> 10,-0.0350639981905665
3,1,7-10,10,7,10 -> 7,0.0245770103632111
3,2,7-10,7,10,7 -> 10,0.0268484715917145
3,3,7-8,8,7,8 -> 7,-0.0256666910955624
3,4,7-8,7,8,7 -> 8,-0.0383354730712761
3,5,7-9,9,7,9 -> 7,0.046751121390197
3,6,7-9,7,9,7 -> 9,0.0558848610844486
3,7,8-10,10,8,10 -> 8,0.0134051475536287
3,8,8-10,8,10,8 -> 10,0.0131165541712738
3,9,8-9,9,8,9 -> 8,0.0253189489950951
3,10,8-9,8,9,8 -> 9,0.0276948364973648
3,11,9-10,10,9,10 -> 9,-0.0391447622133926
3,12,9-10,9,10,9 -> 10,-0.0350885133988239
4,1,7-10,10,7,10 -> 7,0.0246028080760285
4,2,7-10,7,10,7 -> 10,0.0268583052191456
4,3,7-8,8,7,8 -> 7,-0.0259179063017376
4,4,7-8,7,8,7 -> 8,-0.0385695985489374
4,5,7-9,9,7,9 -> 7,0.0467722828752372
4,6,7-9,7,9,7 -> 9,0.0560179407943837
4,7,8-10,10,8,10 -> 8,0.0133142908967959
4,8,8-10,8,10,8 -> 10,0.0131839241635899
4,9,8-9,9,8,9 -> 8,0.025248196820507
4,10,8-9,8,9,8 -> 9,0.0276327232149602
4,11,9-10,10,9,10 -> 9,-0.0394009106096288
4,12,9-10,9,10,9 -> 10,-0.0351555091282535
5,1,7-10,10,7,10 -> 7,0.0245798931858613
5,2,7-10,7,10,7 -> 10,0.0269222041709588
5,3,7-8,8,7,8 -> 7,-0.0260041381503193
5,4,7-8,7,8,7 -> 8,-0.0386804998411935
5,5,7-9,9,7,9 -> 7,0.0467406758607443
5,6,7-9,7,9,7 -> 9,0.0560588024932406
5,7,8-10,10,8,10 -> 8,0.0132958684221955
5,8,8-10,8,10,8 -> 10,0.0131944569225353
5,9,8-9,9,8,9 -> 8,0.0252151034137137
5,10,8-9,8,9,8 -> 9,0.0275962305553111
5,11,9-10,10,9,10 -> 9,-0.0395014675883604
5,12,9-10,9,10,9 -> 10,-0.0352282886416629
6,1,7-10,10,7,10 -> 7,0.0245379162295807
6,2,7-10,7,10,7 -> 10,0.0269337080268388
6,3,7-8,8,7,8 -> 7,-0.0261203342348932
6,4,7-8,7,8,7 -> 8,-0.0387760512531794
6,5,7-9,9,7,9 -> 7,0.0467272910860378
6,6,7-9,7,9,7 -> 9,0.0561011119398595
6,7,8-10,10,8,10 -> 8,0.0132562322361575
6,8,8-10,8,10,8 -> 10,0.0131798161479979
6,9,8-9,9,8,9 -> 8,0.0251747484351101
6,10,8-9,8,9,8 -> 9,0.027546668778153
6,11,9-10,10,9,10 -> 9,-0.0396189492626986
6,12,9-10,9,10,9 -> 10,-0.0352608256243
7,1,7-10,10,7,10 -> 7,0.0245367481892734
7,2,7-10,7,10,7 -> 10,0.0269322493784596
7,3,7-8,8,7,8 -> 7,-0.0261414983476124
7,4,7-8,7,8,7 -> 8,-0.0388230205073467
7,5,7-9,9,7,9 -> 7,0.0467095456303817
7,6,7-9,7,9,7 -> 9,0.05612479210637
7,7,8-10,10,8,10 -> 8,0.0132586352815673
7,8,8-10,8,10,8 -> 10,0.0131865403552814
7,9,8-9,9,8,9 -> 8,0.0251794545826226
7,10,8-9,8,9,8 -> 9,0.0275434823876478
7,11,9-10,10,9,10 -> 9,-0.0396750772306334
7,12,9-10,9,10,9 -> 10,-0.0352999491683571
8,1,7-10,10,7,10 -> 7,0.0245262092897679
8,2,7-10,7,10,7 -> 10,0.0269322161486806
8,3,7-8,8,7,8 -> 7,-0.026151571491916
8,4,7-8,7,8,7 -> 8,-0.0388619349575529
