Rank,ComponentObjective,CommonObjective,ComponentExplainedFraction,CommonExplainedFraction,ExplainedFractionDifference,ExplainedPercentagePointDifference
1,0.00440760539898319,0.00440760539898319,0.746063581449799,0.746063581449799,1.11022302462516e-16,1.11022302462516e-14
2,0.00341779203289959,0.0041755653376078,0.8030899344156,0.759432160714955,0.0436577737006457,4.36577737006457
3,0.00255517629370941,0.00407176826309125,0.852788020239146,0.765412246265445,0.0873757739737012,8.73757739737012
4,0.00218988779949455,0.00400498073543642,0.873833473169192,0.769260091986934,0.104573381182258,10.4573381182258
5,0.00182131987741826,0.0039788439416217,0.895067864556891,0.770765917307691,0.1243019472492,12.43019472492
6,0.00150973128426593,0.00395795041158487,0.91301949231024,0.771969661224887,0.141049831085353,14.1049831085353
7,0.00133271208964104,0.00394482236456254,0.923218141288221,0.772726010521532,0.15049213076669,15.049213076669
8,0.00121929185231358,0.00393381573951253,0.929752648407369,0.773360137829337,0.156392510578032,15.6392510578032
9,0.00110979494975273,0.00392815544839313,0.936061119507131,0.773686245528348,0.162374873978783,16.2374873978783
10,0.00101837498881177,0.00392374161127415,0.941328119468313,0.773940540976465,0.167387578491848,16.7387578491848
