Rank,DirectionIndex,PairName,SourceID,TargetID,DirectionLabel,Component,Weight
10,1,7-10,10,7,10 -> 7,1,0.0228459403394693
10,1,7-10,10,7,10 -> 7,2,-0.0229782106354798
10,1,7-10,10,7,10 -> 7,3,0.0239030065213679
10,1,7-10,10,7,10 -> 7,4,-0.000234406797189383
10,1,7-10,10,7,10 -> 7,5,-0.000842631242351396
10,1,7-10,10,7,10 -> 7,6,0.00527986981551228
10,1,7-10,10,7,10 -> 7,7,-0.00501997862890069
10,1,7-10,10,7,10 -> 7,8,-0.00998058663651849
10,1,7-10,10,7,10 -> 7,9,0.00818354384862569
10,1,7-10,10,7,10 -> 7,10,0.00449491693330771
10,2,7-10,7,10,7 -> 10,1,-0.00495611724435744
10,2,7-10,7,10,7 -> 10,2,0.00457761904768409
10,2,7-10,7,10,7 -> 10,3,0.0128800958886385
10,2,7-10,7,10,7 -> 10,4,0.00815712305334034
10,2,7-10,7,10,7 -> 10,5,-0.00557322391231998
10,2,7-10,7,10,7 -> 10,6,0.00421076152411555
10,2,7-10,7,10,7 -> 10,7,0.0132670591998482
10,2,7-10,7,10,7 -> 10,8,-0.0162453210160629
10,2,7-10,7,10,7 -> 10,9,-0.000316154906799919
10,2,7-10,7,10,7 -> 10,10,0.00646318657407214
10,3,7-8,8,7,8 -> 7,1,0.0498258595636735
10,3,7-8,8,7,8 -> 7,2,-0.0396645934260918
10,3,7-8,8,7,8 -> 7,3,-0.00198145493297048
10,3,7-8,8,7,8 -> 7,4,-0.0272783723308179
10,3,7-8,8,7,8 -> 7,5,-0.0543139615450719
10,3,7-8,8,7,8 -> 7,6,0.0294962668304251
10,3,7-8,8,7,8 -> 7,7,-0.0176325502494121
10,3,7-8,8,7,8 -> 7,8,0.000344748505501176
10,3,7-8,8,7,8 -> 7,9,-0.00716003406304517
10,3,7-8,8,7,8 -> 7,10,0.00578425545062885
10,4,7-8,7,8,7 -> 8,1,0.0849618223720014
10,4,7-8,7,8,7 -> 8,2,-0.0758419792470808
10,4,7-8,7,8,7 -> 8,3,0.000829320901322
10,4,7-8,7,8,7 -> 8,4,-0.0282044456345554
10,4,7-8,7,8,7 -> 8,5,-0.0133431966918971
10,4,7-8,7,8,7 -> 8,6,-0.0010174726075715
10,4,7-8,7,8,7 -> 8,7,-0.0145789091901679
10,4,7-8,7,8,7 -> 8,8,0.0118625979939294
10,4,7-8,7,8,7 -> 8,9,-0.00145624414406653
10,4,7-8,7,8,7 -> 8,10,-0.0125470873942891
10,5,7-9,9,7,9 -> 7,1,0.0175369341293834
10,5,7-9,9,7,9 -> 7,2,-0.025177604942132
10,5,7-9,9,7,9 -> 7,3,0.0489198429420265
10,5,7-9,9,7,9 -> 7,4,0.00631486889291742
10,5,7-9,9,7,9 -> 7,5,-0.00944315790258381
10,5,7-9,9,7,9 -> 7,6,0.020914949608415
10,5,7-9,9,7,9 -> 7,7,-0.0121096306517438
10,5,7-9,9,7,9 -> 7,8,-0.0197258838688707
10,5,7-9,9,7,9 -> 7,9,0.0246953323115891
10,5,7-9,9,7,9 -> 7,10,-0.00940332848115766
10,6,7-9,7,9,7 -> 9,1,-0.0212732083558052
10,6,7-9,7,9,7 -> 9,2,0.0131666843328009
10,6,7-9,7,9,7 -> 9,3,0.039683136648908
10,6,7-9,7,9,7 -> 9,4,0.0194077003275271
10,6,7-9,7,9,7 -> 9,5,-0.0183847019296029
10,6,7-9,7,9,7 -> 9,6,0.0379675725446643
10,6,7-9,7,9,7 -> 9,7,-0.00943211028520246
10,6,7-9,7,9,7 -> 9,8,-0.0136143278260583
10,6,7-9,7,9,7 -> 9,9,0.00546503454023595
10,6,7-9,7,9,7 -> 9,10,-0.0124162243443819
10,7,8-10,10,8,10 -> 8,1,0.0162468248925183
10,7,8-10,10,8,10 -> 8,2,-0.0158049707890309
10,7,8-10,10,8,10 -> 8,3,0.0118784506646127
10,7,8-10,10,8,10 -> 8,4,-0.002704222253564
10,7,8-10,10,8,10 -> 8,5,0.00069898570635408
10,7,8-10,10,8,10 -> 8,6,-0.00191407563255586
10,7,8-10,10,8,10 -> 8,7,0.00363892031503995
10,7,8-10,10,8,10 -> 8,8,-0.010089976315085
10,7,8-10,10,8,10 -> 8,9,-0.00190160948650739
10,7,8-10,10,8,10 -> 8,10,0.00238700396986144
10,8,8-10,8,10,8 -> 10,1,0.000950859779189791
10,8,8-10,8,10,8 -> 10,2,-7.82160695273725e-06
10,8,8-10,8,10,8 -> 10,3,0.00615835205459046
10,8,8-10,8,10,8 -> 10,4,0.00364218111604387
10,8,8-10,8,10,8 -> 10,5,-0.000431770443569877
10,8,8-10,8,10,8 -> 10,6,0.000316324422863392
10,8,8-10,8,10,8 -> 10,7,0.00597950243742196
10,8,8-10,8,10,8 -> 10,8,-0.0066612404292092
10,8,8-10,8,10,8 -> 10,9,-0.000919356398324647
10,8,8-10,8,10,8 -> 10,10,0.00497931858561561
10,9,8-9,9,8,9 -> 8,1,0.00839270957893127
10,9,8-9,9,8,9 -> 8,2,-0.00763265224694531
10,9,8-9,9,8,9 -> 8,3,0.0189464814180435
10,9,8-9,9,8,9 -> 8,4,0.000498827298147809
10,9,8-9,9,8,9 -> 8,5,-0.000102292095245943
10,9,8-9,9,8,9 -> 8,6,-0.00165159895306486
10,9,8-9,9,8,9 -> 8,7,0.00701190553499501
10,9,8-9,9,8,9 -> 8,8,-0.0156113201482712
10,9,8-9,9,8,9 -> 8,9,-0.00233343195392648
10,9,8-9,9,8,9 -> 8,10,0.00414053733787913
10,10,8-9,8,9,8 -> 9,1,0.019867113290152
10,10,8-9,8,9,8 -> 9,2,-0.0171244241488291
10,10,8-9,8,9,8 -> 9,3,0.0141628083024886
10,10,8-9,8,9,8 -> 9,4,0.00537299792687895
10,10,8-9,8,9,8 -> 9,5,-0.00644884625009049
10,10,8-9,8,9,8 -> 9,6,0.0146227954149646
10,10,8-9,8,9,8 -> 9,7,-0.00233684712699005
10,10,8-9,8,9,8 -> 9,8,-0.00818298937709275
10,10,8-9,8,9,8 -> 9,9,-0.00936503158728934
10,10,8-9,8,9,8 -> 9,10,0.00587012824928392
10,11,9-10,10,9,10 -> 9,1,0.123133256521361
10,11,9-10,10,9,10 -> 9,2,-0.11585079525501
10,11,9-10,10,9,10 -> 9,3,-0.00728976593624571
10,11,9-10,10,9,10 -> 9,4,-0.0413535095848747
10,11,9-10,10,9,10 -> 9,5,-0.0154983778179781
10,11,9-10,10,9,10 -> 9,6,-0.00106165884383346
10,11,9-10,10,9,10 -> 9,7,-0.0152086094763956
10,11,9-10,10,9,10 -> 9,8,-0.0100291130339617
10,11,9-10,10,9,10 -> 9,9,-0.000990491413479081
10,11,9-10,10,9,10 -> 9,10,0.00481263124507905
10,12,9-10,9,10,9 -> 10,1,0.0193689922107694
10,12,9-10,9,10,9 -> 10,2,-0.0276468662436371
10,12,9-10,9,10,9 -> 10,3,-0.0126663421820335
10,12,9-10,9,10,9 -> 10,4,-0.0190540572499708
10,12,9-10,9,10,9 -> 10,5,-0.00110122329407595
10,12,9-10,9,10,9 -> 10,6,-0.000671922816632274
10,12,9-10,9,10,9 -> 10,7,-0.0234117144412611
10,12,9-10,9,10,9 -> 10,8,0.00758983712450444
10,12,9-10,9,10,9 -> 10,9,0.0108430132045065
10,12,9-10,9,10,9 -> 10,10,-0.00392793724318177
