m,Re_A,Im_A,Abs_A,Angle_A
-10,-0.0256255446477784,-0.00705238713234949,0.0265782750147524,-2.87303190745248
-9,-0.00660993139438268,0.0161396073700692,0.0174407029416373,1.95950587873448
-8,0.0333751833144187,-0.0132772866680268,0.0359192038126684,-0.378624911271869
-7,-0.00978877545355329,-0.0317088539541125,0.0331854116135889,-1.87022280068824
-6,-0.0302851996847687,0.0709279939764319,0.0771231071045965,1.97434720633573
-5,0.0289056791897978,0.0660807656385851,0.0721263188912696,1.15844502344818
-4,0.0719168127814373,-0.172800836124107,0.187168792606649,-1.17641718704677
-3,0.0142054289754707,-0.129833229396715,0.130608045954134,-1.46181692689102
-2,-0.341470935425852,0.280016765755401,0.441601391352792,2.45475644492647
-1,-0.0920020724551805,0.0394355082152019,0.100097655538177,2.73664532621498
0,0.675760059226085,0,0.675760059226085,0
1,-0.0920020724551805,-0.0394355082152019,0.100097655538177,-2.73664532621498
2,-0.341470935425852,-0.280016765755401,0.441601391352792,-2.45475644492647
3,0.0142054289754707,0.129833229396715,0.130608045954134,1.46181692689102
4,0.0719168127814373,0.172800836124107,0.187168792606649,1.17641718704677
5,0.0289056791897978,-0.0660807656385851,0.0721263188912696,-1.15844502344818
6,-0.0302851996847687,-0.0709279939764319,0.0771231071045965,-1.97434720633573
7,-0.00978877545355329,0.0317088539541125,0.0331854116135889,1.87022280068824
8,0.0333751833144187,0.0132772866680268,0.0359192038126684,0.378624911271869
9,-0.00660993139438268,-0.0161396073700692,0.0174407029416373,-1.95950587873448
10,-0.0256255446477784,0.00705238713234949,0.0265782750147524,2.87303190745248
