pair_name,target_id,source_id,direction,total_energy,joint_r1_energy_ratio,joint_r1_cum_r2,joint_r2_energy_ratio,joint_r2_cum_r2,joint_r3_energy_ratio,joint_r3_cum_r2,indiv_r1_energy_ratio,indiv_r1_cum_r2,indiv_r2_energy_ratio,indiv_r2_cum_r2,indiv_r3_energy_ratio,indiv_r3_cum_r2,weight_r1
7-10,7,10,s1,0.000772675593696323,0.795617042200946,0.795617042200947,0.01724859036051,0.812865632561457,0.0380507223565654,0.850916354918022,0.845895785707319,0.845895785707319,0.0787360430140587,0.924631828721378,0.0184642594387514,0.943096088160129,0.0231100285070657
7-10,10,7,s2,0.00103615279896967,0.649116050620335,0.649116050620337,0.134280918638736,0.783396969259071,0.123951367697544,0.907348336956615,0.879883833602117,0.879883833602117,0.061845696983069,0.941729530585186,0.0184256721432969,0.960155202728483,0.0250182964891384
7-8,7,8,s1,0.00132010503848173,0.638994020786192,0.638994020786193,0.0722247457984131,0.711218766584605,0.0253008288183723,0.736519595402978,0.837469100793535,0.837469100793535,0.0522792785897866,0.889748379383322,0.0296568486875417,0.919405228070863,-0.0201177677833261
7-8,8,7,s2,0.00579805267703359,0.590549687918157,0.590549687918158,0.31697172214656,0.907521410064721,0.0234339283690638,0.930955338433784,0.872919578899051,0.872919578899051,0.0601254761671602,0.933045055066211,0.0254271267800296,0.958472181846241,-0.0502666052683421
7-9,7,9,s1,0.00252523818513487,0.848096405875533,0.848096405875534,0.0254647723254325,0.873561178200966,0.00690940354763257,0.880470581748598,0.91777326400827,0.91777326400827,0.0363116287300157,0.954084892738285,0.0183700344506699,0.972454927188955,0.0456997946194873
7-9,9,7,s2,0.00356069716648678,0.854689786745157,0.854689786745158,0.0216112362371266,0.876301022982284,0.0705215144019754,0.946822537384259,0.927969295111861,0.927969295111861,0.0279024404075594,0.955871735519421,0.021671128505686,0.977542864025107,0.0546000967288572
8-10,8,10,s1,0.000309261782029537,0.597235841003154,0.597235841003155,0.112262371305967,0.70949821230912,0.114417517957954,0.823915730267074,0.858454820254305,0.858454820254305,0.0690235480553398,0.927478368309644,0.0230176886039896,0.950496056913634,0.013218046958929
8-10,10,8,s2,0.000267371289622712,0.590765393991352,0.590765393991353,0.101519400513541,0.692284794504893,0.124919354665504,0.817204149170397,0.744358028819299,0.744358028819299,0.104653214605541,0.84901124342484,0.0405382877763285,0.889549531201168,0.0121336224731556
8-9,8,9,s1,0.000890653977414411,0.719110927223099,0.719110927223101,0.0668555289704625,0.785966456193563,0.100586940243292,0.886553396436854,0.92083453900679,0.92083453900679,0.0451799125712016,0.966014451577991,0.0120939579754589,0.97810840955345,0.0245246765853638
8-9,9,8,s2,0.00102060765560589,0.764699619285763,0.764699619285765,0.00717756568745112,0.771877184973216,0.139994833542334,0.911872018515549,0.916071975857377,0.916071975857377,0.0347559242183476,0.950827900075725,0.01386497285396,0.964692872929685,0.0267989821391213
9-10,9,10,s1,0.00207657564723441,0.746500101391573,0.746500101391574,0.0671498827027645,0.813649984094337,0.0577554141384169,0.871405398232754,0.826114102022045,0.826114102022045,0.0763239404467296,0.902438042468775,0.0326323784606515,0.935070420929426,-0.0374161999696063
9-10,10,9,s2,0.0016371557324144,0.7137623339858,0.713762333985802,0.0827523408867394,0.796514674872539,0.0987962883440234,0.895310963216563,0.887642668114997,0.887642668114997,0.0339906883066453,0.921633356421642,0.029928883101206,0.951562239522848,-0.033452068506473
