time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1782143539.100137,10890732,2788027392,2788.027392,240,0,149,7,20260622_175404
1782143539.110121,10890771,2788037376,2788.037376,243,1,149,7,20260622_175404
1782143539.120105,10890810,2788047360,2788.04736,246,1,149,7,20260622_175404
1782143539.130089,10890849,2788057344,2788.057344,249,164,149,7,20260622_175404
1782143539.140073,10890888,2788067328,2788.067328,252,137,149,7,20260622_175404
1782143539.1503131,10890928,2788077568,2788.077568,1,115,149,7,20260622_175404
1782143539.1602972,10890967,2788087552,2788.087552,4,68,149,7,20260622_175404
1782143539.1702812,10891006,2788097536,2788.097536,7,69,149,7,20260622_175404
1782143539.1802652,10891045,2788107520,2788.10752,10,29,149,7,20260622_175404
1782143539.190249,10891084,2788117504,2788.117504,13,38,149,7,20260622_175404
1782143539.200233,10891123,2788127488,2788.127488,16,52,149,7,20260622_175404
1782143539.210217,10891162,2788137472,2788.137472,20,41,149,7,20260622_175404
1782143539.220201,10891201,2788147456,2788.147456,23,16,149,7,20260622_175404
1782143539.230185,10891240,2788157440,2788.15744,26,31,149,7,20260622_175404
1782143539.240169,10891279,2788167424,2788.167424,29,25,149,7,20260622_175404
1782143539.2504091,10891319,2788177664,2788.177664,32,45,149,7,20260622_175404
1782143539.2603931,10891358,2788187648,2788.187648,36,0,149,7,20260622_175404
1782143539.2703772,10891397,2788197632,2788.197632,39,0,149,7,20260622_175404
1782143539.2803612,10891436,2788207616,2788.207616,42,0,149,7,20260622_175404
1782143539.2903452,10891475,2788217600,2788.2176,45,0,149,7,20260622_175404
1782143539.300329,10891514,2788227584,2788.227584,48,63,148,7,20260622_175404
1782143539.310313,10891553,2788237568,2788.237568,52,11,147,7,20260622_175404
1782143539.320297,10891592,2788247552,2788.247552,55,45,146,7,20260622_175404
1782143539.330281,10891631,2788257536,2788.257536,58,17,146,7,20260622_175404
1782143539.340265,10891670,2788267520,2788.26752,61,0,145,7,20260622_175404
1782143539.350249,10891709,2788277504,2788.277504,64,94,145,7,20260622_175404
1782143539.3604891,10891749,2788287744,2788.287744,68,0,145,7,20260622_175404
1782143539.3704731,10891788,2788297728,2788.297728,71,123,146,7,20260622_175404
1782143539.3804572,10891827,2788307712,2788.307712,74,6,146,7,20260622_175404
1782143539.3904412,10891866,2788317696,2788.317696,77,145,147,7,20260622_175404
1782143539.4004252,10891905,2788327680,2788.32768,80,65,148,7,20260622_175404
1782143539.410409,10891944,2788337664,2788.337664,83,0,148,7,20260622_175404
1782143539.420393,10891983,2788347648,2788.347648,87,0,149,7,20260622_175404
1782143539.430377,10892022,2788357632,2788.357632,90,94,149,7,20260622_175404
1782143539.440361,10892061,2788367616,2788.367616,93,0,149,7,20260622_175404
1782143539.450345,10892100,2788377600,2788.3776,96,104,149,7,20260622_175404
1782143539.460585,10892140,2788387840,2788.38784,100,0,149,7,20260622_175404
1782143539.4705691,10892179,2788397824,2788.397824,103,96,149,7,20260622_175404
1782143539.4805532,10892218,2788407808,2788.407808,106,0,149,7,20260622_175404
1782143539.4905372,10892257,2788417792,2788.417792,109,0,149,7,20260622_175404
