agent_id,energy_ratio,first_arg_agent_id,nrmse,other_agent_id,other_idx_in_pair,other_phase,pair_name,rank,reconstruction_mismatch_rmse,remaining_energy_ratio,removed_constant_energy_ratio,removed_other_energy_ratio,removed_self_energy_ratio,removed_total_energy_ratio,residual_energy_ratio,residual_nrmse,second_arg_agent_id,self_agent_id,self_idx_in_pair,self_phase,signal_index,source_agent_id,target_agent_id,total_energy_ratio,total_nrmse
7,0.307631830724285,7,0.964438201065909,10,2,phi_{10},7-10,1,0.0144684123303277,0.000350148099442311,0.00275120944595682,0,0.996898642454601,0.999649851900558,0.307631830724285,0.964438201065909,10,7,1,phi_{7},1,10,7,0.999757568601414,0.0378451244895307
7,0.506821204115169,7,0.940722729518275,10,2,phi_{10},7-10,2,0.0144684123303277,0.000350148099442311,0.00275120944595682,0,0.996898642454601,0.999649851900558,0.506821204115169,0.940722729518275,10,7,1,phi_{7},1,10,7,0.999827314381936,0.0369145153825333
7,0.666781767387805,7,0.920951684341235,10,2,phi_{10},7-10,3,0.0144684123303277,0.000350148099442311,0.00275120944595682,0,0.996898642454601,0.999649851900558,0.666781767387805,0.920951684341235,10,7,1,phi_{7},1,10,7,0.999883324269151,0.0361386878954156
7,0.752444928819295,7,0.910201548654429,10,2,phi_{10},7-10,4,0.0144684123303277,0.000350148099442311,0.00275120944595682,0,0.996898642454601,0.999649851900558,0.752444928819295,0.910201548654429,10,7,1,phi_{7},1,10,7,0.999913319062319,0.035716846223345
7,0.830041497348154,7,0.900278853520511,10,2,phi_{10},7-10,5,0.0144684123303277,0.000350148099442311,0.00275120944595682,0,0.996898642454601,0.999649851900558,0.830041497348154,0.900278853520511,10,7,1,phi_{7},1,10,7,0.999940489353312,0.0353274738071551
10,0.416166332695406,10,0.918557868242787,7,1,phi_{7},7-10,1,0.0164479457759633,0.000893879151487823,0.00168538766786106,0,0.997420733180651,0.999106120848512,0.416166332695406,0.918557868242787,7,10,2,phi_{10},2,7,10,0.99947812325686,0.0447866290111391
10,0.610729250837835,10,0.87738161850535,7,1,phi_{7},7-10,2,0.0164479457759633,0.000893879151487823,0.00168538766786106,0,0.997420733180651,0.999106120848512,0.610729250837835,0.87738161850535,7,10,2,phi_{10},2,7,10,0.99965203899304,0.042778976053369
10,0.763455803081737,10,0.843902507957477,7,1,phi_{7},7-10,3,0.0164479457759633,0.000893879151487823,0.00168538766786106,0,0.997420733180651,0.999106120848512,0.763455803081737,0.843902507957477,7,10,2,phi_{10},2,7,10,0.999788558073969,0.0411466167262437
10,0.847487177820045,10,0.824890838089873,7,1,phi_{7},7-10,4,0.0164479457759633,0.000893879151487823,0.00168538766786106,0,0.997420733180651,0.999106120848512,0.847487177820045,0.824890838089873,7,10,2,phi_{10},2,7,10,0.999863671967919,0.040219654327161
10,0.895032399370672,10,0.813807323280858,7,1,phi_{7},7-10,5,0.0164479457759633,0.000893879151487823,0.00168538766786106,0,0.997420733180651,0.999106120848512,0.895032399370672,0.813807323280858,7,10,2,phi_{10},2,7,10,0.999906171650216,0.0396792493259601
7,0.909333226000862,7,0.608960898301805,8,2,phi_{8},7-8,1,0.0168810597906489,0.00356481690193619,0.00493655278506501,0,0.991498630312999,0.996435183098064,0.909333226000862,0.608960898301805,8,7,1,phi_{7},1,8,7,0.999676789551604,0.0439849460898899
7,0.937305201750137,7,0.592950988315927,8,2,phi_{8},7-8,2,0.0168810597906489,0.00356481690193619,0.00493655278506501,0,0.991498630312999,0.996435183098064,0.937305201750137,0.592950988315927,8,7,1,phi_{7},1,8,7,0.999776504523536,0.0428285581681094
7,0.954859859906953,7,0.582575678677822,8,2,phi_{8},7-8,3,0.0168810597906489,0.00356481690193619,0.00493655278506501,0,0.991498630312999,0.996435183098064,0.954859859906953,0.582575678677822,8,7,1,phi_{7},1,8,7,0.999839083665641,0.0420791546573576
7,0.97011691173882,7,0.573532906330311,8,2,phi_{8},7-8,4,0.0168810597906489,0.00356481690193619,0.00493655278506501,0,0.991498630312999,0.996435183098064,0.97011691173882,0.573532906330311,8,7,1,phi_{7},1,8,7,0.999893472261885,0.0414259996595283
7,0.977982589044823,7,0.568911239218873,8,2,phi_{8},7-8,5,0.0168810597906489,0.00356481690193619,0.00493655278506501,0,0.991498630312999,0.996435183098064,0.977982589044823,0.568911239218873,8,7,1,phi_{7},1,8,7,0.99992151196129,0.0410921789178207
8,0.812808333361163,8,0.685666059373538,7,1,phi_{7},7-8,1,0.0227143578480969,0.00566823611156447,0.0268499731111834,0,0.967481790777252,0.994331763888436,0.812808333361163,0.685666059373538,7,8,2,phi_{8},2,7,8,0.998938953435374,0.0643173701217506
8,0.884481180109862,8,0.651081370897332,7,1,phi_{7},7-8,2,0.0227143578480969,0.00566823611156447,0.0268499731111834,0,0.967481790777252,0.994331763888436,0.884481180109862,0.651081370897332,7,8,2,phi_{8},2,7,8,0.999345212053533,0.0610732308226552
