time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788722696.7374637,899093,230167808,230.167808,79,0,150,129,9,20260906_212613
1788722696.7471914,899131,230177536,230.177536,82,1,150,129,9,20260906_212613
1788722696.7571754,899170,230187520,230.18752,85,1,150,130,9,20260906_212613
1788722696.7671597,899209,230197504,230.197504,88,1,150,130,9,20260906_212613
1788722696.7771437,899248,230207488,230.207488,92,25,150,130,9,20260906_212613
1788722696.7873833,899288,230217728,230.217728,95,202,150,130,9,20260906_212613
1788722696.797367,899327,230227712,230.227712,98,121,150,129,9,20260906_212613
1788722696.8073514,899366,230237696,230.237696,101,11,150,127,9,20260906_212613
1788722696.8173354,899405,230247680,230.24768,104,1,150,125,9,20260906_212613
1788722696.8273194,899444,230257664,230.257664,107,1,150,124,9,20260906_212613
1788722696.8373034,899483,230267648,230.267648,111,45,150,123,9,20260906_212613
1788722696.8472874,899522,230277632,230.277632,114,183,150,122,9,20260906_212613
1788722696.8572714,899561,230287616,230.287616,117,8,149,121,9,20260906_212613
1788722696.8672554,899600,230297600,230.2976,120,100,148,121,9,20260906_212613
1788722696.8772397,899639,230307584,230.307584,123,22,145,121,9,20260906_212613
1788722696.8872235,899678,230317568,230.317568,127,0,138,122,9,20260906_212613
1788722696.8972075,899717,230327552,230.327552,130,4,132,122,9,20260906_212613
1788722696.9071915,899756,230337536,230.337536,133,0,131,122,9,20260906_212613
1788722696.9174314,899796,230347776,230.347776,136,0,132,122,9,20260906_212613
1788722696.9274154,899835,230357760,230.35776,139,1,134,123,9,20260906_212613
1788722696.9373994,899874,230367744,230.367744,143,1,136,124,9,20260906_212613
1788722696.9473834,899913,230377728,230.377728,146,12,138,124,9,20260906_212613
1788722696.9573674,899952,230387712,230.387712,149,12,139,125,9,20260906_212613
1788722696.9673514,899991,230397696,230.397696,152,1,141,126,9,20260906_212613
1788722696.9773357,900030,230407680,230.40768,155,5,142,127,9,20260906_212613
1788722696.9873197,900069,230417664,230.417664,158,0,144,128,9,20260906_212613
1788722696.9973035,900108,230427648,230.427648,162,3,145,129,9,20260906_212613
1788722697.0072875,900147,230437632,230.437632,165,0,146,129,9,20260906_212613
1788722697.0172715,900186,230447616,230.447616,168,48,148,129,9,20260906_212613
1788722697.0272555,900225,230457600,230.4576,171,46,148,128,9,20260906_212613
1788722697.0372393,900264,230467584,230.467584,174,30,149,126,9,20260906_212613
1788722697.0474794,900304,230477824,230.477824,178,36,149,125,9,20260906_212613
1788722697.0574634,900343,230487808,230.487808,181,43,149,123,9,20260906_212613
1788722697.0674474,900382,230497792,230.497792,184,98,149,122,9,20260906_212613
1788722697.0774314,900421,230507776,230.507776,187,4,149,119,9,20260906_212613
1788722697.0874157,900460,230517760,230.51776,190,96,149,118,9,20260906_212613
1788722697.0973997,900499,230527744,230.527744,194,42,149,117,9,20260906_212613
1788722697.1073835,900538,230537728,230.537728,197,65,149,116,9,20260906_212613
1788722697.1173675,900577,230547712,230.547712,200,39,149,115,9,20260906_212613
1788722697.1273515,900616,230557696,230.557696,203,49,149,115,9,20260906_212613
1788722697.1373353,900655,230567680,230.56768,206,27,149,115,9,20260906_212613
1788722697.1473193,900694,230577664,230.577664,213,17,149,115,9,20260906_212613
1788722697.157303,900733,230587648,230.587648,216,31,149,115,9,20260906_212613
1788722697.1675434,900773,230597888,230.597888,219,62,149,116,9,20260906_212613
1788722697.1775274,900812,230607872,230.607872,222,37,149,118,9,20260906_212613
1788722697.1875114,900851,230617856,230.617856,225,94,149,120,9,20260906_212613
1788722697.1974957,900890,230627840,230.62784,229,28,149,122,9,20260906_212613
1788722697.2074797,900929,230637824,230.637824,232,67,150,125,9,20260906_212613
1788722697.2174635,900968,230647808,230.647808,235,10,150,126,9,20260906_212613
1788722697.2274475,901007,230657792,230.657792,238,0,150,128,9,20260906_212613
1788722697.2374315,901046,230667776,230.667776,241,19,150,130,9,20260906_212613
1788722697.2474153,901085,230677760,230.67776,245,0,150,131,9,20260906_212613
1788722697.257399,901124,230687744,230.687744,248,39,150,132,9,20260906_212613
1788722697.267383,901163,230697728,230.697728,251,78,150,132,9,20260906_212613
1788722697.2773674,901202,230707712,230.707712,254,1,150,132,9,20260906_212613
1788722697.2873514,901241,230717696,230.717696,2,1,150,131,9,20260906_212613
1788722697.2975914,901281,230727936,230.727936,6,3,150,131,9,20260906_212613
1788722697.3075757,901320,230737920,230.73792,9,1,150,131,9,20260906_212613
1788722697.3175597,901359,230747904,230.747904,12,11,150,131,9,20260906_212613
1788722697.3275435,901398,230757888,230.757888,15,1,150,131,9,20260906_212613
1788722697.3375275,901437,230767872,230.767872,18,1,150,131,9,20260906_212613
1788722697.3475115,901476,230777856,230.777856,21,1,150,131,9,20260906_212613
1788722697.3574953,901515,230787840,230.78784,25,1,150,131,9,20260906_212613
1788722697.367479,901554,230797824,230.797824,28,55,150,130,9,20260906_212613
1788722697.377463,901593,230807808,230.807808,31,6,150,130,9,20260906_212613
1788722697.3874474,901632,230817792,230.817792,34,29,150,130,9,20260906_212613
1788722697.3974314,901671,230827776,230.827776,37,7,150,130,9,20260906_212613
1788722697.4074154,901710,230837760,230.83776,41,76,150,131,9,20260906_212613
1788722697.4176557,901750,230848000,230.848,44,63,150,131,9,20260906_212613
1788722697.4276395,901789,230857984,230.857984,47,9,150,131,9,20260906_212613
1788722697.4376235,901828,230867968,230.867968,50,42,150,131,9,20260906_212613
1788722697.4476075,901867,230877952,230.877952,53,38,150,130,9,20260906_212613
1788722697.4575915,901906,230887936,230.887936,57,27,150,128,9,20260906_212613
1788722697.4675753,901945,230897920,230.89792,60,17,150,126,9,20260906_212613
1788722697.477559,901984,230907904,230.907904,63,39,150,125,9,20260906_212613
1788722697.487543,902023,230917888,230.917888,66,77,150,123,9,20260906_212613
1788722697.4975274,902062,230927872,230.927872,69,8,150,121,9,20260906_212613
1788722697.5075114,902101,230937856,230.937856,72,88,150,119,9,20260906_212613
1788722697.5174954,902140,230947840,230.94784,76,25,150,117,9,20260906_212613
1788722697.5274794,902179,230957824,230.957824,79,76,150,115,9,20260906_212613
1788722697.5374634,902218,230967808,230.967808,82,11,150,114,9,20260906_212613
1788722697.5477035,902258,230978048,230.978048,85,33,150,113,9,20260906_212613
