time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788724025.4381616,6089348,1558873088,1558.873088,187,2,149,116,9,20260906_214822
1788724025.4481456,6089387,1558883072,1558.883072,190,6,149,117,9,20260906_214822
1788724025.4581296,6089426,1558893056,1558.893056,194,1,149,118,9,20260906_214822
1788724025.4681137,6089465,1558903040,1558.90304,197,5,149,118,9,20260906_214822
1788724025.4780977,6089504,1558913024,1558.913024,200,114,148,119,9,20260906_214822
1788724025.4880817,6089543,1558923008,1558.923008,203,169,149,119,9,20260906_214822
1788724025.4980657,6089582,1558932992,1558.932992,207,119,148,120,9,20260906_214822
1788724025.5080495,6089621,1558942976,1558.942976,210,92,147,120,9,20260906_214822
1788724025.5180335,6089660,1558952960,1558.95296,213,69,145,119,9,20260906_214822
1788724025.5282738,6089700,1558963200,1558.9632,216,52,142,118,9,20260906_214822
1788724025.5382578,6089739,1558973184,1558.973184,219,7,138,117,9,20260906_214822
1788724025.5482416,6089778,1558983168,1558.983168,222,1,137,117,9,20260906_214822
1788724025.5582256,6089817,1558993152,1558.993152,226,112,139,116,9,20260906_214822
1788724025.5682096,6089856,1559003136,1559.003136,229,127,140,117,9,20260906_214822
1788724025.5781937,6089895,1559013120,1559.01312,232,130,141,117,9,20260906_214822
1788724025.5881777,6089934,1559023104,1559.023104,235,120,144,118,9,20260906_214822
1788724025.5981617,6089973,1559033088,1559.033088,238,68,146,119,9,20260906_214822
1788724025.6096818,6090018,1559044608,1559.044608,242,4,147,121,9,20260906_214822
1788724025.6222258,6090067,1559057152,1559.057152,246,5,147,122,9,20260906_214822
1788724025.6322098,6090106,1559067136,1559.067136,249,13,148,122,9,20260906_214822
1788724025.6421938,6090145,1559077120,1559.07712,252,43,147,123,9,20260906_214822
1788724025.6521778,6090184,1559087104,1559.087104,0,1,147,123,9,20260906_214822
1788724025.6621618,6090223,1559097088,1559.097088,4,45,146,124,9,20260906_214822
1788724025.6721458,6090262,1559107072,1559.107072,7,6,146,123,9,20260906_214822
1788724025.6823857,6090302,1559117312,1559.117312,10,2,144,124,9,20260906_214822
1788724025.6923697,6090341,1559127296,1559.127296,13,5,143,123,9,20260906_214822
1788724025.7023537,6090380,1559137280,1559.13728,17,1,141,123,9,20260906_214822
1788724025.7123375,6090419,1559147264,1559.147264,20,1,138,123,9,20260906_214822
1788724025.7223215,6090458,1559157248,1559.157248,23,1,136,123,9,20260906_214822
1788724025.7323058,6090497,1559167232,1559.167232,26,18,135,123,9,20260906_214822
1788724025.7422898,6090536,1559177216,1559.177216,29,85,135,123,9,20260906_214822
1788724025.7522738,6090575,1559187200,1559.1872,32,19,135,123,9,20260906_214822
1788724025.7622578,6090614,1559197184,1559.197184,36,75,134,123,9,20260906_214822
1788724025.7722418,6090653,1559207168,1559.207168,42,19,134,123,9,20260906_214822
1788724025.7822258,6090692,1559217152,1559.217152,45,105,134,123,9,20260906_214822
1788724025.7922096,6090731,1559227136,1559.227136,48,3,134,122,9,20260906_214822
1788724025.8021936,6090770,1559237120,1559.23712,52,124,134,122,9,20260906_214822
1788724025.8124335,6090810,1559247360,1559.24736,55,77,134,121,9,20260906_214822
1788724025.8224175,6090849,1559257344,1559.257344,58,128,134,120,9,20260906_214822
1788724025.8324018,6090888,1559267328,1559.267328,61,66,133,118,9,20260906_214822
1788724025.8423858,6090927,1559277312,1559.277312,64,57,134,117,9,20260906_214822
1788724025.8523698,6090966,1559287296,1559.287296,67,24,134,116,9,20260906_214822
1788724025.8623538,6091005,1559297280,1559.29728,71,29,134,114,9,20260906_214822
1788724025.8723378,6091044,1559307264,1559.307264,74,9,134,110,9,20260906_214822
1788724025.8823218,6091083,1559317248,1559.317248,77,81,135,107,9,20260906_214822
1788724025.8923056,6091122,1559327232,1559.327232,80,16,135,105,9,20260906_214822
1788724025.9022896,6091161,1559337216,1559.337216,83,89,135,103,9,20260906_214822
1788724025.9122736,6091200,1559347200,1559.3472,87,5,136,102,9,20260906_214822
1788724025.9222577,6091239,1559357184,1559.357184,90,62,136,101,9,20260906_214822
1788724025.9324975,6091279,1559367424,1559.367424,93,3,136,100,9,20260906_214822
1788724025.9424818,6091318,1559377408,1559.377408,96,13,136,98,9,20260906_214822
1788724025.9524658,6091357,1559387392,1559.387392,99,20,136,97,9,20260906_214822
1788724025.9624498,6091396,1559397376,1559.397376,103,55,136,97,9,20260906_214822
1788724025.9724338,6091435,1559407360,1559.40736,106,11,136,97,9,20260906_214822
1788724025.9824178,6091474,1559417344,1559.417344,109,63,136,98,9,20260906_214822
1788724025.9924018,6091513,1559427328,1559.427328,112,1,136,99,9,20260906_214822
1788724026.0023856,6091552,1559437312,1559.437312,115,97,136,99,9,20260906_214822
1788724026.0123696,6091591,1559447296,1559.447296,118,10,137,99,9,20260906_214822
1788724026.0223536,6091630,1559457280,1559.45728,122,89,137,98,9,20260906_214822
1788724026.0323377,6091669,1559467264,1559.467264,125,11,136,98,9,20260906_214822
1788724026.0423217,6091708,1559477248,1559.477248,128,1,137,98,9,20260906_214822
1788724026.0525618,6091748,1559487488,1559.487488,131,7,137,99,9,20260906_214822
1788724026.0625458,6091787,1559497472,1559.497472,134,44,137,99,9,20260906_214822
1788724026.0725298,6091826,1559507456,1559.507456,138,1,137,99,9,20260906_214822
1788724026.0825138,6091865,1559517440,1559.51744,141,18,137,99,9,20260906_214822
1788724026.0924978,6091904,1559527424,1559.527424,144,3,137,98,9,20260906_214822
1788724026.1024818,6091943,1559537408,1559.537408,147,1,137,98,9,20260906_214822
1788724026.1124656,6091982,1559547392,1559.547392,150,5,137,98,9,20260906_214822
1788724026.1224496,6092021,1559557376,1559.557376,154,0,137,98,9,20260906_214822
1788724026.1324337,6092060,1559567360,1559.56736,157,1,137,97,9,20260906_214822
1788724026.1424177,6092099,1559577344,1559.577344,160,0,138,97,9,20260906_214822
1788724026.1524017,6092138,1559587328,1559.587328,163,20,138,96,9,20260906_214822
1788724026.1623857,6092177,1559597312,1559.597312,166,25,138,96,9,20260906_214822
1788724026.1723697,6092216,1559607296,1559.607296,169,17,138,96,9,20260906_214822
1788724026.1826098,6092256,1559617536,1559.617536,173,80,138,95,9,20260906_214822
1788724026.1925938,6092295,1559627520,1559.62752,176,15,138,94,9,20260906_214822
1788724026.2025778,6092334,1559637504,1559.637504,179,125,138,93,9,20260906_214822
1788724026.2125618,6092373,1559647488,1559.647488,182,38,138,91,9,20260906_214822
1788724026.2225456,6092412,1559657472,1559.657472,185,115,139,90,9,20260906_214822
1788724026.2325296,6092451,1559667456,1559.667456,189,14,139,90,9,20260906_214822
1788724026.2425137,6092490,1559677440,1559.67744,192,100,139,91,9,20260906_214822
1788724026.2524977,6092529,1559687424,1559.687424,195,23,139,91,9,20260906_214822
1788724026.2624817,6092568,1559697408,1559.697408,198,1,140,90,9,20260906_214822
1788724026.2724657,6092607,1559707392,1559.707392,201,26,140,89,9,20260906_214822
1788724026.2824495,6092646,1559717376,1559.717376,205,54,140,90,9,20260906_214822
1788724026.2924335,6092685,1559727360,1559.72736,208,8,140,92,9,20260906_214822
1788724026.3026738,6092725,1559737600,1559.7376,211,63,140,92,9,20260906_214822
1788724026.3126578,6092764,1559747584,1559.747584,214,13,140,92,9,20260906_214822
1788724026.3226416,6092803,1559757568,1559.757568,217,96,140,92,9,20260906_214822
1788724026.3326256,6092842,1559767552,1559.767552,220,1,140,93,9,20260906_214822
1788724026.3426096,6092881,1559777536,1559.777536,224,65,140,93,9,20260906_214822
1788724026.3525937,6092920,1559787520,1559.78752,227,4,140,92,9,20260906_214822
1788724026.3625777,6092959,1559797504,1559.797504,230,9,140,92,9,20260906_214822
1788724026.3725617,6092998,1559807488,1559.807488,233,13,140,92,9,20260906_214822
1788724026.3825457,6093037,1559817472,1559.817472,236,32,140,92,9,20260906_214822
1788724026.3925295,6093076,1559827456,1559.827456,240,8,140,91,9,20260906_214822
1788724026.4025135,6093115,1559837440,1559.83744,243,44,140,90,9,20260906_214822
1788724026.4124978,6093154,1559847424,1559.847424,246,1,139,89,9,20260906_214822
1788724026.4224818,6093193,1559857408,1559.857408,249,62,139,89,9,20260906_214822
1788724026.4327216,6093233,1559867648,1559.867648,252,11,138,89,9,20260906_214822
1788724026.4427056,6093272,1559877632,1559.877632,1,1,138,89,9,20260906_214822
1788724026.4526896,6093311,1559887616,1559.887616,4,1,136,89,9,20260906_214822
1788724026.4626737,6093350,1559897600,1559.8976,7,0,134,89,9,20260906_214822
1788724026.4726577,6093389,1559907584,1559.907584,10,2,134,89,9,20260906_214822
1788724026.4826417,6093428,1559917568,1559.917568,13,2,133,89,9,20260906_214822
1788724026.4926257,6093467,1559927552,1559.927552,16,1,133,89,9,20260906_214822
1788724026.5026095,6093506,1559937536,1559.937536,20,1,133,89,9,20260906_214822
1788724026.5125935,6093545,1559947520,1559.94752,23,1,133,89,9,20260906_214822
1788724026.5225778,6093584,1559957504,1559.957504,26,0,133,90,9,20260906_214822
1788724026.5325618,6093623,1559967488,1559.967488,29,1,133,90,9,20260906_214822
1788724026.5425458,6093662,1559977472,1559.977472,32,48,134,90,9,20260906_214822
1788724026.5527856,6093702,1559987712,1559.987712,36,100,134,90,9,20260906_214822
1788724026.5627697,6093741,1559997696,1559.997696,39,8,132,91,9,20260906_214822
1788724026.5727537,6093780,1560007680,1560.00768,42,10,132,91,9,20260906_214822
1788724026.5827377,6093819,1560017664,1560.017664,45,5,132,91,9,20260906_214822
1788724026.5927217,6093858,1560027648,1560.027648,48,15,133,91,9,20260906_214822
1788724026.6027057,6093897,1560037632,1560.037632,52,66,133,92,9,20260906_214822
1788724026.6126895,6093936,1560047616,1560.047616,55,12,133,92,9,20260906_214822
1788724026.6226735,6093975,1560057600,1560.0576,58,86,134,93,9,20260906_214822
1788724026.6326578,6094014,1560067584,1560.067584,61,9,133,92,9,20260906_214822
1788724026.6426418,6094053,1560077568,1560.077568,64,105,134,91,9,20260906_214822
1788724026.6526258,6094092,1560087552,1560.087552,67,9,134,91,9,20260906_214822
1788724026.6626098,6094131,1560097536,1560.097536,71,67,134,92,9,20260906_214822
1788724026.6725938,6094170,1560107520,1560.10752,74,45,134,91,9,20260906_214822
1788724026.6828337,6094210,1560117760,1560.11776,77,27,134,90,9,20260906_214822
1788724026.6928177,6094249,1560127744,1560.127744,80,37,134,90,9,20260906_214822
1788724026.7028017,6094288,1560137728,1560.137728,83,49,134,90,9,20260906_214822
1788724026.7127855,6094327,1560147712,1560.147712,87,12,134,91,9,20260906_214822
1788724026.7227695,6094366,1560157696,1560.157696,90,53,134,91,9,20260906_214822
1788724026.7327538,6094405,1560167680,1560.16768,93,13,134,90,9,20260906_214822
1788724026.7427378,6094444,1560177664,1560.177664,96,90,134,89,9,20260906_214822
1788724026.7527218,6094483,1560187648,1560.187648,99,2,134,89,9,20260906_214822
1788724026.7627058,6094522,1560197632,1560.197632,103,81,135,89,9,20260906_214822
1788724026.7726898,6094561,1560207616,1560.207616,106,72,135,91,9,20260906_214822
1788724026.7826738,6094600,1560217600,1560.2176,109,0,135,91,9,20260906_214822
1788724026.7926576,6094639,1560227584,1560.227584,112,11,135,91,9,20260906_214822
1788724026.8026416,6094678,1560237568,1560.237568,115,26,134,91,9,20260906_214822
1788724026.8128817,6094718,1560247808,1560.247808,118,24,135,92,9,20260906_214822
1788724026.8228655,6094757,1560257792,1560.257792,122,49,135,94,9,20260906_214822
1788724026.8328495,6094796,1560267776,1560.267776,125,0,135,95,9,20260906_214822
1788724026.8428338,6094835,1560277760,1560.27776,128,2,135,96,9,20260906_214822
1788724026.8528178,6094874,1560287744,1560.287744,131,1,135,96,9,20260906_214822
1788724026.8628018,6094913,1560297728,1560.297728,134,0,135,96,9,20260906_214822
1788724026.8727858,6094952,1560307712,1560.307712,138,10,135,96,9,20260906_214822
1788724026.8827698,6094991,1560317696,1560.317696,141,1,135,96,9,20260906_214822
1788724026.8927538,6095030,1560327680,1560.32768,144,1,135,97,9,20260906_214822
1788724026.9027376,6095069,1560337664,1560.337664,147,2,135,97,9,20260906_214822
1788724026.9127216,6095108,1560347648,1560.347648,150,1,135,97,9,20260906_214822
1788724026.9227057,6095147,1560357632,1560.357632,154,3,135,97,9,20260906_214822
1788724026.9329455,6095187,1560367872,1560.367872,157,1,135,97,9,20260906_214822
1788724026.9429295,6095226,1560377856,1560.377856,160,115,135,97,9,20260906_214822
1788724026.9529138,6095265,1560387840,1560.38784,163,33,135,97,9,20260906_214822
1788724026.9628978,6095304,1560397824,1560.397824,166,24,135,97,9,20260906_214822
1788724026.9728818,6095343,1560407808,1560.407808,169,56,135,98,9,20260906_214822
1788724026.9828658,6095382,1560417792,1560.417792,173,60,134,98,9,20260906_214822
1788724026.9928498,6095421,1560427776,1560.427776,176,27,135,98,9,20260906_214822
1788724027.0028338,6095460,1560437760,1560.43776,179,15,134,99,9,20260906_214822
1788724027.0128176,6095499,1560447744,1560.447744,182,37,135,100,9,20260906_214822
1788724027.0228016,6095538,1560457728,1560.457728,185,53,134,100,9,20260906_214822
1788724027.0327857,6095577,1560467712,1560.467712,189,15,135,100,9,20260906_214822
1788724027.0427697,6095616,1560477696,1560.477696,192,61,135,99,9,20260906_214822
1788724027.0527537,6095655,1560487680,1560.48768,195,15,135,99,9,20260906_214822
1788724027.0629938,6095695,1560497920,1560.49792,198,90,135,99,9,20260906_214822
1788724027.0729778,6095734,1560507904,1560.507904,201,0,135,100,9,20260906_214822
1788724027.0829618,6095773,1560517888,1560.517888,205,82,135,101,9,20260906_214822
1788724027.0929458,6095812,1560527872,1560.527872,208,43,135,102,9,20260906_214822
1788724027.1029298,6095851,1560537856,1560.537856,211,14,136,102,9,20260906_214822
1788724027.1129138,6095890,1560547840,1560.54784,214,34,136,103,9,20260906_214822
1788724027.1228976,6095929,1560557824,1560.557824,217,33,136,106,9,20260906_214822
1788724027.1328816,6095968,1560567808,1560.567808,220,11,136,109,9,20260906_214822
1788724027.1428657,6096007,1560577792,1560.577792,224,53,136,111,9,20260906_214822
1788724027.1528497,6096046,1560587776,1560.587776,227,12,137,113,9,20260906_214822
1788724027.1628337,6096085,1560597760,1560.59776,230,93,136,115,9,20260906_214822
