time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788887133.2543433,7633009,1954050304,1954.050304,175,1,141,67,11,20260908_190615
1788887133.2643273,7633048,1954060288,1954.060288,179,1,141,66,11,20260908_190615
1788887133.2743113,7633087,1954070272,1954.070272,182,15,141,66,11,20260908_190615
1788887133.284295,7633126,1954080256,1954.080256,185,51,141,66,11,20260908_190615
1788887133.294279,7633165,1954090240,1954.09024,188,132,141,66,11,20260908_190615
1788887133.3042634,7633204,1954100224,1954.100224,191,56,141,66,11,20260908_190615
1788887133.3142474,7633243,1954110208,1954.110208,195,141,141,66,11,20260908_190615
1788887133.3242314,7633282,1954120192,1954.120192,198,73,141,66,11,20260908_190615
1788887133.3342154,7633321,1954130176,1954.130176,201,31,141,67,11,20260908_190615
1788887133.3444552,7633361,1954140416,1954.140416,204,56,141,67,11,20260908_190615
1788887133.3544393,7633400,1954150400,1954.1504,207,36,141,68,11,20260908_190615
1788887133.3644233,7633439,1954160384,1954.160384,210,67,141,68,11,20260908_190615
1788887133.3744073,7633478,1954170368,1954.170368,213,28,141,68,11,20260908_190615
1788887133.3843913,7633517,1954180352,1954.180352,217,117,141,69,11,20260908_190615
1788887133.394375,7633556,1954190336,1954.190336,220,56,141,69,11,20260908_190615
1788887133.404359,7633595,1954200320,1954.20032,223,71,141,69,11,20260908_190615
1788887133.4143434,7633634,1954210304,1954.210304,226,59,141,70,11,20260908_190615
1788887133.4243274,7633673,1954220288,1954.220288,230,42,141,70,11,20260908_190615
1788887133.4343114,7633712,1954230272,1954.230272,233,34,141,70,11,20260908_190615
1788887133.4442954,7633751,1954240256,1954.240256,236,46,141,70,11,20260908_190615
1788887133.4542794,7633790,1954250240,1954.25024,239,44,141,70,11,20260908_190615
1788887133.4645193,7633830,1954260480,1954.26048,242,95,141,70,11,20260908_190615
1788887133.4745033,7633869,1954270464,1954.270464,246,1,141,71,11,20260908_190615
1788887133.4844873,7633908,1954280448,1954.280448,249,73,141,71,11,20260908_190615
1788887133.4944713,7633947,1954290432,1954.290432,252,22,141,71,11,20260908_190615
1788887133.504455,7633986,1954300416,1954.300416,0,0,141,71,11,20260908_190615
1788887133.514439,7634025,1954310400,1954.3104,3,24,141,71,11,20260908_190615
1788887133.5244234,7634064,1954320384,1954.320384,7,0,141,71,11,20260908_190615
1788887133.5344074,7634103,1954330368,1954.330368,10,1,141,71,11,20260908_190615
1788887133.5443914,7634142,1954340352,1954.340352,13,3,141,71,11,20260908_190615
1788887133.5543754,7634181,1954350336,1954.350336,16,1,141,72,11,20260908_190615
1788887133.5643594,7634220,1954360320,1954.36032,19,1,141,72,11,20260908_190615
1788887133.5743434,7634259,1954370304,1954.370304,22,1,141,72,11,20260908_190615
1788887133.5843272,7634298,1954380288,1954.380288,26,1,141,71,11,20260908_190615
1788887133.5945673,7634338,1954390528,1954.390528,29,0,141,72,11,20260908_190615
1788887133.6045513,7634377,1954400512,1954.400512,32,0,141,71,11,20260908_190615
1788887133.614535,7634416,1954410496,1954.410496,35,34,141,71,11,20260908_190615
1788887133.624519,7634455,1954420480,1954.42048,38,17,141,71,11,20260908_190615
1788887133.6345034,7634494,1954430464,1954.430464,41,48,141,71,11,20260908_190615
1788887133.6444874,7634533,1954440448,1954.440448,45,48,141,71,11,20260908_190615
1788887133.6544714,7634572,1954450432,1954.450432,48,47,141,71,11,20260908_190615
1788887133.6644554,7634611,1954460416,1954.460416,51,59,141,70,11,20260908_190615
1788887133.6744394,7634650,1954470400,1954.4704,54,4,141,70,11,20260908_190615
1788887133.6844234,7634689,1954480384,1954.480384,58,69,141,70,11,20260908_190615
1788887133.6944072,7634728,1954490368,1954.490368,61,45,141,69,11,20260908_190615
1788887133.7043912,7634767,1954500352,1954.500352,64,91,141,69,11,20260908_190615
1788887133.7146313,7634807,1954510592,1954.510592,67,27,141,69,11,20260908_190615
1788887133.724615,7634846,1954520576,1954.520576,70,108,141,68,11,20260908_190615
1788887133.7345994,7634885,1954530560,1954.53056,73,80,141,68,11,20260908_190615
1788887133.7445834,7634924,1954540544,1954.540544,76,78,141,68,11,20260908_190615
1788887133.7545674,7634963,1954550528,1954.550528,80,72,141,67,11,20260908_190615
1788887133.7645514,7635002,1954560512,1954.560512,83,43,141,67,11,20260908_190615
1788887133.7745354,7635041,1954570496,1954.570496,86,31,141,66,11,20260908_190615
