time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788872007.6978972,7699875,1971168000,1971.168,46,1,146,33,8,20260908_145501
1788872007.7076252,7699913,1971177728,1971.177728,49,1,146,33,8,20260908_145501
1788872007.7178652,7699953,1971187968,1971.187968,52,1,146,33,8,20260908_145501
1788872007.7278492,7699992,1971197952,1971.197952,55,1,145,33,8,20260908_145501
1788872007.7378333,7700031,1971207936,1971.207936,59,17,146,34,8,20260908_145501
1788872007.7478173,7700070,1971217920,1971.21792,62,37,145,33,8,20260908_145501
1788872007.7578013,7700109,1971227904,1971.227904,65,45,145,33,8,20260908_145501
1788872007.7677853,7700148,1971237888,1971.237888,68,84,145,33,8,20260908_145501
1788872007.777769,7700187,1971247872,1971.247872,71,14,144,33,8,20260908_145501
1788872007.787753,7700226,1971257856,1971.257856,75,126,143,33,8,20260908_145501
1788872007.7977371,7700265,1971267840,1971.26784,78,8,142,33,8,20260908_145501
1788872007.8077211,7700304,1971277824,1971.277824,81,109,140,34,8,20260908_145501
1788872007.8177052,7700343,1971287808,1971.287808,84,20,139,34,8,20260908_145501
1788872007.8276892,7700382,1971297792,1971.297792,87,8,139,34,8,20260908_145501
1788872007.8376732,7700421,1971307776,1971.307776,90,54,139,33,8,20260908_145501
1788872007.8479133,7700461,1971318016,1971.318016,94,75,139,32,8,20260908_145501
1788872007.8578973,7700500,1971328000,1971.328,97,11,139,31,8,20260908_145501
1788872007.8678813,7700539,1971337984,1971.337984,100,47,139,31,8,20260908_145501
1788872007.8778653,7700578,1971347968,1971.347968,103,14,139,31,8,20260908_145501
1788872007.887849,7700617,1971357952,1971.357952,106,87,139,31,8,20260908_145501
1788872007.897833,7700656,1971367936,1971.367936,109,14,139,31,8,20260908_145501
1788872007.9078171,7700695,1971377920,1971.37792,113,96,139,31,8,20260908_145501
1788872007.9178011,7700734,1971387904,1971.387904,116,3,139,31,8,20260908_145501
1788872007.9277852,7700773,1971397888,1971.397888,119,74,139,31,8,20260908_145501
1788872007.9377692,7700812,1971407872,1971.407872,122,46,139,30,8,20260908_145501
1788872007.9477532,7700851,1971417856,1971.417856,125,0,139,30,8,20260908_145501
1788872007.9577372,7700890,1971427840,1971.42784,129,30,139,30,8,20260908_145501
1788872007.9679773,7700930,1971438080,1971.43808,132,10,139,30,8,20260908_145501
1788872007.9779613,7700969,1971448064,1971.448064,135,0,139,30,8,20260908_145501
1788872007.9879453,7701008,1971458048,1971.458048,138,6,139,30,8,20260908_145501
1788872007.997929,7701047,1971468032,1971.468032,141,1,139,30,8,20260908_145501
1788872008.007913,7701086,1971478016,1971.478016,144,0,139,30,8,20260908_145501
1788872008.0178971,7701125,1971488000,1971.488,151,14,139,30,8,20260908_145501
1788872008.0278811,7701164,1971497984,1971.497984,154,1,139,30,8,20260908_145501
1788872008.0378652,7701203,1971507968,1971.507968,157,2,139,30,8,20260908_145501
1788872008.0478492,7701242,1971517952,1971.517952,161,2,139,30,8,20260908_145501
1788872008.0578332,7701281,1971527936,1971.527936,164,15,139,30,8,20260908_145501
1788872008.0678172,7701320,1971537920,1971.53792,167,55,139,30,8,20260908_145501
1788872008.0778012,7701359,1971547904,1971.547904,170,17,140,30,8,20260908_145501
1788872008.0880413,7701399,1971558144,1971.558144,173,82,140,30,8,20260908_145501
1788872008.098025,7701438,1971568128,1971.568128,177,16,140,30,8,20260908_145501
1788872008.108009,7701477,1971578112,1971.578112,180,137,140,31,8,20260908_145501
1788872008.117993,7701516,1971588096,1971.588096,183,23,140,31,8,20260908_145501
1788872008.1279771,7701555,1971598080,1971.59808,186,123,140,31,8,20260908_145501
1788872008.1379611,7701594,1971608064,1971.608064,189,54,140,31,8,20260908_145501
1788872008.1479452,7701633,1971618048,1971.618048,192,36,140,31,8,20260908_145501
1788872008.1579292,7701672,1971628032,1971.628032,196,19,140,31,8,20260908_145501
1788872008.1679132,7701711,1971638016,1971.638016,199,77,140,31,8,20260908_145501
1788872008.1778972,7701750,1971648000,1971.648,202,49,140,31,8,20260908_145501
1788872008.1878812,7701789,1971657984,1971.657984,205,33,141,32,8,20260908_145501
1788872008.1978652,7701828,1971667968,1971.667968,208,19,141,33,8,20260908_145501
1788872008.208105,7701868,1971678208,1971.678208,212,58,141,34,8,20260908_145501
1788872008.218089,7701907,1971688192,1971.688192,215,13,141,34,8,20260908_145501
1788872008.2280731,7701946,1971698176,1971.698176,218,83,141,33,8,20260908_145501
1788872008.2380571,7701985,1971708160,1971.70816,221,9,141,33,8,20260908_145501
1788872008.2480412,7702024,1971718144,1971.718144,224,112,141,33,8,20260908_145501
1788872008.2580252,7702063,1971728128,1971.728128,228,33,141,33,8,20260908_145501
1788872008.2680092,7702102,1971738112,1971.738112,231,1,141,33,8,20260908_145501
1788872008.2779932,7702141,1971748096,1971.748096,234,35,141,34,8,20260908_145501
1788872008.2879772,7702180,1971758080,1971.75808,237,17,141,34,8,20260908_145501
1788872008.2979612,7702219,1971768064,1971.768064,240,13,141,34,8,20260908_145501
1788872008.3079453,7702258,1971778048,1971.778048,243,58,141,35,8,20260908_145501
1788872008.3179293,7702297,1971788032,1971.788032,247,0,141,35,8,20260908_145501
1788872008.3279133,7702336,1971798016,1971.798016,250,84,141,35,8,20260908_145501
1788872008.3381531,7702376,1971808256,1971.808256,253,22,141,35,8,20260908_145501
1788872008.3481371,7702415,1971818240,1971.81824,1,0,142,35,8,20260908_145501
1788872008.3581212,7702454,1971828224,1971.828224,4,2,142,35,8,20260908_145501
1788872008.3681052,7702493,1971838208,1971.838208,8,2,142,36,8,20260908_145501
1788872008.3780892,7702532,1971848192,1971.848192,11,0,142,36,8,20260908_145501
1788872008.3880732,7702571,1971858176,1971.858176,14,8,141,36,8,20260908_145501
1788872008.3980572,7702610,1971868160,1971.86816,17,1,141,37,8,20260908_145501
1788872008.4080412,7702649,1971878144,1971.878144,20,1,142,37,8,20260908_145501
1788872008.4180253,7702688,1971888128,1971.888128,24,1,142,37,8,20260908_145501
1788872008.4280093,7702727,1971898112,1971.898112,27,35,142,38,8,20260908_145501
1788872008.4379933,7702766,1971908096,1971.908096,30,3,142,38,8,20260908_145501
1788872008.4479773,7702805,1971918080,1971.91808,33,33,142,39,8,20260908_145501
1788872008.4582171,7702845,1971928320,1971.92832,36,32,141,39,8,20260908_145501
1788872008.4682012,7702884,1971938304,1971.938304,39,2,142,40,8,20260908_145501
1788872008.4781852,7702923,1971948288,1971.948288,43,41,142,40,8,20260908_145501
1788872008.4881692,7702962,1971958272,1971.958272,46,1,142,40,8,20260908_145501
1788872008.4981532,7703001,1971968256,1971.968256,49,13,142,40,8,20260908_145501
1788872008.5081372,7703040,1971978240,1971.97824,52,35,142,41,8,20260908_145501
1788872008.5181212,7703079,1971988224,1971.988224,55,13,142,41,8,20260908_145501
1788872008.5281053,7703118,1971998208,1971.998208,59,69,142,42,8,20260908_145501
1788872008.5380893,7703157,1972008192,1972.008192,62,12,142,42,8,20260908_145501
1788872008.5480733,7703196,1972018176,1972.018176,65,93,142,43,8,20260908_145501
1788872008.5580573,7703235,1972028160,1972.02816,68,7,142,43,8,20260908_145501
1788872008.568041,7703274,1972038144,1972.038144,71,104,142,44,8,20260908_145501
1788872008.578025,7703313,1972048128,1972.048128,75,43,142,45,8,20260908_145501
1788872008.5882652,7703353,1972058368,1972.058368,78,40,142,46,8,20260908_145501
1788872008.5982492,7703392,1972068352,1972.068352,81,61,142,47,8,20260908_145501
1788872008.6082332,7703431,1972078336,1972.078336,84,32,142,48,8,20260908_145501
1788872008.6182172,7703470,1972088320,1972.08832,87,11,142,48,8,20260908_145501
1788872008.6282012,7703509,1972098304,1972.098304,90,73,142,47,8,20260908_145501
1788872008.6381853,7703548,1972108288,1972.108288,94,12,142,47,8,20260908_145501
1788872008.6481693,7703587,1972118272,1972.118272,97,98,142,46,8,20260908_145501
1788872008.6581533,7703626,1972128256,1972.128256,100,13,142,47,8,20260908_145501
1788872008.6681373,7703665,1972138240,1972.13824,103,99,141,48,8,20260908_145501
1788872008.678121,7703704,1972148224,1972.148224,106,8,141,48,8,20260908_145501
1788872008.688105,7703743,1972158208,1972.158208,110,63,141,48,8,20260908_145501
1788872008.6980891,7703782,1972168192,1972.168192,113,48,141,48,8,20260908_145501
1788872008.7080731,7703821,1972178176,1972.178176,116,1,141,48,8,20260908_145501
1788872008.7183132,7703861,1972188416,1972.188416,119,37,141,47,8,20260908_145501
1788872008.7282972,7703900,1972198400,1972.1984,122,23,141,46,8,20260908_145501
1788872008.7382812,7703939,1972208384,1972.208384,126,0,140,46,8,20260908_145501
1788872008.7482653,7703978,1972218368,1972.218368,129,68,140,46,8,20260908_145501
1788872008.7582493,7704017,1972228352,1972.228352,132,1,140,46,8,20260908_145501
1788872008.7682333,7704056,1972238336,1972.238336,135,1,140,46,8,20260908_145501
1788872008.7782173,7704095,1972248320,1972.24832,138,15,140,46,8,20260908_145501
1788872008.788201,7704134,1972258304,1972.258304,141,0,140,46,8,20260908_145501
1788872008.798185,7704173,1972268288,1972.268288,145,4,140,46,8,20260908_145501
1788872008.8081691,7704212,1972278272,1972.278272,148,1,140,46,8,20260908_145501
1788872008.8181531,7704251,1972288256,1972.288256,151,1,140,45,8,20260908_145501
1788872008.8281372,7704290,1972298240,1972.29824,154,59,140,45,8,20260908_145501
1788872008.8383772,7704330,1972308480,1972.30848,157,1,140,46,8,20260908_145501
1788872008.8483613,7704369,1972318464,1972.318464,161,42,140,46,8,20260908_145501
1788872008.8583453,7704408,1972328448,1972.328448,164,4,140,46,8,20260908_145501
1788872008.8683293,7704447,1972338432,1972.338432,167,89,140,47,8,20260908_145501
1788872008.8783133,7704486,1972348416,1972.348416,170,52,140,47,8,20260908_145501
1788872008.888297,7704525,1972358400,1972.3584,173,0,139,47,8,20260908_145501
1788872008.898281,7704564,1972368384,1972.368384,177,38,139,47,8,20260908_145501
1788872008.908265,7704603,1972378368,1972.378368,180,53,139,48,8,20260908_145501
1788872008.9182491,7704642,1972388352,1972.388352,183,11,139,49,8,20260908_145501
1788872008.9282331,7704681,1972398336,1972.398336,186,51,139,49,8,20260908_145501
1788872008.9382172,7704720,1972408320,1972.40832,189,45,139,49,8,20260908_145501
1788872008.9482012,7704759,1972418304,1972.418304,192,19,139,50,8,20260908_145501
1788872008.9581852,7704798,1972428288,1972.428288,196,12,139,50,8,20260908_145501
1788872008.9684253,7704838,1972438528,1972.438528,199,97,138,50,8,20260908_145501
1788872008.9784093,7704877,1972448512,1972.448512,202,9,138,50,8,20260908_145501
1788872008.9883933,7704916,1972458496,1972.458496,205,80,139,50,8,20260908_145501
1788872008.998377,7704955,1972468480,1972.46848,208,8,139,51,8,20260908_145501
1788872009.008361,7704994,1972478464,1972.478464,212,85,139,52,8,20260908_145501
1788872009.018345,7705033,1972488448,1972.488448,215,24,138,54,8,20260908_145501
1788872009.0283291,7705072,1972498432,1972.498432,218,1,138,54,8,20260908_145501
1788872009.0383132,7705111,1972508416,1972.508416,221,13,137,53,8,20260908_145501
1788872009.0482972,7705150,1972518400,1972.5184,224,47,138,53,8,20260908_145501
1788872009.0582812,7705189,1972528384,1972.528384,228,11,137,53,8,20260908_145501
1788872009.0682652,7705228,1972538368,1972.538368,231,78,137,53,8,20260908_145501
1788872009.0782492,7705267,1972548352,1972.548352,234,13,137,53,8,20260908_145501
1788872009.0884893,7705307,1972558592,1972.558592,237,125,137,54,8,20260908_145501
1788872009.0984733,7705346,1972568576,1972.568576,240,36,137,53,8,20260908_145501
1788872009.108457,7705385,1972578560,1972.57856,243,0,137,53,8,20260908_145501
1788872009.118441,7705424,1972588544,1972.588544,247,5,137,53,8,20260908_145501
1788872009.1284251,7705463,1972598528,1972.598528,250,5,137,53,8,20260908_145501
1788872009.1384091,7705502,1972608512,1972.608512,253,7,137,54,8,20260908_145501
1788872009.1483932,7705541,1972618496,1972.618496,1,52,137,54,8,20260908_145501
1788872009.1583772,7705580,1972628480,1972.62848,4,0,137,54,8,20260908_145501
1788872009.1683612,7705619,1972638464,1972.638464,8,0,137,55,8,20260908_145501
1788872009.1783452,7705658,1972648448,1972.648448,11,7,137,55,8,20260908_145501
1788872009.1883292,7705697,1972658432,1972.658432,14,5,137,55,8,20260908_145501
1788872009.1983132,7705736,1972668416,1972.668416,17,4,137,55,8,20260908_145501
1788872009.2082973,7705775,1972678400,1972.6784,20,1,137,55,8,20260908_145501
1788872009.218537,7705815,1972688640,1972.68864,23,1,137,55,8,20260908_145501
1788872009.228521,7705854,1972698624,1972.698624,27,0,137,55,8,20260908_145501
1788872009.2385051,7705893,1972708608,1972.708608,30,12,137,55,8,20260908_145501
1788872009.2484891,7705932,1972718592,1972.718592,33,18,137,55,8,20260908_145501
1788872009.2584732,7705971,1972728576,1972.728576,36,18,138,55,8,20260908_145501
1788872009.2684572,7706010,1972738560,1972.73856,39,82,137,55,8,20260908_145501
1788872009.2784412,7706049,1972748544,1972.748544,43,19,137,55,8,20260908_145501
1788872009.2884252,7706088,1972758528,1972.758528,46,137,137,55,8,20260908_145501
1788872009.2984092,7706127,1972768512,1972.768512,49,20,137,55,8,20260908_145501
1788872009.3083932,7706166,1972778496,1972.778496,52,147,137,55,8,20260908_145501
1788872009.3183773,7706205,1972788480,1972.78848,55,49,136,55,8,20260908_145501
1788872009.3283613,7706244,1972798464,1972.798464,59,53,135,56,8,20260908_145501
1788872009.338601,7706284,1972808704,1972.808704,62,58,134,56,8,20260908_145501
1788872009.3485851,7706323,1972818688,1972.818688,65,4,134,57,8,20260908_145501
1788872009.3585691,7706362,1972828672,1972.828672,68,12,135,57,8,20260908_145501
1788872009.3685532,7706401,1972838656,1972.838656,71,55,135,57,8,20260908_145501
1788872009.3785372,7706440,1972848640,1972.84864,74,14,135,56,8,20260908_145501
1788872009.3885212,7706479,1972858624,1972.858624,78,83,134,55,8,20260908_145501
1788872009.3985052,7706518,1972868608,1972.868608,81,13,135,54,8,20260908_145501
1788872009.4084892,7706557,1972878592,1972.878592,84,78,134,55,8,20260908_145501
1788872009.4184732,7706596,1972888576,1972.888576,87,20,135,56,8,20260908_145501
1788872009.4284573,7706635,1972898560,1972.89856,90,103,135,57,8,20260908_145501
1788872009.4384413,7706674,1972908544,1972.908544,94,21,135,56,8,20260908_145501
1788872009.4484253,7706713,1972918528,1972.918528,97,92,135,55,8,20260908_145501
1788872009.4584093,7706752,1972928512,1972.928512,100,12,135,54,8,20260908_145501
1788872009.4686491,7706792,1972938752,1972.938752,103,39,135,54,8,20260908_145501
1788872009.4786332,7706831,1972948736,1972.948736,106,16,135,53,8,20260908_145501
1788872009.4886172,7706870,1972958720,1972.95872,110,41,135,51,8,20260908_145501
1788872009.4986012,7706909,1972968704,1972.968704,113,13,135,50,8,20260908_145501
1788872009.5085852,7706948,1972978688,1972.978688,116,93,135,49,8,20260908_145501
1788872009.5185692,7706987,1972988672,1972.988672,119,1,134,49,8,20260908_145501
1788872009.5285532,7707026,1972998656,1972.998656,122,36,134,49,8,20260908_145501
1788872009.5385373,7707065,1973008640,1973.00864,125,32,134,49,8,20260908_145501
1788872009.5485213,7707104,1973018624,1973.018624,129,0,134,48,8,20260908_145501
1788872009.5585053,7707143,1973028608,1973.028608,132,10,134,48,8,20260908_145501
1788872009.5684893,7707182,1973038592,1973.038592,135,15,134,48,8,20260908_145501
1788872009.578473,7707221,1973048576,1973.048576,138,1,134,48,8,20260908_145501
1788872009.5887132,7707261,1973058816,1973.058816,141,20,134,48,8,20260908_145501
1788872009.5986972,7707300,1973068800,1973.0688,145,1,134,48,8,20260908_145501
1788872009.6086812,7707339,1973078784,1973.078784,148,1,135,48,8,20260908_145501
1788872009.6186652,7707378,1973088768,1973.088768,151,1,134,48,8,20260908_145501
1788872009.6286492,7707417,1973098752,1973.098752,154,0,134,47,8,20260908_145501
1788872009.6386333,7707456,1973108736,1973.108736,157,20,134,47,8,20260908_145501
1788872009.6486173,7707495,1973118720,1973.11872,161,3,134,47,8,20260908_145501
1788872009.6586013,7707534,1973128704,1973.128704,164,16,134,47,8,20260908_145501
1788872009.6685853,7707573,1973138688,1973.138688,167,37,134,47,8,20260908_145501
1788872009.6785693,7707612,1973148672,1973.148672,170,86,134,47,8,20260908_145501
1788872009.688553,7707651,1973158656,1973.158656,173,13,134,47,8,20260908_145501
1788872009.698537,7707690,1973168640,1973.16864,176,14,134,48,8,20260908_145501
1788872009.7085211,7707729,1973178624,1973.178624,180,68,135,49,8,20260908_145501
1788872009.7187612,7707769,1973188864,1973.188864,183,15,135,50,8,20260908_145501
1788872009.7287452,7707808,1973198848,1973.198848,186,90,135,51,8,20260908_145501
1788872009.7387292,7707847,1973208832,1973.208832,189,14,135,52,8,20260908_145501
1788872009.7487133,7707886,1973218816,1973.218816,192,104,135,53,8,20260908_145501
1788872009.7586973,7707925,1973228800,1973.2288,196,21,135,53,8,20260908_145501
1788872009.7686813,7707964,1973238784,1973.238784,199,93,135,54,8,20260908_145501
1788872009.7786653,7708003,1973248768,1973.248768,202,61,135,53,8,20260908_145501
1788872009.788649,7708042,1973258752,1973.258752,205,33,136,51,8,20260908_145501
1788872009.798633,7708081,1973268736,1973.268736,208,20,137,51,8,20260908_145501
1788872009.808617,7708120,1973278720,1973.27872,212,31,137,52,8,20260908_145501
1788872009.8186011,7708159,1973288704,1973.288704,215,12,137,54,8,20260908_145501
1788872009.8285851,7708198,1973298688,1973.298688,218,77,137,54,8,20260908_145501
1788872009.8388252,7708238,1973308928,1973.308928,221,13,137,54,8,20260908_145501
1788872009.8488092,7708277,1973318912,1973.318912,224,113,137,53,8,20260908_145501
1788872009.8587933,7708316,1973328896,1973.328896,227,29,137,53,8,20260908_145501
1788872009.8687773,7708355,1973338880,1973.33888,231,0,137,53,8,20260908_145501
1788872009.8787613,7708394,1973348864,1973.348864,234,42,137,53,8,20260908_145501
1788872009.8887453,7708433,1973358848,1973.358848,237,32,137,53,8,20260908_145501
1788872009.898729,7708472,1973368832,1973.368832,240,11,137,53,8,20260908_145501
1788872009.908713,7708511,1973378816,1973.378816,243,51,137,53,8,20260908_145501
1788872009.918697,7708550,1973388800,1973.3888,247,15,137,53,8,20260908_145501
1788872009.9286811,7708589,1973398784,1973.398784,250,64,137,54,8,20260908_145501
1788872009.9386652,7708628,1973408768,1973.408768,253,0,137,54,8,20260908_145501
1788872009.9486492,7708667,1973418752,1973.418752,1,22,138,54,8,20260908_145501
1788872009.9586332,7708706,1973428736,1973.428736,4,9,137,54,8,20260908_145501
1788872009.9688733,7708746,1973438976,1973.438976,8,1,137,54,8,20260908_145501
1788872009.9788573,7708785,1973448960,1973.44896,11,0,138,54,8,20260908_145501
1788872009.9888413,7708824,1973458944,1973.458944,14,1,138,54,8,20260908_145501
1788872009.9988253,7708863,1973468928,1973.468928,17,1,137,54,8,20260908_145501
1788872010.008809,7708902,1973478912,1973.478912,20,1,138,54,8,20260908_145501
1788872010.018793,7708941,1973488896,1973.488896,23,1,138,54,8,20260908_145501
1788872010.0287771,7708980,1973498880,1973.49888,27,11,138,54,8,20260908_145501
1788872010.0387611,7709019,1973508864,1973.508864,30,3,137,54,8,20260908_145501
1788872010.0487452,7709058,1973518848,1973.518848,33,83,138,54,8,20260908_145501
1788872010.0587292,7709097,1973528832,1973.528832,36,39,138,54,8,20260908_145501
1788872010.0687132,7709136,1973538816,1973.538816,39,1,138,54,8,20260908_145501
1788872010.0786972,7709175,1973548800,1973.5488,43,26,138,54,8,20260908_145501
1788872010.0889373,7709215,1973559040,1973.55904,46,2,138,55,8,20260908_145501
1788872010.0989213,7709254,1973569024,1973.569024,49,38,138,55,8,20260908_145501
1788872010.1089053,7709293,1973579008,1973.579008,52,37,138,55,8,20260908_145501
1788872010.118889,7709332,1973588992,1973.588992,55,13,138,55,8,20260908_145501
1788872010.128873,7709371,1973598976,1973.598976,59,84,137,54,8,20260908_145501
1788872010.1388571,7709410,1973608960,1973.60896,62,12,137,54,8,20260908_145501
1788872010.1488411,7709449,1973618944,1973.618944,65,88,137,54,8,20260908_145501
1788872010.1588252,7709488,1973628928,1973.628928,68,7,137,54,8,20260908_145501
1788872010.1688092,7709527,1973638912,1973.638912,71,85,137,54,8,20260908_145501
1788872010.1787932,7709566,1973648896,1973.648896,74,17,137,54,8,20260908_145501
1788872010.1887772,7709605,1973658880,1973.65888,78,111,138,55,8,20260908_145501
1788872010.1987612,7709644,1973668864,1973.668864,81,39,138,55,8,20260908_145501
1788872010.2087452,7709683,1973678848,1973.678848,84,62,138,55,8,20260908_145501
1788872010.2189853,7709723,1973689088,1973.689088,87,20,138,54,8,20260908_145501
1788872010.228969,7709762,1973699072,1973.699072,90,16,138,53,8,20260908_145501
1788872010.238953,7709801,1973709056,1973.709056,94,11,138,52,8,20260908_145501
1788872010.2489371,7709840,1973719040,1973.71904,97,66,138,50,8,20260908_145501
1788872010.2589211,7709879,1973729024,1973.729024,100,13,137,51,8,20260908_145501
1788872010.2689052,7709918,1973739008,1973.739008,103,107,138,52,8,20260908_145501
1788872010.2788892,7709957,1973748992,1973.748992,106,3,138,53,8,20260908_145501
1788872010.2888732,7709996,1973758976,1973.758976,110,75,138,53,8,20260908_145501
1788872010.2988572,7710035,1973768960,1973.76896,113,51,138,53,8,20260908_145501
1788872010.3088412,7710074,1973778944,1973.778944,116,1,138,53,8,20260908_145501
1788872010.3188252,7710113,1973788928,1973.788928,119,48,138,53,8,20260908_145501
1788872010.3288093,7710152,1973798912,1973.798912,122,46,138,52,8,20260908_145501
1788872010.339049,7710192,1973809152,1973.809152,125,7,138,52,8,20260908_145501
