time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788872120.244483,8139511,2083714816,2083.714816,213,4,134,76,8,20260908_145623
1788872120.254211,8139549,2083724544,2083.724544,216,2,134,76,8,20260908_145623
1788872120.2644508,8139589,2083734784,2083.734784,219,1,134,76,8,20260908_145623
1788872120.2744348,8139628,2083744768,2083.744768,222,2,134,76,8,20260908_145623
1788872120.2844188,8139667,2083754752,2083.754752,225,166,134,77,8,20260908_145623
1788872120.2944028,8139706,2083764736,2083.764736,228,175,135,76,8,20260908_145623
1788872120.3043869,8139745,2083774720,2083.77472,232,120,136,76,8,20260908_145623
1788872120.3143709,8139784,2083784704,2083.784704,235,73,138,76,8,20260908_145623
1788872120.324355,8139823,2083794688,2083.794688,238,59,140,76,8,20260908_145623
1788872120.334339,8139862,2083804672,2083.804672,241,52,141,75,8,20260908_145623
1788872120.344323,8139901,2083814656,2083.814656,244,44,141,74,8,20260908_145623
1788872120.354307,8139940,2083824640,2083.82464,248,46,142,73,8,20260908_145623
1788872120.364291,8139979,2083834624,2083.834624,251,48,142,73,8,20260908_145623
1788872120.374275,8140018,2083844608,2083.844608,254,41,142,75,8,20260908_145623
1788872120.384259,8140057,2083854592,2083.854592,2,31,142,76,8,20260908_145623
1788872120.3944988,8140097,2083864832,2083.864832,5,27,142,74,8,20260908_145623
1788872120.4044828,8140136,2083874816,2083.874816,9,32,142,73,8,20260908_145623
1788872120.4144669,8140175,2083884800,2083.8848,12,25,142,73,8,20260908_145623
1788872120.4244509,8140214,2083894784,2083.894784,15,25,142,73,8,20260908_145623
1788872120.434435,8140253,2083904768,2083.904768,18,15,142,74,8,20260908_145623
1788872120.444419,8140292,2083914752,2083.914752,21,0,142,75,8,20260908_145623
1788872120.454403,8140331,2083924736,2083.924736,24,0,142,76,8,20260908_145623
1788872120.464387,8140370,2083934720,2083.93472,31,0,141,77,8,20260908_145623
1788872120.474371,8140409,2083944704,2083.944704,34,0,139,77,8,20260908_145623
1788872120.484355,8140448,2083954688,2083.954688,37,81,135,77,8,20260908_145623
1788872120.494339,8140487,2083964672,2083.964672,40,43,132,77,8,20260908_145623
1788872120.504323,8140526,2083974656,2083.974656,44,145,128,77,8,20260908_145623
1788872120.5145628,8140566,2083984896,2083.984896,47,79,126,77,8,20260908_145623
1788872120.5245469,8140605,2083994880,2083.99488,50,63,124,76,8,20260908_145623
