time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788871733.663823,6629424,1697132544,1697.132544,29,1,146,54,8,20260908_145005
1788871733.673807,6629463,1697142528,1697.142528,32,1,146,54,8,20260908_145005
1788871733.6837907,6629502,1697152512,1697.152512,35,1,146,54,8,20260908_145005
1788871733.6937747,6629541,1697162496,1697.162496,38,1,146,54,8,20260908_145005
1788871733.7037587,6629580,1697172480,1697.17248,42,107,146,54,8,20260908_145005
1788871733.7137425,6629619,1697182464,1697.182464,45,75,146,54,8,20260908_145005
1788871733.7237265,6629658,1697192448,1697.192448,48,149,146,54,8,20260908_145005
1788871733.7337103,6629697,1697202432,1697.202432,51,27,146,54,8,20260908_145005
1788871733.7436943,6629736,1697212416,1697.212416,54,67,145,54,8,20260908_145005
1788871733.7536786,6629775,1697222400,1697.2224,58,56,145,54,8,20260908_145005
1788871733.7636626,6629814,1697232384,1697.232384,61,65,145,54,8,20260908_145005
1788871733.773903,6629854,1697242624,1697.242624,64,86,145,54,8,20260908_145005
1788871733.783887,6629893,1697252608,1697.252608,67,48,145,54,8,20260908_145005
1788871733.7938707,6629932,1697262592,1697.262592,70,11,145,54,8,20260908_145005
1788871733.8038547,6629971,1697272576,1697.272576,73,47,146,54,8,20260908_145005
1788871733.8138387,6630010,1697282560,1697.28256,77,11,146,54,8,20260908_145005
1788871733.8238225,6630049,1697292544,1697.292544,80,61,146,55,8,20260908_145005
1788871733.8338065,6630088,1697302528,1697.302528,83,27,146,55,8,20260908_145005
1788871733.8437903,6630127,1697312512,1697.312512,86,56,146,55,8,20260908_145005
1788871733.8537743,6630166,1697322496,1697.322496,89,48,146,55,8,20260908_145005
1788871733.8637586,6630205,1697332480,1697.33248,93,61,146,55,8,20260908_145005
1788871733.8737426,6630244,1697342464,1697.342464,96,86,146,55,8,20260908_145005
1788871733.8837266,6630283,1697352448,1697.352448,99,5,146,56,8,20260908_145005
1788871733.893967,6630323,1697362688,1697.362688,102,35,146,56,8,20260908_145005
1788871733.9039507,6630362,1697372672,1697.372672,105,72,146,56,8,20260908_145005
1788871733.9139347,6630401,1697382656,1697.382656,109,0,146,56,8,20260908_145005
1788871733.9239187,6630440,1697392640,1697.39264,112,57,146,56,8,20260908_145005
1788871733.9339025,6630479,1697402624,1697.402624,118,20,146,56,8,20260908_145005
1788871733.9438865,6630518,1697412608,1697.412608,121,55,146,56,8,20260908_145005
1788871733.9538703,6630557,1697422592,1697.422592,125,61,146,56,8,20260908_145005
1788871733.9638546,6630596,1697432576,1697.432576,128,19,146,55,8,20260908_145005
1788871733.9738386,6630635,1697442560,1697.44256,131,76,146,55,8,20260908_145005
1788871733.9838226,6630674,1697452544,1697.452544,134,0,146,55,8,20260908_145005
1788871733.9938066,6630713,1697462528,1697.462528,137,1,146,56,8,20260908_145005
1788871734.0037906,6630752,1697472512,1697.472512,140,2,146,56,8,20260908_145005
1788871734.0137746,6630791,1697482496,1697.482496,144,1,146,56,8,20260908_145005
1788871734.0240147,6630831,1697492736,1697.492736,147,1,146,56,8,20260908_145005
1788871734.0339987,6630870,1697502720,1697.50272,150,5,146,56,8,20260908_145005
1788871734.0439825,6630909,1697512704,1697.512704,153,0,146,56,8,20260908_145005
1788871734.0539663,6630948,1697522688,1697.522688,156,44,146,56,8,20260908_145005
1788871734.0639503,6630987,1697532672,1697.532672,160,4,146,56,8,20260908_145005
1788871734.0739346,6631026,1697542656,1697.542656,163,55,146,56,8,20260908_145005
1788871734.0839186,6631065,1697552640,1697.55264,166,5,146,56,8,20260908_145005
1788871734.0939026,6631104,1697562624,1697.562624,169,36,146,56,8,20260908_145005
1788871734.1038866,6631143,1697572608,1697.572608,172,21,146,56,8,20260908_145005
1788871734.1138706,6631182,1697582592,1697.582592,176,1,146,56,8,20260908_145005
1788871734.1238546,6631221,1697592576,1697.592576,179,76,146,56,8,20260908_145005
1788871734.133839,6631260,1697602560,1697.60256,182,4,146,56,8,20260908_145005
1788871734.143823,6631299,1697612544,1697.612544,185,83,146,56,8,20260908_145005
1788871734.1540625,6631339,1697622784,1697.622784,188,20,146,56,8,20260908_145005
1788871734.1640463,6631378,1697632768,1697.632768,191,58,146,56,8,20260908_145005
1788871734.1740303,6631417,1697642752,1697.642752,195,58,146,57,8,20260908_145005
1788871734.1840146,6631456,1697652736,1697.652736,198,64,146,56,8,20260908_145005
1788871734.1939986,6631495,1697662720,1697.66272,201,88,146,56,8,20260908_145005
1788871734.2039826,6631534,1697672704,1697.672704,204,43,146,56,8,20260908_145005
1788871734.2139666,6631573,1697682688,1697.682688,207,64,146,56,8,20260908_145005
1788871734.2239506,6631612,1697692672,1697.692672,211,14,146,56,8,20260908_145005
1788871734.2339346,6631651,1697702656,1697.702656,214,20,146,56,8,20260908_145005
1788871734.243919,6631690,1697712640,1697.71264,217,51,146,56,8,20260908_145005
1788871734.253903,6631729,1697722624,1697.722624,220,0,146,55,8,20260908_145005
1788871734.2638867,6631768,1697732608,1697.732608,223,54,146,55,8,20260908_145005
