time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788871457.0306606,7558685,1935023360,1935.02336,109,1,150,66,9,20260908_144548
1788871457.0403886,7558723,1935033088,1935.033088,112,0,150,66,9,20260908_144548
1788871457.050629,7558763,1935043328,1935.043328,115,1,150,66,9,20260908_144548
1788871457.060613,7558802,1935053312,1935.053312,118,119,150,66,9,20260908_144548
1788871457.0705967,7558841,1935063296,1935.063296,121,182,150,66,9,20260908_144548
1788871457.0805807,7558880,1935073280,1935.07328,125,132,149,65,9,20260908_144548
1788871457.0905647,7558919,1935083264,1935.083264,128,90,149,65,9,20260908_144548
1788871457.1005485,7558958,1935093248,1935.093248,131,70,149,64,9,20260908_144548
1788871457.1105323,7558997,1935103232,1935.103232,134,52,149,63,9,20260908_144548
1788871457.1205163,7559036,1935113216,1935.113216,137,48,149,62,9,20260908_144548
1788871457.1305006,7559075,1935123200,1935.1232,140,28,149,62,9,20260908_144548
1788871457.1404846,7559114,1935133184,1935.133184,144,42,149,62,9,20260908_144548
1788871457.1504686,7559153,1935143168,1935.143168,147,37,149,61,9,20260908_144548
1788871457.1604526,7559192,1935153152,1935.153152,150,34,149,60,9,20260908_144548
1788871457.1704366,7559231,1935163136,1935.163136,153,33,149,61,9,20260908_144548
1788871457.1806767,7559271,1935173376,1935.173376,156,22,150,61,9,20260908_144548
1788871457.1906607,7559310,1935183360,1935.18336,160,0,150,62,9,20260908_144548
1788871457.2006447,7559349,1935193344,1935.193344,163,0,150,63,9,20260908_144548
1788871457.2106285,7559388,1935203328,1935.203328,166,1,150,63,9,20260908_144548
1788871457.2206123,7559427,1935213312,1935.213312,169,87,150,63,9,20260908_144548
1788871457.2305963,7559466,1935223296,1935.223296,172,0,150,62,9,20260908_144548
1788871457.2405806,7559505,1935233280,1935.23328,176,111,150,62,9,20260908_144548
1788871457.2505646,7559544,1935243264,1935.243264,179,30,150,62,9,20260908_144548
1788871457.2605486,7559583,1935253248,1935.253248,182,97,150,61,9,20260908_144548
1788871457.2705326,7559622,1935263232,1935.263232,185,30,150,61,9,20260908_144548
1788871457.2805166,7559661,1935273216,1935.273216,188,54,150,60,9,20260908_144548
1788871457.2905006,7559700,1935283200,1935.2832,191,66,150,60,9,20260908_144548
1788871457.300485,7559739,1935293184,1935.293184,195,45,150,59,9,20260908_144548
1788871457.3107245,7559779,1935303424,1935.303424,198,42,150,59,9,20260908_144548
1788871457.3207085,7559818,1935313408,1935.313408,201,29,150,59,9,20260908_144548
1788871457.3306923,7559857,1935323392,1935.323392,204,11,150,59,9,20260908_144548
1788871457.3406763,7559896,1935333376,1935.333376,207,19,150,59,9,20260908_144548
1788871457.3506606,7559935,1935343360,1935.34336,211,0,150,59,9,20260908_144548
1788871457.3606446,7559974,1935353344,1935.353344,214,74,150,59,9,20260908_144548
1788871457.3706286,7560013,1935363328,1935.363328,217,25,150,60,9,20260908_144548
1788871457.3806126,7560052,1935373312,1935.373312,220,74,150,60,9,20260908_144548
1788871457.3905966,7560091,1935383296,1935.383296,223,37,150,60,9,20260908_144548
1788871457.4005806,7560130,1935393280,1935.39328,226,59,150,60,9,20260908_144548
1788871457.410565,7560169,1935403264,1935.403264,230,41,150,61,9,20260908_144548
1788871457.420549,7560208,1935413248,1935.413248,233,1,150,62,9,20260908_144548
1788871457.4305327,7560247,1935423232,1935.423232,236,39,150,62,9,20260908_144548
1788871457.4407723,7560287,1935433472,1935.433472,239,25,150,63,9,20260908_144548
1788871457.4507563,7560326,1935443456,1935.443456,242,0,150,63,9,20260908_144548
1788871457.4607406,7560365,1935453440,1935.45344,246,78,150,64,9,20260908_144548
1788871457.4707246,7560404,1935463424,1935.463424,249,36,150,64,9,20260908_144548
1788871457.4807086,7560443,1935473408,1935.473408,252,22,150,65,9,20260908_144548
1788871457.4906926,7560482,1935483392,1935.483392,0,44,150,65,9,20260908_144548
1788871457.5006766,7560521,1935493376,1935.493376,3,1,150,65,9,20260908_144548
1788871457.5106606,7560560,1935503360,1935.50336,7,10,150,65,9,20260908_144548
1788871457.520645,7560599,1935513344,1935.513344,10,2,150,65,9,20260908_144548
1788871457.5306287,7560638,1935523328,1935.523328,13,1,150,65,9,20260908_144548
1788871457.5406127,7560677,1935533312,1935.533312,16,1,150,65,9,20260908_144548
1788871457.5505967,7560716,1935543296,1935.543296,19,1,150,65,9,20260908_144548
1788871457.5608366,7560756,1935553536,1935.553536,23,1,150,65,9,20260908_144548
1788871457.5708206,7560795,1935563520,1935.56352,26,9,150,65,9,20260908_144548
1788871457.5808046,7560834,1935573504,1935.573504,29,0,150,65,9,20260908_144548
1788871457.5907886,7560873,1935583488,1935.583488,32,43,150,65,9,20260908_144548
1788871457.6007726,7560912,1935593472,1935.593472,35,0,150,65,9,20260908_144548
1788871457.6107566,7560951,1935603456,1935.603456,39,2,150,65,9,20260908_144548
1788871457.620741,7560990,1935613440,1935.61344,42,1,150,65,9,20260908_144548
1788871457.630725,7561029,1935623424,1935.623424,45,81,150,65,9,20260908_144548
1788871457.6407087,7561068,1935633408,1935.633408,48,57,150,65,9,20260908_144548
1788871457.6506927,7561107,1935643392,1935.643392,51,0,150,65,9,20260908_144548
1788871457.6606767,7561146,1935653376,1935.653376,54,35,150,64,9,20260908_144548
1788871457.6706607,7561185,1935663360,1935.66336,57,21,150,64,9,20260908_144548
1788871457.6806445,7561224,1935673344,1935.673344,64,96,150,63,9,20260908_144548
1788871457.6908846,7561264,1935683584,1935.683584,67,20,150,63,9,20260908_144548
1788871457.7008686,7561303,1935693568,1935.693568,70,67,150,62,9,20260908_144548
1788871457.7108526,7561342,1935703552,1935.703552,74,52,150,62,9,20260908_144548
1788871457.7208366,7561381,1935713536,1935.713536,77,72,150,62,9,20260908_144548
1788871457.730821,7561420,1935723520,1935.72352,80,72,150,61,9,20260908_144548
1788871457.740805,7561459,1935733504,1935.733504,83,45,150,61,9,20260908_144548
1788871457.7507887,7561498,1935743488,1935.743488,86,51,150,61,9,20260908_144548
1788871457.7607727,7561537,1935753472,1935.753472,90,41,150,61,9,20260908_144548
1788871457.7707567,7561576,1935763456,1935.763456,93,0,150,60,9,20260908_144548
1788871457.7807405,7561615,1935773440,1935.77344,96,63,150,60,9,20260908_144548
