time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,a3,agent_id,chunk_id
1788885281.7679932,1819038,465673728,465.673728,239,0,148,42,9,20260908_183537
1788885281.7777212,1819076,465683456,465.683456,242,1,148,112,9,20260908_183537
1788885281.7877052,1819115,465693440,465.69344,245,2,148,112,9,20260908_183537
1788885281.7976892,1819154,465703424,465.703424,248,1,148,112,9,20260908_183537
1788885281.8076732,1819193,465713408,465.713408,251,156,148,112,9,20260908_183537
1788885281.8179133,1819233,465723648,465.723648,254,160,148,111,9,20260908_183537
1788885281.8278973,1819272,465733632,465.733632,3,114,148,111,9,20260908_183537
1788885281.837881,1819311,465743616,465.743616,6,90,148,111,9,20260908_183537
1788885281.847865,1819350,465753600,465.7536,9,70,148,113,9,20260908_183537
1788885281.8578491,1819389,465763584,465.763584,12,55,148,114,9,20260908_183537
1788885281.8678331,1819428,465773568,465.773568,15,44,148,115,9,20260908_183537
1788885281.8778172,1819467,465783552,465.783552,19,18,148,118,9,20260908_183537
1788885281.8878012,1819506,465793536,465.793536,22,0,148,122,9,20260908_183537
1788885281.8977852,1819545,465803520,465.80352,25,0,148,124,9,20260908_183537
1788885281.9077692,1819584,465813504,465.813504,28,0,148,124,9,20260908_183537
1788885281.9177532,1819623,465823488,465.823488,31,1,148,125,9,20260908_183537
1788885281.9277372,1819662,465833472,465.833472,34,0,147,125,9,20260908_183537
1788885281.9377213,1819701,465843456,465.843456,38,48,147,125,9,20260908_183537
1788885281.947961,1819741,465853696,465.853696,41,89,147,125,9,20260908_183537
1788885281.957945,1819780,465863680,465.86368,44,115,146,125,9,20260908_183537
1788885281.9679291,1819819,465873664,465.873664,47,24,146,124,9,20260908_183537
1788885281.9779131,1819858,465883648,465.883648,50,0,145,123,9,20260908_183537
1788885281.9878972,1819897,465893632,465.893632,54,110,145,121,9,20260908_183537
1788885281.9978812,1819936,465903616,465.903616,57,9,145,119,9,20260908_183537
1788885282.0078652,1819975,465913600,465.9136,60,102,145,118,9,20260908_183537
1788885282.0178492,1820014,465923584,465.923584,63,18,145,117,9,20260908_183537
