k,a_k,b_k,amplitude,phase
0,-0.397834689060439,0,0.397834689060439,-3.14159265358979
1,0.0836618231496695,-0.417785728437967,0.426080057664248,1.37315986222385
2,0.406359690127089,-0.214882788336881,0.459676854413638,0.486420858086499
3,0.0721437128553018,0.424220170153712,0.430310896991689,-1.40234595233602
4,-0.171220973329124,0.0923012293670081,0.194515137329807,-2.64717455162772
5,-0.13895938752864,-0.183211321941852,0.229948037325861,2.2196931018981
6,0.0708922409686542,-0.0280667039809008,0.0762459815459756,0.376972585026864
7,0.0763883614860243,0.00265325906533272,0.0764344264987138,-0.0347198550684729
8,-0.0164234797516681,0.0201251214579856,0.0259759735304016,-2.25525868914321
9,0.0199935290366153,0.0354109146519096,0.0406653916718234,-1.05680176886481
10,-0.00994639033609932,-0.0111320712083103,0.0149282849016537,2.30000288061871
