time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1781775560.3561025,1353563,346512128,346.512128,217,1,139,8,20260618_114025
1781775560.3653183,1353599,346521344,346.521344,220,0,139,8,20260618_114025
1781775560.3753023,1353638,346531328,346.531328,223,0,139,8,20260618_114025
1781775560.3852863,1353677,346541312,346.541312,227,0,139,8,20260618_114025
1781775560.3952703,1353716,346551296,346.551296,230,184,140,8,20260618_114025
1781775560.4052544,1353755,346561280,346.56128,233,137,140,8,20260618_114025
1781775560.4152384,1353794,346571264,346.571264,236,105,140,8,20260618_114025
1781775560.4252224,1353833,346581248,346.581248,239,82,140,8,20260618_114025
1781775560.4352064,1353872,346591232,346.591232,242,70,140,8,20260618_114025
1781775560.4451904,1353911,346601216,346.601216,246,49,140,8,20260618_114025
1781775560.4554305,1353951,346611456,346.611456,249,36,140,8,20260618_114025
1781775560.4654143,1353990,346621440,346.62144,252,33,139,8,20260618_114025
1781775560.4753983,1354029,346631424,346.631424,0,29,140,8,20260618_114025
1781775560.4853823,1354068,346641408,346.641408,3,0,140,8,20260618_114025
1781775560.4953663,1354107,346651392,346.651392,6,0,139,8,20260618_114025
1781775560.5053504,1354146,346661376,346.661376,10,0,139,8,20260618_114025
1781775560.5153344,1354185,346671360,346.67136,13,0,139,8,20260618_114025
1781775560.5253184,1354224,346681344,346.681344,16,0,139,8,20260618_114025
1781775560.5353024,1354263,346691328,346.691328,19,1,139,8,20260618_114025
1781775560.5452864,1354302,346701312,346.701312,22,1,139,8,20260618_114025
1781775560.5552704,1354341,346711296,346.711296,26,0,139,8,20260618_114025
1781775560.5655105,1354381,346721536,346.721536,29,47,139,8,20260618_114025
1781775560.5754943,1354420,346731520,346.73152,32,0,139,8,20260618_114025
1781775560.5854783,1354459,346741504,346.741504,35,0,140,8,20260618_114025
1781775560.5954623,1354498,346751488,346.751488,38,1,140,8,20260618_114025
1781775560.6054463,1354537,346761472,346.761472,42,0,140,8,20260618_114025
1781775560.6154304,1354576,346771456,346.771456,45,73,140,8,20260618_114025
1781775560.6254144,1354615,346781440,346.78144,48,1,140,8,20260618_114025
1781775560.6353984,1354654,346791424,346.791424,51,108,140,8,20260618_114025
1781775560.6453824,1354693,346801408,346.801408,54,0,140,8,20260618_114025
1781775560.6553664,1354732,346811392,346.811392,57,125,140,8,20260618_114025
1781775560.6653504,1354771,346821376,346.821376,61,4,140,8,20260618_114025
1781775560.6755905,1354811,346831616,346.831616,64,20,140,8,20260618_114025
1781775560.6855743,1354850,346841600,346.8416,67,0,140,8,20260618_114025
1781775560.6955583,1354889,346851584,346.851584,70,0,140,8,20260618_114025
1781775560.7055423,1354928,346861568,346.861568,73,1,140,8,20260618_114025
1781775560.7155263,1354967,346871552,346.871552,77,73,140,8,20260618_114025
1781775560.7255104,1355006,346881536,346.881536,80,0,140,8,20260618_114025
1781775560.7354944,1355045,346891520,346.89152,83,98,140,8,20260618_114025
1781775560.7454784,1355084,346901504,346.901504,86,9,140,8,20260618_114025
1781775560.7554624,1355123,346911488,346.911488,90,99,140,8,20260618_114025
1781775560.7654464,1355162,346921472,346.921472,93,80,140,8,20260618_114025
1781775560.7756865,1355202,346931712,346.931712,96,0,140,8,20260618_114025
1781775560.7856705,1355241,346941696,346.941696,99,120,140,8,20260618_114025
1781775560.7956543,1355280,346951680,346.95168,102,68,140,8,20260618_114025
1781775560.8056383,1355319,346961664,346.961664,106,0,140,8,20260618_114025
1781775560.8156223,1355358,346971648,346.971648,109,76,140,8,20260618_114025
1781775560.8256063,1355397,346981632,346.981632,112,0,140,8,20260618_114025
1781775560.8355904,1355436,346991616,346.991616,115,132,140,8,20260618_114025
1781775560.8455744,1355475,347001600,347.0016,118,0,140,8,20260618_114025
1781775560.8555584,1355514,347011584,347.011584,121,0,140,8,20260618_114025
1781775560.8657982,1355554,347021824,347.021824,125,0,140,8,20260618_114025
1781775560.8757825,1355593,347031808,347.031808,131,0,140,8,20260618_114025
1781775560.8857665,1355632,347041792,347.041792,134,0,140,8,20260618_114025
1781775560.8957503,1355671,347051776,347.051776,137,0,140,8,20260618_114025
1781775560.9057343,1355710,347061760,347.06176,141,0,141,8,20260618_114025
1781775560.9157183,1355749,347071744,347.071744,144,0,140,8,20260618_114025
1781775560.9257023,1355788,347081728,347.081728,147,55,140,8,20260618_114025
1781775560.9356863,1355827,347091712,347.091712,150,1,140,8,20260618_114025
1781775560.9456704,1355866,347101696,347.101696,153,1,140,8,20260618_114025
1781775560.9556544,1355905,347111680,347.11168,156,4,140,8,20260618_114025
1781775560.9656384,1355944,347121664,347.121664,160,0,140,8,20260618_114025
1781775560.9758782,1355984,347131904,347.131904,163,48,139,8,20260618_114025
1781775560.9858625,1356023,347141888,347.141888,166,0,139,8,20260618_114025
1781775560.9958465,1356062,347151872,347.151872,169,101,140,8,20260618_114025
1781775561.0058303,1356101,347161856,347.161856,172,1,139,8,20260618_114025
1781775561.0158143,1356140,347171840,347.17184,176,0,139,8,20260618_114025
1781775561.0257983,1356179,347181824,347.181824,179,0,140,8,20260618_114025
1781775561.0357823,1356218,347191808,347.191808,182,64,140,8,20260618_114025
1781775561.0457664,1356257,347201792,347.201792,185,0,140,8,20260618_114025
1781775561.0557504,1356296,347211776,347.211776,188,0,140,8,20260618_114025
1781775561.0657344,1356335,347221760,347.22176,192,0,140,8,20260618_114025
1781775561.0759745,1356375,347232000,347.232,195,85,140,8,20260618_114025
1781775561.0859582,1356414,347241984,347.241984,198,0,140,8,20260618_114025
1781775561.0959425,1356453,347251968,347.251968,201,85,140,8,20260618_114025
1781775561.1059265,1356492,347261952,347.261952,204,0,140,8,20260618_114025
1781775561.1159103,1356531,347271936,347.271936,208,0,140,8,20260618_114025
1781775561.1258943,1356570,347281920,347.28192,211,0,140,8,20260618_114025
1781775561.1358783,1356609,347291904,347.291904,214,0,140,8,20260618_114025
1781775561.1458623,1356648,347301888,347.301888,217,52,140,8,20260618_114025
1781775561.1558464,1356687,347311872,347.311872,220,0,140,8,20260618_114025
1781775561.1658304,1356726,347321856,347.321856,223,0,140,8,20260618_114025
1781775561.1760705,1356766,347332096,347.332096,227,91,140,8,20260618_114025
1781775561.1860545,1356805,347342080,347.34208,230,0,141,8,20260618_114025
1781775561.1960382,1356844,347352064,347.352064,233,111,141,8,20260618_114025
1781775561.2060225,1356883,347362048,347.362048,236,3,140,8,20260618_114025
1781775561.2160065,1356922,347372032,347.372032,239,0,141,8,20260618_114025
1781775561.2259903,1356961,347382016,347.382016,243,0,141,8,20260618_114025
1781775561.2359743,1357000,347392000,347.392,246,37,140,8,20260618_114025
