time_pc_sec_abs,micros32,micros32_raw,time_local_sec,a0,a1,a2,agent_id,chunk_id
1782217823.7283638,3471972,888824832,888.824832,155,1,101,8,20260623_143105
1782217823.7375798,3472008,888834048,888.834048,158,0,102,8,20260623_143105
1782217823.7475638,3472047,888844032,888.844032,161,16,102,8,20260623_143105
1782217823.7575479,3472086,888854016,888.854016,164,1,102,8,20260623_143105
1782217823.7675319,3472125,888864000,888.864,167,0,102,8,20260623_143105
1782217823.777516,3472164,888873984,888.873984,171,174,102,8,20260623_143105
1782217823.7875,3472203,888883968,888.883968,174,138,102,8,20260623_143105
1782217823.7974837,3472242,888893952,888.893952,177,94,103,8,20260623_143105
1782217823.8074677,3472281,888903936,888.903936,180,70,103,8,20260623_143105
1782217823.8174517,3472320,888913920,888.91392,183,0,102,8,20260623_143105
1782217823.8274357,3472359,888923904,888.923904,186,1,102,8,20260623_143105
1782217823.8376758,3472399,888934144,888.934144,190,161,103,8,20260623_143105
1782217823.8476598,3472438,888944128,888.944128,193,123,103,8,20260623_143105
1782217823.8576438,3472477,888954112,888.954112,196,158,104,8,20260623_143105
1782217823.8676279,3472516,888964096,888.964096,199,75,105,8,20260623_143105
1782217823.8776119,3472555,888974080,888.97408,202,0,109,8,20260623_143105
1782217823.887596,3472594,888984064,888.984064,206,0,114,8,20260623_143105
1782217823.89758,3472633,888994048,888.994048,209,34,120,8,20260623_143105
1782217823.9078197,3472673,889004288,889.004288,212,0,122,8,20260623_143105
1782217823.9178038,3472712,889014272,889.014272,215,105,122,8,20260623_143105
1782217823.9277878,3472751,889024256,889.024256,218,37,118,8,20260623_143105
1782217823.9377718,3472790,889034240,889.03424,222,0,113,8,20260623_143105
1782217823.9477558,3472829,889044224,889.044224,225,26,108,8,20260623_143105
1782217823.9577398,3472868,889054208,889.054208,228,0,101,8,20260623_143105
1782217823.9677238,3472907,889064192,889.064192,231,0,95,8,20260623_143105
1782217823.9777079,3472946,889074176,889.074176,234,5,92,8,20260623_143105
1782217823.9879477,3472986,889084416,889.084416,238,0,95,8,20260623_143105
1782217823.9979317,3473025,889094400,889.0944,241,55,96,8,20260623_143105
1782217824.0079157,3473064,889104384,889.104384,244,0,99,8,20260623_143105
1782217824.0178998,3473103,889114368,889.114368,247,0,99,8,20260623_143105
1782217824.0278838,3473142,889124352,889.124352,250,0,99,8,20260623_143105
1782217824.0378678,3473181,889134336,889.134336,2,0,100,8,20260623_143105
1782217824.0478518,3473220,889144320,889.14432,5,0,99,8,20260623_143105
1782217824.0578358,3473259,889154304,889.154304,8,1,99,8,20260623_143105
1782217824.0678198,3473298,889164288,889.164288,11,0,99,8,20260623_143105
1782217824.0778039,3473337,889174272,889.174272,14,1,100,8,20260623_143105
1782217824.0880437,3473377,889184512,889.184512,18,34,100,8,20260623_143105
1782217824.0980277,3473416,889194496,889.194496,21,0,100,8,20260623_143105
1782217824.1080117,3473455,889204480,889.20448,24,1,100,8,20260623_143105
1782217824.1179957,3473494,889214464,889.214464,27,1,99,8,20260623_143105
1782217824.1279798,3473533,889224448,889.224448,30,0,98,8,20260623_143105
1782217824.1379638,3473572,889234432,889.234432,34,44,97,8,20260623_143105
1782217824.1479478,3473611,889244416,889.244416,37,0,97,8,20260623_143105
1782217824.1579318,3473650,889254400,889.2544,40,91,97,8,20260623_143105
1782217824.168172,3473690,889264640,889.26464,43,0,97,8,20260623_143105
1782217824.178156,3473729,889274624,889.274624,46,0,97,8,20260623_143105
1782217824.1881397,3473768,889284608,889.284608,50,0,98,8,20260623_143105
1782217824.1981237,3473807,889294592,889.294592,53,124,98,8,20260623_143105
1782217824.2081077,3473846,889304576,889.304576,56,114,98,8,20260623_143105
1782217824.2180917,3473885,889314560,889.31456,59,2,97,8,20260623_143105
1782217824.2280757,3473924,889324544,889.324544,62,0,96,8,20260623_143105
1782217824.2380598,3473963,889334528,889.334528,66,84,99,8,20260623_143105
1782217824.2480438,3474002,889344512,889.344512,69,0,99,8,20260623_143105
1782217824.2582839,3474042,889354752,889.354752,72,99,99,8,20260623_143105
1782217824.2682679,3474081,889364736,889.364736,75,0,100,8,20260623_143105
1782217824.278252,3474120,889374720,889.37472,78,89,99,8,20260623_143105
1782217824.288236,3474159,889384704,889.384704,81,14,99,8,20260623_143105
1782217824.2982197,3474198,889394688,889.394688,85,0,99,8,20260623_143105
1782217824.3082037,3474237,889404672,889.404672,88,0,100,8,20260623_143105
1782217824.3181877,3474276,889414656,889.414656,91,0,101,8,20260623_143105
1782217824.3281717,3474315,889424640,889.42464,94,1,102,8,20260623_143105
1782217824.3381557,3474354,889434624,889.434624,97,98,102,8,20260623_143105
1782217824.3483958,3474394,889444864,889.444864,101,0,102,8,20260623_143105
1782217824.3583798,3474433,889454848,889.454848,104,74,102,8,20260623_143105
1782217824.3683639,3474472,889464832,889.464832,107,65,102,8,20260623_143105
1782217824.3783479,3474511,889474816,889.474816,110,0,101,8,20260623_143105
1782217824.388332,3474550,889484800,889.4848,113,0,99,8,20260623_143105
1782217824.398316,3474589,889494784,889.494784,117,3,100,8,20260623_143105
1782217824.4082997,3474628,889504768,889.504768,120,1,102,8,20260623_143105
1782217824.4182837,3474667,889514752,889.514752,123,95,102,8,20260623_143105
1782217824.4285238,3474707,889524992,889.524992,126,0,102,8,20260623_143105
1782217824.4385078,3474746,889534976,889.534976,129,0,103,8,20260623_143105
1782217824.4484918,3474785,889544960,889.54496,133,34,105,8,20260623_143105
1782217824.4584758,3474824,889554944,889.554944,136,0,106,8,20260623_143105
1782217824.4684598,3474863,889564928,889.564928,139,0,109,8,20260623_143105
1782217824.4784439,3474902,889574912,889.574912,142,1,115,8,20260623_143105
1782217824.4884279,3474941,889584896,889.584896,145,1,120,8,20260623_143105
1782217824.498412,3474980,889594880,889.59488,148,1,123,8,20260623_143105
1782217824.5086517,3475020,889605120,889.60512,152,1,128,8,20260623_143105
1782217824.5186357,3475059,889615104,889.615104,155,0,134,8,20260623_143105
1782217824.5286198,3475098,889625088,889.625088,158,112,135,8,20260623_143105
1782217824.5386038,3475137,889635072,889.635072,161,0,134,8,20260623_143105
1782217824.5485878,3475176,889645056,889.645056,164,132,134,8,20260623_143105
1782217824.5585718,3475215,889655040,889.65504,168,0,135,8,20260623_143105
1782217824.5685558,3475254,889665024,889.665024,171,0,135,8,20260623_143105
1782217824.5785398,3475293,889675008,889.675008,174,70,136,8,20260623_143105
1782217824.5885239,3475332,889684992,889.684992,177,0,137,8,20260623_143105
1782217824.598508,3475371,889694976,889.694976,180,81,138,8,20260623_143105
1782217824.608492,3475410,889704960,889.70496,184,1,138,8,20260623_143105
1782217824.6184757,3475449,889714944,889.714944,187,0,138,8,20260623_143105
1782217824.6287158,3475489,889725184,889.725184,190,0,138,8,20260623_143105
1782217824.6386998,3475528,889735168,889.735168,193,7,138,8,20260623_143105
1782217824.6486838,3475567,889745152,889.745152,196,17,138,8,20260623_143105
1782217824.6586678,3475606,889755136,889.755136,199,63,139,8,20260623_143105
1782217824.6686518,3475645,889765120,889.76512,203,1,139,8,20260623_143105
1782217824.6786358,3475684,889775104,889.775104,206,0,139,8,20260623_143105
1782217824.6886199,3475723,889785088,889.785088,209,0,139,8,20260623_143105
1782217824.6986039,3475762,889795072,889.795072,212,2,139,8,20260623_143105
1782217824.708588,3475801,889805056,889.805056,215,0,139,8,20260623_143105
1782217824.718572,3475840,889815040,889.81504,219,106,138,8,20260623_143105
1782217824.7285557,3475879,889825024,889.825024,222,48,138,8,20260623_143105
1782217824.7385397,3475918,889835008,889.835008,225,115,138,8,20260623_143105
1782217824.7485237,3475957,889844992,889.844992,228,129,139,8,20260623_143105
1782217824.7587638,3475997,889855232,889.855232,231,3,140,8,20260623_143105
1782217824.7687478,3476036,889865216,889.865216,235,0,140,8,20260623_143105
1782217824.7787318,3476075,889875200,889.8752,238,33,140,8,20260623_143105
1782217824.7887158,3476114,889885184,889.885184,241,0,141,8,20260623_143105
1782217824.7986999,3476153,889895168,889.895168,244,85,141,8,20260623_143105
1782217824.8086839,3476192,889905152,889.905152,247,0,141,8,20260623_143105
1782217824.818668,3476231,889915136,889.915136,250,1,141,8,20260623_143105
1782217824.828652,3476270,889925120,889.92512,254,92,142,8,20260623_143105
1782217824.8386357,3476309,889935104,889.935104,2,0,141,8,20260623_143105
1782217824.8486197,3476348,889945088,889.945088,5,1,141,8,20260623_143105
1782217824.8586037,3476387,889955072,889.955072,8,16,141,8,20260623_143105
1782217824.8685877,3476426,889965056,889.965056,11,3,141,8,20260623_143105
1782217824.8788278,3476466,889975296,889.975296,15,1,139,8,20260623_143105
1782217824.8888118,3476505,889985280,889.98528,18,0,135,8,20260623_143105
1782217824.8987958,3476544,889995264,889.995264,21,0,120,8,20260623_143105
1782217824.9087799,3476583,890005248,890.005248,24,17,101,8,20260623_143105
1782217824.9187639,3476622,890015232,890.015232,27,0,94,8,20260623_143105
1782217824.928748,3476661,890025216,890.025216,31,222,95,8,20260623_143105
1782217824.938732,3476700,890035200,890.0352,34,0,96,8,20260623_143105
1782217824.9487157,3476739,890045184,890.045184,37,193,97,8,20260623_143105
1782217824.9586997,3476778,890055168,890.055168,40,106,99,8,20260623_143105
1782217824.9686837,3476817,890065152,890.065152,43,1,99,8,20260623_143105
1782217824.9786677,3476856,890075136,890.075136,46,32,99,8,20260623_143105
1782217824.9886518,3476895,890085120,890.08512,50,0,100,8,20260623_143105
1782217824.9988918,3476935,890095360,890.09536,53,0,99,8,20260623_143105
1782217825.0088758,3476974,890105344,890.105344,56,31,99,8,20260623_143105
1782217825.0188599,3477013,890115328,890.115328,59,0,99,8,20260623_143105
1782217825.0288439,3477052,890125312,890.125312,62,104,100,8,20260623_143105
1782217825.038828,3477091,890135296,890.135296,66,0,100,8,20260623_143105
1782217825.0488117,3477130,890145280,890.14528,69,0,97,8,20260623_143105
1782217825.0587957,3477169,890155264,890.155264,72,6,97,8,20260623_143105
1782217825.0687797,3477208,890165248,890.165248,75,1,97,8,20260623_143105
1782217825.0787637,3477247,890175232,890.175232,78,88,97,8,20260623_143105
1782217825.0887477,3477286,890185216,890.185216,82,0,98,8,20260623_143105
1782217825.0987318,3477325,890195200,890.1952,85,0,98,8,20260623_143105
1782217825.1087158,3477364,890205184,890.205184,88,101,97,8,20260623_143105
1782217825.1186998,3477403,890215168,890.215168,91,0,97,8,20260623_143105
1782217825.1289399,3477443,890225408,890.225408,94,107,97,8,20260623_143105
1782217825.138924,3477482,890235392,890.235392,97,57,97,8,20260623_143105
1782217825.148908,3477521,890245376,890.245376,101,0,98,8,20260623_143105
1782217825.1588917,3477560,890255360,890.25536,104,84,99,8,20260623_143105
1782217825.1688757,3477599,890265344,890.265344,107,0,98,8,20260623_143105
1782217825.1788597,3477638,890275328,890.275328,110,103,100,8,20260623_143105
1782217825.1888437,3477677,890285312,890.285312,113,9,100,8,20260623_143105
1782217825.1988277,3477716,890295296,890.295296,117,0,101,8,20260623_143105
1782217825.2088118,3477755,890305280,890.30528,120,117,101,8,20260623_143105
1782217825.2187958,3477794,890315264,890.315264,123,0,101,8,20260623_143105
1782217825.2287798,3477833,890325248,890.325248,126,72,101,8,20260623_143105
1782217825.2387638,3477872,890335232,890.335232,129,42,101,8,20260623_143105
1782217825.2487478,3477911,890345216,890.345216,133,0,101,8,20260623_143105
1782217825.258988,3477951,890355456,890.355456,136,0,101,8,20260623_143105
1782217825.2689717,3477990,890365440,890.36544,139,1,100,8,20260623_143105
1782217825.2789557,3478029,890375424,890.375424,142,1,99,8,20260623_143105
1782217825.2889397,3478068,890385408,890.385408,145,0,100,8,20260623_143105
1782217825.2989237,3478107,890395392,890.395392,148,1,101,8,20260623_143105
1782217825.3089077,3478146,890405376,890.405376,152,0,100,8,20260623_143105
1782217825.3188918,3478185,890415360,890.41536,155,0,101,8,20260623_143105
1782217825.3288758,3478224,890425344,890.425344,158,0,101,8,20260623_143105
1782217825.3388598,3478263,890435328,890.435328,161,0,101,8,20260623_143105
1782217825.3488438,3478302,890445312,890.445312,164,0,101,8,20260623_143105
1782217825.3588278,3478341,890455296,890.455296,168,116,101,8,20260623_143105
1782217825.3688118,3478380,890465280,890.46528,171,43,101,8,20260623_143105
1782217825.3790517,3478420,890475520,890.47552,174,151,100,8,20260623_143105
1782217825.3890357,3478459,890485504,890.485504,177,106,100,8,20260623_143105
1782217825.3990197,3478498,890495488,890.495488,180,0,100,8,20260623_143105
1782217825.4090037,3478537,890505472,890.505472,184,102,100,8,20260623_143105
1782217825.4189878,3478576,890515456,890.515456,187,0,101,8,20260623_143105
1782217825.4289718,3478615,890525440,890.52544,190,118,100,8,20260623_143105
1782217825.4389558,3478654,890535424,890.535424,193,32,101,8,20260623_143105
1782217825.4489398,3478693,890545408,890.545408,196,0,101,8,20260623_143105
1782217825.4589238,3478732,890555392,890.555392,199,86,100,8,20260623_143105
